local_idx,canonical_UPC,n_raw_upcs,constituent_UPCs,n_weeks_offered,tot_move
0,2420008955,6,2420008955;3700091240;3828128093;6233806130;6233806160;7506400090,269,227388
1,3828128061,2,3828128061;5460000191,265,73592
2,1111148003,17,1111148003;1111148009;1111187404;1111187405;1111187406;1111187410;1111187412;3700000943;3700000991;3700090450;3700090950;3700092230;3700097300;3828128049;5170035201;6233806110;6233806170,261,607070
3,3700090430,1,3700090430,251,34361
4,2420008952,1,2420008952,245,33782
5,3500049899,18,3500049899;3700090201;3700090202;3700090203;3700090204;3700090205;3700090790;3700091060;3700091070;3700091080;3700091221;3700091222;3700091223;3700091224;3700091225;3700091716;3700091717;3700091718,214,651168
6,1111148004,17,1111148004;3700000843;3700000844;3700000942;3700000946;3700000948;3700000953;3700000954;3700000955;3700000989;3700091450;3700092220;3700092245;3700092251;3700095100;3700095130;5460000196,213,406742
7,3320008054,2,3320008054;3500049939,210,70148
8,3320008067,1,3320008067,208,22834
9,1111189129,3,1111189129;1111189175;1111189329,206,101964
10,1111187202,1,1111187202,204,28436
11,3828128053,1,3828128053,198,20829
12,1111142015,1,1111142015,196,20440
13,1111142005,1,1111142005,194,20055
14,1111142127,2,1111142127;2420004874,190,38594
15,2420001573,2,2420001573;2420004894,188,37848
16,3320007225,3,3320007225;3320007274;3320007291,186,55665
17,1111142244,1,1111142244,184,18190
18,8731354321,1,8731354321,182,17829
19,1111189206,1,1111189206,181,18521
20,3320007270,1,3320007270,177,17932
21,1111135101,11,1111135101;1111135104;3320008074;3500031200;3700092710;3700092714;3700092715;3700092730;3700093002;3700093342;3700093343,176,364705
22,3320007293,1,3320007293,174,16425
23,1111135108,2,1111135108;3700093000,172,64106
24,5460000169,1,5460000169,172,16084
25,1111135110,5,1111135110;1111189199;3500030100;3500031100;3700093001,168,154835
26,1111135241,1,1111135241,163,31790
27,3500042200,1,3500042200,162,21499
28,3500042100,1,3500042100,162,19540
29,1111135403,1,1111135403,162,13979
30,3320008070,2,3320008070;3320008077,160,27284
31,2420004823,2,2420004823;2420004825,159,62672
32,1111189469,1,1111189469,158,22204
33,1111187407,1,1111187407,158,13309
34,1111135405,7,1111135405;1111135407;3320008057;3700091290;3700092700;3700092720;3700092740,156,90860
35,3320008050,2,3320008050;3500048189,154,25310
36,1111148439,4,1111148439;3320008064;3700090770;3700097330,153,84448
37,1111187136,1,1111187136,152,12334
38,7610210042,1,7610210042,151,29148
39,3320006409,4,3320006409;3320006609;3320006859;3700090403,150,121024
40,3700090070,1,3700090070,150,12017
41,3320007221,1,3320007221,146,15169
42,1111187026,2,1111187026;1111187042,145,22486
43,1111141404,7,1111141404;1111141408;1111141412;1111141441;1111142118;1111142142;3700093281,143,205471
44,1111148399,5,1111148399;3700091210;3700091700;5460000182;7527563447,143,54710
45,2420001583,3,2420001583;2420001584;3320006209,142,84204
46,1111135265,12,1111135265;1111135340;1111148430;1111187150;3700090230;3700090240;3700090290;3700091030;3700091230;3700091740;3700092255;3700093650,139,124224
47,3500033760,1,3500033760,139,18333
48,1111189170,2,1111189170;1111189203,137,20126
49,1111141403,3,1111141403;1111141415;1111142130,135,81495
50,1111189086,4,1111189086;1111189403;3700092203;3700092252,135,39112
51,3700093220,4,3700093220;3828128202;3828128237;3828128241,134,112480
52,3700093218,1,3700093218,130,27546
53,1111189209,2,1111189209;7572545476,127,32214
54,1111187270,9,1111187270;1111187383;1111189327;2420001504;3500048229;3500048689;3700091237;3700092721;3700097333,126,76905
55,3700093219,1,3700093219,126,25932
56,1111142460,3,1111142460;3828128245;3828128249,123,79509
57,1111148089,1,1111148089,122,15222
58,3700091825,2,3700091825;3700091840,120,38366
59,1111142185,1,1111142185,120,25065
60,1111187340,18,1111187340;3500049879;3500049999;3700090238;3700091055;3700091246;3700091421;3700091447;3700091451;3700091753;3700092243;3700092247;3700092701;3700093305;3700095104;3700097066;3700097071;3700097306,119,137556
61,4142830018,1,4142830018,119,14703
62,1111135218,2,1111135218;3500048149,115,36182
63,3700091492,10,3700091492;3700091493;3700091828;3700091833;3700092290;3700092292;3700092296;3700095113;3700097080;3700097081,113,249180
64,3700095116,2,3700095116;3700097083,111,49178
65,1111142426,2,1111142426;5460000155,111,47386
66,1111135457,9,1111135457;3500034100;3700000964;3700090215;3700091310;3700091703;3700092216;3828128157;4142890016,110,59058
67,3700090404,10,3700090404;3700091829;3700092291;3700092295;3700092297;3700092299;3700095114;3700096061;3700096062;3700096063,109,238160
68,1111141401,1,1111141401,109,23376
69,2420004865,2,2420004865;2420004870,107,47838
70,3700091837,1,3700091837,107,23487
71,1111148325,1,1111148325,107,12257
72,1111142009,2,1111142009;3500040500,106,12216
73,2420001575,1,2420001575,105,22730
74,3500030000,1,3500030000,103,15697
75,3500049629,1,3500049629,103,11587
76,3700090961,1,3700090961,102,23059
77,3500030200,5,3500030200;3500030300;3500031000;3500031300;3700093344,101,76560
78,3700090360,1,3700090360,101,11258
79,7572545440,1,7572545440,98,16272
80,2420004855,1,2420004855,97,21390
81,7572545451,1,7572545451,97,10612
82,3700090782,1,3700090782,95,21813
83,1111142086,19,1111142086;1111148167;3500005010;3500035200;3500040600;3500048139;3500048679;3700000932;3700000960;3700090294;3700090355;3700090391;3700090960;3700092215;3700092221;3700092240;3700092246;3700092741;3700095102,93,90117
84,3700091402,2,3700091402;4650022256,91,19346
85,1111148022,19,1111148022;1111148032;1111148064;1111187022;1111187028;1111187032;1111187063;1111187095;1111187134;1111187166;1111189039;1111189115;1111189128;1111189226;1111189240;3700090781;3700090952;3700091806;3700097800,89,393414
86,5460000137,1,5460000137,89,19986
87,1111189075,2,1111189075;1111189275,85,39208
88,1111189026,1,1111189026,85,19948
89,6233882752,1,6233882752,85,19260
90,1111142434,2,1111142434;1111187126,83,39126
91,1111141425,2,1111141425;3320006600,82,28578
92,1111148026,1,1111148026,80,8056
93,1111147379,3,1111147379;3320006188;3320006208,75,53949
94,3320006419,2,3320006419;3500048132,73,35156
95,5170035205,1,5170035205,73,16986
96,1111189299,1,1111189299,71,6823
97,3700096004,1,3700096004,64,5920
98,3828128095,1,3828128095,63,11591
99,3700096018,1,3700096018,61,14816
100,1111148155,22,1111148155;1111148263;1111148485;1111187090;2420004875;2420008942;3320007220;3500005000;3500005011;3500005157;3500005341;3500034175;3500034200;3500035100;3500035140;3500049800;3700000810;3700000961;3700091295;3700091453;4650002256;5310035201,55,37884
101,4650032256,1,4650032256,38,3021
102,1111187301,1,1111187301,13,1954
