local_idx,UPC,n_weeks_offered,tot_move
0,1600062750,239,61944
1,1600063830,239,61944
2,1600065700,239,61944
3,1600065850,239,61944
4,1600065890,239,61944
5,1600065960,239,61944
6,1600066210,239,61944
7,1600066510,239,61944
8,1600066590,239,61944
9,1600066610,239,61944
10,1600067440,239,61944
11,1600067970,239,61944
12,1600068260,239,61944
13,1600068870,239,61944
14,3000006080,239,61944
15,3000006110,239,61944
16,3000006430,239,61944
17,3000006610,239,61944
18,3000006700,239,61944
19,3800000110,239,61944
20,3800000120,239,61944
21,3800000510,239,61944
22,3800000535,239,61944
23,3800000820,239,61944
24,3800000828,239,61944
25,3800001011,239,61944
26,3800001111,239,61944
27,3800001210,239,61944
28,3800001411,239,61944
29,3800001510,239,61944
30,3800001527,239,61944
31,3800001611,239,61944
32,3800001720,239,61944
33,3800001912,239,61944
34,3800002920,239,61944
35,3800003700,239,61944
36,3800004510,239,61944
37,3800004920,239,61944
38,3800008020,239,61944
39,3800008220,239,61944
40,3800010401,239,61944
41,3828125005,239,61944
42,3828125033,239,61944
43,3828125037,239,61944
44,3828125041,239,61944
45,3828125045,239,61944
46,3828125049,239,61944
47,4300011171,239,61944
48,4300011230,239,61944
49,4300011240,239,61944
50,4300011313,239,61944
51,4300011460,239,61944
52,4300011760,239,61944
53,4300011817,239,61944
54,4300012971,239,61944
55,3828125065,238,61817
56,4300010446,238,61780
57,3000006560,238,61773
58,4300010521,238,61739
59,1600066310,238,61693
60,1600066660,238,61693
61,3800001621,238,61687
62,3800002400,238,61683
63,1600065720,238,61669
64,3800004900,238,61597
65,3828125029,238,61581
66,3800001520,238,61575
67,3000006720,238,61572
68,3000006500,237,61519
69,3828125069,237,61483
70,1600062760,237,61441
71,1600066750,237,61441
72,3800003500,237,61380
73,3800005332,236,61494
74,4300012951,236,60957
75,1600066110,236,60750
76,1600068890,235,60930
77,1600067400,235,60720
78,3828125061,235,60688
79,1600066370,232,60668
80,4300010510,232,59172
81,3828125001,231,59280
82,3800000600,230,60761
83,3800002727,230,60747
84,3800000127,226,57797
85,3800001532,224,59924
86,4300011470,218,56544
87,1600062680,217,58902
88,3800001710,212,53662
89,1600068050,212,51524
90,1600068780,210,55876
91,3800004170,210,51511
92,3000006410,209,55749
93,3000006190,208,55480
94,3800010601,208,50046
95,1600068310,204,48588
96,3800000810,201,47595
97,3800013900,195,55371
98,3000006750,194,55199
99,3800005231,193,44701
100,4300011650,192,54852
101,3000002550,187,53967
102,3000002580,187,53967
103,3800002720,182,46163
104,1600068640,178,47476
105,1600065620,177,51894
106,3800050530,172,48292
107,3000006150,169,44861
108,1780015011,169,36761
109,3800013710,168,45577
110,3800013700,167,36004
111,1780019266,166,35756
112,3800003510,165,43997
113,5200034847,165,35590
114,1780018270,160,33800
115,1780018982,159,33614
116,1780010537,154,31857
117,1313000032,153,31514
118,1600064820,152,31100
119,1313000054,151,30951
120,1600065910,151,30780
121,1600065990,151,30780
122,1600067030,151,30780
123,1600068330,151,30780
124,3000006300,150,38522
125,3800013930,148,45662
126,3800013800,148,40959
127,1600068790,147,38860
128,1313001059,146,29784
129,1862702345,142,36262
130,3800013400,140,27722
131,1313000005,133,27792
132,3800001070,131,42325
133,4300012600,131,25955
134,1780014986,128,25412
135,3828125101,125,40893
136,4300012610,125,24293
137,3800004511,125,23779
