local_idx,UPC,n_weeks_offered,tot_move
0,2100061223,223,25977
1,2100061688,223,25977
2,3828153033,223,25977
3,2100000014,222,25789
4,2100061247,222,25789
5,2100063235,222,25789
6,26521900000,222,25789
7,3828153081,222,25767
8,5300000636,222,25766
9,2100061526,222,25748
10,2100061690,222,25748
11,3828153129,222,25748
12,3828153133,222,25748
13,3828153149,222,25748
14,3828153165,222,25748
15,2100000001,221,25923
16,2100000016,221,25882
17,2100000028,221,25783
18,3828153001,221,25730
19,26503000000,221,25701
20,4610000002,221,25611
21,4610000028,221,25611
22,3828153013,221,25603
23,4610000027,221,25577
24,2100061530,221,25560
25,3828153145,221,25560
26,4610000051,221,25560
27,3828153021,221,25559
28,3828153169,221,25521
29,2100060459,221,25520
30,3828153029,221,25520
31,3828153153,221,25520
32,3828153137,220,25695
33,3828153041,220,25578
34,4610000012,220,25493
35,4610000050,220,25350
36,3828153009,220,25336
37,2100061422,220,25332
38,2100061689,220,25332
39,3828153089,220,25332
40,3828153141,220,25328
41,26507600000,220,25294
42,4610000004,219,25739
43,2100061987,219,25470
44,2100061146,219,25437
45,26527200000,219,25297
46,2100063381,219,25296
47,4610000006,219,25187
48,26520500000,219,25167
49,4610000022,219,25149
50,3828153065,219,25135
51,2100063034,219,25129
52,2100061542,219,25067
53,2100061421,218,25597
54,2100062418,218,25220
55,1570077455,218,25216
56,26513700000,218,25144
57,2100060256,218,25019
58,3828153117,217,25108
59,2100060469,217,24874
60,1570077446,216,25029
61,4610000058,216,24875
62,4610000003,216,24853
63,2100061423,216,24835
64,4610000025,215,24667
65,2100061984,215,24508
66,3828153085,215,24392
67,3828153025,215,24272
68,1570077458,214,24996
69,2100072347,214,24913
70,2100063429,214,24508
71,3450045111,214,24401
72,2100062164,214,24087
73,2100062162,214,23995
74,3828153037,213,24104
75,2100061161,213,24007
76,2100062503,213,23964
77,3828153005,212,24368
78,1570077445,212,24319
79,4530010183,212,24112
80,2100062398,212,24035
81,2100060471,212,24030
