local_idx,UPC,n_weeks_offered,tot_move
0,1380010340,204,22084
1,1380010321,204,22068
2,1380010458,203,21929
3,1380010342,202,21757
4,5100006032,202,21713
5,3100010101,201,21877
6,1380010106,201,21630
7,1380010018,201,21589
8,1380010068,200,21509
9,1380010292,200,21472
10,1380010067,199,21570
11,1380010118,199,21528
12,5100006092,199,21465
13,7057504018,199,21464
14,1380010160,199,21438
15,5100006012,199,21366
16,1380010376,198,21589
17,1380016654,198,21398
18,1380016636,198,21227
19,7269201100,198,21138
20,1380016630,197,21712
21,3100010103,197,21180
22,1380010320,197,21052
23,7869712345,196,20942
24,1380016635,196,20921
25,1380010585,194,21087
26,1380010393,194,20848
27,1380015195,194,20678
28,1380015193,194,20546
29,3100010102,194,20276
30,1380010193,193,20705
31,7269202170,193,20590
32,1380010190,192,20565
33,7057504022,192,20538
34,1380016607,192,20530
35,7269208000,192,20399
36,7336907012,192,20381
37,7336906002,192,20162
38,7162918921,191,20679
39,7057504010,191,20599
40,1380010620,191,20332
41,1380016668,191,20185
42,7336907001,191,19849
43,1380016615,190,20447
44,7336907011,190,20116
45,7336903001,189,19505
46,7336906004,188,20060
47,7057504009,188,19898
48,7057504006,187,20502
49,1380010423,186,19738
50,7336907006,186,19688
51,7336906008,186,19435
52,7336906007,185,20478
53,1380010330,185,19945
54,1380010477,185,19721
55,7336907004,185,19436
56,7336906015,185,19143
57,5100006680,185,18313
58,1380010323,184,19707
59,1380015190,184,19594
60,7336906006,184,19455
61,7336907016,184,18496
62,1380016605,183,18885
63,7336907008,182,18972
64,5100006679,181,17957
65,7336906012,180,19348
66,1380016601,179,18794
67,7336906011,178,19435
68,2580002011,178,19183
69,2580001941,178,18561
70,1380010032,178,18151
71,7336906016,178,17544
72,7336907007,178,17439
73,7057504003,177,18824
74,5100006133,177,17352
75,7336907010,174,17312
76,7336907009,170,18054
77,4360407220,168,17124
78,5100006462,167,15835
79,2580001936,167,15587
80,2580002013,164,15875
81,7336907002,159,17413
82,2580000003,159,16457
83,7269201110,159,16380
84,7336907005,158,16009
85,5010040654,157,19130
86,5010040651,157,18721
87,2580000057,157,13909
88,7269201000,156,16419
89,7869712346,156,15387
90,5010040650,155,19301
91,7336907021,155,18908
92,5010040659,155,18678
93,1380016612,155,15168
94,1380016608,155,14898
95,7336906027,154,19234
96,5010040652,153,18640
97,1380010173,152,20070
98,1380016658,152,14277
99,7057504049,152,12693
100,3100011326,151,12920
101,2113150101,151,12539
102,7336906022,150,18712
103,5010040656,150,18246
104,1380015191,150,12579
105,5100006193,149,12186
106,5010040670,148,19547
107,1380016610,148,16923
108,7336903011,148,11846
109,1380010070,147,19201
110,7336906024,147,18274
111,3100011305,146,11604
112,5010040662,144,18946
113,1380010154,144,18351
114,1380010071,143,18675
115,7336906023,143,11351
116,1380010172,142,18410
117,1380010170,142,18385
118,2580001935,141,12241
119,5010040666,140,18426
120,5010040672,139,18364
121,5010040671,139,18029
122,1380010072,135,16914
123,5010040663,135,16909
124,7869712347,135,15230
125,5100006677,135,10282
126,1380010002,132,9440
127,1380016619,131,18872
128,5010040661,131,16065
129,7336903002,131,10147
130,1380010150,129,17036
131,5010040657,129,13698
132,5010040658,129,13640
133,2580002019,128,14078
134,1380016666,128,10237
135,1380010164,127,14528
136,1380010152,126,14698
137,1380010171,125,15902
138,71785410506,123,17751
139,1380016661,123,17685
140,71785410503,122,17531
