local_idx,UPC,n_weeks_offered,tot_move
0,3700000089,202,50513
1,7940071870,187,46462
2,7940071590,179,44285
3,30521323800,177,44395
4,30521324000,177,42149
5,3700000039,174,44128
6,30521363500,174,40629
7,7940076440,171,43486
8,3700000040,169,41529
9,30521374700,169,41078
10,8087802546,168,43754
11,7940074070,163,40688
12,4167000007,161,39946
13,8087802548,159,41938
14,2240000030,158,39593
15,2240019135,158,38205
16,3700070214,156,39175
17,7940072300,154,34598
18,7940073630,152,39329
19,7940076310,152,37005
20,7940074090,151,38065
21,30521369700,151,36085
22,7940077250,149,37479
23,7940076630,147,38116
24,7940076140,147,37270
25,7940074830,147,35965
26,7940000077,145,36031
27,4740065011,144,36616
28,4740065021,144,36433
29,7940072290,144,32338
30,3700000075,141,33237
31,7940074490,139,34012
32,7940074860,139,33094
33,4740065281,138,33348
34,30521336000,138,33260
35,8087802551,136,37567
36,3700000098,136,32880
37,7073000410,135,33568
38,30521319600,134,32449
39,7940076450,133,34029
40,8087802547,131,35614
41,7940045040,130,31880
42,7073000419,130,31605
43,7940046580,129,32475
44,7940076330,128,31218
45,3700000083,127,30732
46,7940045570,126,31054
47,2240019782,126,31042
48,7073000403,125,30874
49,30521325700,125,30501
50,7940045950,125,30455
51,3700070610,124,30705
52,30521322000,123,30272
53,7940045020,123,28343
54,30997178000,122,31203
55,4740068331,122,29580
56,4167013210,121,34383
57,7940000076,119,29891
58,2240000078,119,27437
59,7073000511,118,28958
60,4167010163,118,28458
61,7073000406,118,28136
62,7940045940,118,26429
63,30521327700,118,25660
64,7124935501,117,33393
65,7940076650,117,30149
66,2240019701,117,27826
67,4143135266,117,27633
68,4143138468,117,27327
69,7940076620,117,26644
70,2240019070,116,27311
71,7940000070,116,25003
72,3878515100,115,30252
73,4740065121,115,29080
74,7940045010,114,26923
75,30521328700,113,27056
76,7940073650,112,29293
77,3700071138,112,27936
78,7940074840,111,29407
79,30521324100,111,27200
80,7940000055,110,28852
81,7940078300,110,28834
82,7940076640,110,24557
83,7940000073,109,27631
84,2240000056,109,25862
85,7940076320,109,24461
86,7940073550,109,20245
87,7940000054,108,25403
88,3700070245,108,23137
89,8087802566,107,33679
90,30997219902,106,29017
91,4740065111,106,27010
92,7940000013,105,25119
93,7940000015,103,25382
94,7940045000,103,25034
95,7940034810,103,20702
96,7704310010,101,24597
97,7940072280,101,19381
98,7940045030,99,23327
99,4740068451,99,23113
100,7073000450,99,22519
101,8087802565,98,29875
102,3700070246,98,23306
103,7940000066,97,22507
104,7124936101,96,26041
105,30521346100,95,19419
106,4740065291,94,26155
107,7940076890,94,20734
108,3700070370,93,24831
109,30074660302,93,23022
110,7704310106,93,21902
111,7940045060,93,21303
112,7610012300,93,20559
113,7940015050,92,20970
114,4740068351,92,20582
115,7073000411,92,20323
116,3878530200,91,24116
117,2240011011,91,21983
118,7940015000,91,21944
119,2240000914,91,19557
120,7940076340,90,21803
121,7940074680,90,17450
122,7704310344,90,17195
123,8087800505,88,29747
124,30521319900,88,22496
125,7050109200,88,20762
