run_tag,iter,ip_total_s,ip_solve_s,gurobi_runtime_s
group013_Toothbrushes_store141__CG_IP,1,1.482443,1.462110,0.011453
group013_Toothbrushes_store141__CG_IP,2,0.017493,0.013007,0.005909
group013_Toothbrushes_store141__CG_IP,3,0.028997,0.026670,0.015019
group013_Toothbrushes_store141__CG_IP,4,0.021054,0.015377,0.006063
group013_Toothbrushes_store141__CG_IP,5,0.050057,0.015486,0.007462
group013_Toothbrushes_store141__CG_IP,6,0.027591,0.025536,0.009697
group013_Toothbrushes_store141__CG_IP,7,0.028041,0.027457,0.016615
group013_Toothbrushes_store141__CG_IP,8,0.028872,0.028353,0.014410
group013_Toothbrushes_store141__CG_IP,9,0.018194,0.015728,0.011225
group013_Toothbrushes_store141__CG_IP,10,0.026738,0.025977,0.013988
group013_Toothbrushes_store141__CG_IP,11,0.026304,0.025799,0.017992
group013_Toothbrushes_store141__CG_IP,12,0.028062,0.027591,0.014765
group013_Toothbrushes_store141__CG_IP,13,0.028153,0.027646,0.014194
group013_Toothbrushes_store141__CG_IP,14,0.025427,0.024932,0.017949
group013_Toothbrushes_store141__CG_IP,15,0.025890,0.025411,0.022073
group013_Toothbrushes_store141__CG_IP,16,0.039485,0.038968,0.028202
group013_Toothbrushes_store141__CG_IP,17,0.027638,0.026876,0.017935
