Store,N_Weeks,Avg_Products_Per_Week,SD_Products_Per_Week,Min_Products,Max_Products
100,216,9.87,4.11,2,15
101,216,9.07,4.31,2,15
102,216,9.26,4.27,3,16
103,216,9.31,4.41,2,15
104,205,4.95,0.81,4,7
105,216,9.52,3.92,2,14
106,205,4.0,0.0,4,4
107,205,4.96,1.64,4,8
109,205,4.6,0.52,2,5
110,205,4.0,0.0,4,4
111,216,2.3,0.56,1,3
112,216,9.22,4.51,3,16
113,205,4.0,0.0,4,4
114,216,9.44,4.24,2,16
115,216,8.95,4.28,2,15
116,205,4.0,0.0,4,4
117,216,4.3,0.46,4,5
118,189,3.99,0.99,2,5
119,205,4.0,0.0,4,4
12,216,4.87,0.9,2,6
121,216,10.09,4.28,2,16
122,216,9.4,4.45,2,15
123,205,4.05,0.22,4,5
124,205,4.17,0.47,3,5
126,216,9.32,4.61,2,15
128,216,9.59,4.67,3,17
129,216,10.2,4.43,4,18
130,205,2.96,0.81,2,5
131,216,9.17,4.28,2,15
132,216,9.39,4.47,4,16
133,216,10.01,4.94,3,17
134,216,8.67,4.05,2,15
135,48,11.96,4.71,4,17
136,216,9.06,4.48,3,16
137,205,4.67,0.47,4,5
139,216,8.68,4.25,1,15
14,205,4.05,0.22,4,5
140,27,8.89,3.75,1,12
141,34,7.5,4.83,1,13
142,27,8.93,3.08,2,11
143,44,9.73,5.31,1,14
144,33,3.94,0.24,3,4
146,31,4.9,3.43,1,10
18,205,4.96,0.85,4,6
2,205,4.19,0.56,3,5
21,205,4.0,0.0,4,4
28,205,4.0,0.0,4,4
32,205,4.05,0.22,4,5
33,205,3.54,0.84,2,4
40,205,4.0,0.0,4,4
44,205,4.0,0.0,4,4
45,189,4.5,0.5,4,5
47,205,4.13,0.49,4,6
48,216,4.0,0.0,4,4
49,189,3.87,1.17,2,5
5,216,4.0,0.0,4,4
50,146,3.95,0.23,3,4
51,205,4.0,0.0,4,4
52,205,4.67,0.47,4,5
53,205,3.67,0.47,3,4
54,205,4.0,0.0,4,4
56,205,4.04,0.23,3,5
59,205,4.0,0.0,4,4
62,205,4.0,0.0,4,4
64,189,3.51,1.11,1,4
67,205,4.0,0.0,4,4
68,205,4.05,0.22,4,5
70,216,6.71,4.6,3,15
71,216,8.72,4.5,2,14
72,205,3.97,0.17,3,4
73,205,4.79,0.97,4,6
74,205,4.67,0.47,4,5
75,216,4.52,0.9,2,6
76,214,3.87,0.6,1,4
77,205,4.18,0.38,4,5
78,205,4.23,0.42,4,5
8,216,4.39,1.41,2,10
80,205,4.67,0.81,4,7
81,205,4.05,0.22,4,5
83,205,4.05,0.22,4,5
84,205,4.0,0.0,4,4
86,205,4.29,0.48,4,6
88,205,4.89,0.31,4,5
89,205,4.0,0.0,4,4
9,205,4.79,0.7,4,6
90,205,4.33,0.47,4,5
91,205,4.0,0.0,4,4
92,216,4.0,0.0,4,4
93,205,4.0,0.0,4,4
94,205,4.0,0.0,4,4
95,205,4.67,0.47,4,5
97,158,4.51,0.5,4,5
98,216,9.06,4.28,2,14
