Week,N_Stores,Avg_Products_Per_Store,SD_Products_Per_Store,Min_Products,Max_Products
128,86,4.45,0.71,2,6
129,86,4.45,0.71,2,6
130,86,4.45,0.71,2,6
131,86,4.45,0.71,2,6
132,86,4.45,0.71,2,6
133,86,4.45,0.71,2,6
134,86,4.45,0.71,2,6
135,86,4.45,0.71,2,6
136,86,4.45,0.71,2,6
137,86,4.45,0.71,2,6
138,86,4.45,0.71,2,6
139,86,4.45,0.71,2,6
140,86,4.45,0.71,2,6
141,86,4.45,0.71,2,6
142,86,4.45,0.71,2,6
143,86,4.45,0.71,2,6
144,86,4.45,0.71,2,6
145,86,4.45,0.71,2,6
146,86,4.45,0.71,2,6
147,86,4.45,0.71,2,6
148,86,4.45,0.71,2,6
149,86,4.45,0.71,2,6
150,86,4.45,0.71,2,6
151,86,4.45,0.71,2,6
152,86,4.45,0.71,2,6
153,86,4.45,0.71,2,6
154,86,4.45,0.71,2,6
155,86,4.45,0.71,2,6
156,86,4.45,0.71,2,6
157,86,4.45,0.71,2,6
158,86,4.45,0.71,2,6
159,86,4.45,0.71,2,6
160,86,4.45,0.71,2,6
161,86,4.45,0.71,2,6
162,86,4.45,0.71,2,6
163,86,4.45,0.71,2,6
164,86,4.45,0.71,2,6
165,86,4.45,0.71,2,6
166,86,4.45,0.71,2,6
167,86,4.45,0.71,2,6
168,86,4.45,0.71,2,6
169,86,4.45,0.71,2,6
170,86,4.45,0.71,2,6
171,86,4.45,0.71,2,6
172,86,4.45,0.71,2,6
173,86,4.45,0.71,2,6
174,86,4.45,0.71,2,6
175,86,4.45,0.71,2,6
176,86,4.45,0.71,2,6
177,86,4.45,0.71,2,6
178,86,4.45,0.71,2,6
179,86,4.45,0.71,2,6
180,86,4.45,0.71,2,6
181,86,4.45,0.71,2,6
182,86,4.45,0.71,2,6
183,86,4.45,0.71,2,6
184,86,4.45,0.71,2,6
185,86,4.45,0.71,2,6
186,86,4.45,0.71,2,6
187,86,4.45,0.71,2,6
188,86,4.43,0.68,2,6
189,86,4.43,0.68,2,6
190,86,4.43,0.68,2,6
191,86,4.43,0.68,2,6
192,86,4.42,0.68,2,6
193,86,4.42,0.68,2,6
194,86,4.41,0.71,2,6
195,86,4.41,0.71,2,6
196,86,4.4,0.69,2,6
197,86,4.4,0.69,2,6
198,86,4.38,0.67,2,6
199,86,4.38,0.67,2,6
200,86,4.38,0.67,2,6
201,86,4.38,0.67,2,6
202,86,4.37,0.67,2,6
203,86,4.37,0.67,2,6
204,86,4.38,0.69,2,6
205,86,4.38,0.69,2,6
206,86,4.88,1.18,2,8
207,86,4.88,1.18,2,8
208,86,4.88,1.18,2,8
209,86,4.88,1.18,2,8
210,86,4.88,1.18,2,8
211,86,4.88,1.18,2,8
212,86,4.94,1.33,2,10
213,86,4.94,1.33,2,10
214,86,5.13,1.71,2,12
215,86,5.13,1.71,2,12
216,86,4.94,1.78,2,11
217,86,4.94,1.78,2,11
218,86,5.02,1.99,2,11
219,86,5.02,1.99,2,11
220,86,5.24,2.32,2,11
221,86,5.24,2.32,2,11
222,86,5.4,2.56,2,12
223,86,5.4,2.56,2,12
224,86,5.4,2.56,2,12
225,86,5.4,2.56,2,12
226,86,5.48,2.68,2,12
227,86,5.48,2.68,2,12
228,86,5.62,2.87,2,12
229,86,5.62,2.87,2,12
230,86,5.62,2.87,2,12
231,86,5.62,2.87,2,12
232,86,5.65,2.9,2,12
233,86,5.65,2.9,2,12
234,86,5.65,2.9,2,12
235,86,5.65,2.9,2,12
236,86,5.7,2.96,2,12
237,86,5.7,2.96,2,12
238,86,5.71,2.99,2,12
239,86,5.71,2.99,2,12
240,86,5.74,3.04,2,12
241,86,5.74,3.04,2,12
242,86,5.74,3.04,2,12
243,86,5.74,3.04,2,12
244,86,5.79,3.09,2,12
245,86,5.79,3.09,2,12
246,86,5.79,3.09,2,12
247,86,5.79,3.09,2,12
248,86,5.94,3.38,2,14
249,86,5.94,3.38,2,14
250,86,6.0,3.48,2,15
251,86,6.0,3.48,2,15
252,86,6.0,3.48,2,15
253,86,6.0,3.48,2,15
254,86,6.06,3.53,3,15
255,86,6.06,3.53,3,15
256,86,6.06,3.53,3,15
257,86,6.06,3.53,3,15
258,86,6.2,3.76,3,15
259,86,6.2,3.76,3,15
260,86,6.2,3.76,3,15
261,86,6.2,3.76,3,15
266,86,6.3,3.88,3,15
267,86,6.3,3.88,3,15
268,86,6.3,3.88,3,15
269,86,6.3,3.88,3,15
270,86,6.2,3.96,2,14
271,86,6.2,3.96,2,14
272,86,6.2,3.96,2,14
273,86,6.2,3.96,2,14
274,86,6.26,4.04,2,14
