"UPC","n_weeks","n_distinct_menus","DESCRIP","menu_share"
3000001040,304,254,"QUAKER OLD FASHIONED",1.0
3000001200,304,254,"QUICK QUAKER OATS",1.0
1313006025,303,253,"MIX N EAT CREAM OF W",0.9960629921259843
3000001020,303,253,"QUAKER OATS REGULAR",0.9960629921259843
3000007060,303,253,"QUAKER HOT OAT BRAN",0.9960629921259843
1313000612,302,253,"CREAM OF WHEAT QUICK",0.9960629921259843
3000001210,302,252,"QUAKER INSTANT OATME",0.9921259842519685
3000004170,301,252,"QUAKER Q/W HOMINY GR",0.9921259842519685
1800063070,300,251,"PILS FARINA",0.9881889763779528
3000001180,300,251,"QUICK QUAKER OATS",0.9881889763779528
3000001380,300,250,"QUAKER INST OATML AP",0.984251968503937
3000001240,299,250,"QUAKER INST OATML RS",0.984251968503937
3000001880,299,249,"QUAKER FRUIT & CREAM",0.9803149606299213
3000002190,299,249,"KRETSCHMER WHEAT GER",0.9803149606299213
1313000622,298,248,"CREAM OF WHEAT INSTA",0.9763779527559056
3000001460,296,247,"QUAKER OAT VARIETY",0.9724409448818898
3000001190,295,246,"QUAKER INST OATML MP",0.968503937007874
3000001800,288,240,"QUAKER INST OATML PE",0.9448818897637795
4240000105,284,235,"QUICK MALT O MEAL",0.9251968503937008
3000001340,278,231,"QUAKER OATMEAL CINNA",0.9094488188976378
1313006057,279,229,"INST CRM OF WHT-VARI",0.9015748031496063
3000004760,265,217,"QUAKER INSTANT GRITS",0.8543307086614174
1313000698,262,217,"NABISCO CREAM OF RIC",0.8543307086614174
3000001820,262,216,"QUAKER INSTANT STRAW",0.8503937007874016
3000001760,262,215,"QUAKER VRTY INST OAT",0.8464566929133859
1313000602,261,215,"NABISCO CREAM OF WHT",0.8464566929133859
1313006035,232,196,"~MIX N EAT BROWN SUG",0.7716535433070866
3000002350,238,194,"KRETCHMER HONEY WHT",0.7637795275590551
3000001570,218,174,"~QUAKER MAPLE OATMEA",0.6850393700787402
3828125073,182,162,"DOM QUICK OATS",0.6377952755905512
3828125077,182,162,"DOM QUICK OATS",0.6377952755905512
3828125098,171,153,"DOM INSTANT OATMEAL",0.6023622047244095
3828125081,171,152,"DOM INSTANT OATMEAL",0.5984251968503937
3828125085,170,152,"DOM INSTANT OATMEAL",0.5984251968503937
3000002620,159,142,"$QUAKER KIDS CHOICE",0.5590551181102362
1313006053,130,115,"~MIX N EAT BROWN SUG",0.452755905511811
1313006031,92,86,"CRM OF WHT INST APPL",0.33858267716535434
3000001580,115,85,"QUAKER APPLE CINAMON",0.3346456692913386
3828125105,88,82,"DOM APPLE & CINNAMON",0.3228346456692913
3000002390,97,80,"~QUAKER MULTIGRAIN",0.31496062992125984
3000003790,102,74,"QUAKER INSTANT GRITS",0.29133858267716534
1112600328,74,65,"COCO WHEATS",0.2559055118110236
3000002720,75,63,"KRETCHMER TOASTED WH",0.24803149606299213
3000002300,72,57,"~KIDS CHOICE STRWBRY",0.22440944881889763
1313006058,78,51,"~INS CREAM OF WHEAT-",0.20078740157480315
3000001370,57,40,"QUAKER INST OAT-HONE",0.15748031496062992
3000001350,54,37,"QUAKER INST OAT & CI",0.14566929133858267
3000026288,36,34,"QUAKER QK N HEARTY R",0.13385826771653545
3000001590,43,32,"QUAKER OAT CUPS RAIS",0.12598425196850394
3000001700,48,31,"QUAKER MAPLE BR SGR",0.1220472440944882
6414408037,38,30,"MAYPO MAPLE FLAVORED",0.11811023622047244
3000026286,31,30,"QUAKER COOKIE BLAST-",0.11811023622047244
1313006044,31,29,"NABISCO INSTANT BANA",0.1141732283464567
3000026289,30,28,"QUAKER QK N HRTY BRW",0.11023622047244094
1313006024,28,28,"~INSTANT CREAM OF WH",0.11023622047244094
3000001000,44,27,"QUAKER VARIETY OATCU",0.1062992125984252
3000026287,28,27,"QUAKER QUICK N HEART",0.1062992125984252
1112600399,37,25,"COCO WHEATS PREPRICE",0.0984251968503937
7382550020,27,25,"FFDS CRAN/OAT HOT CE",0.0984251968503937
7382550022,25,23,"FANTASTIC FOODS BANA",0.09055118110236221
1800063061,21,18,"~PILLS FARINA APPLES",0.07086614173228346
1112600301,32,17,"COCO WHEATS",0.06692913385826772
1313006050,19,16,"~CRM OF WHT INST GRA",0.06299212598425197
7382550019,16,16,"FANTASTIC FDS APPLE",0.06299212598425197
3000002360,17,15,"QUAKER OATS PLUS FIB",0.05905511811023622
3000002380,12,11,"QUAKER OATS FIBER RA",0.04330708661417323
1600064040,11,11,"TOTAL INST OATMEAL-R",0.04330708661417323
1600064060,11,11,"TOTAL OATMEAL VARIET",0.04330708661417323
6414408004,11,10,"WHEATENA",0.03937007874015748
1600064030,10,10,"TOTAL QUICK OATMEAL-",0.03937007874015748
1600064070,10,10,"TOTAL OATMEAL MAPLE/",0.03937007874015748
1600065240,10,10,"OATMEAL SWIRLER MAPL",0.03937007874015748
1600065450,7,7,"TOTAL OATMEAL SWLR V",0.027559055118110236
1600062870,4,4,"UNDERCOVER BEARS STR",0.015748031496062992
1600065460,4,4,"OATMEAL SWIRLERS STR",0.015748031496062992
1600062880,3,3,"UNDERCOVER BEARS MPL",0.011811023622047244
1600062890,3,3,"UNDERCOVER BEAR VARI",0.011811023622047244
3000003960,3,3,"QUAKER INST GRITS DI",0.011811023622047244
