"STORE","n_weeks","n_distinct_menus","n_distinct_upcs","n_core_upcs"
2,304,254,78,2
5,265,226,77,9
8,304,217,88,10
9,305,268,88,3
12,304,255,92,2
14,304,263,81,6
18,304,194,79,0
21,305,271,85,2
28,303,257,76,4
32,305,236,91,14
33,305,227,66,1
40,305,255,88,4
44,305,245,90,10
45,191,166,66,3
47,305,240,76,2
48,262,236,68,1
49,193,173,65,2
50,124,113,53,1
51,305,287,88,1
52,304,240,85,5
53,305,234,76,8
54,305,253,84,4
56,304,263,77,3
59,305,234,85,6
62,302,249,80,5
64,189,166,64,0
67,305,254,84,6
68,303,267,80,4
70,305,240,88,11
71,305,221,82,10
72,305,267,76,2
73,304,253,90,11
74,304,244,89,12
75,305,255,85,4
76,305,265,84,6
77,292,193,81,2
78,305,218,80,4
80,304,207,81,6
81,305,222,80,8
83,305,208,91,9
84,304,247,85,4
86,305,220,79,3
88,304,259,78,0
89,305,255,83,5
90,305,272,88,3
91,303,274,89,2
92,273,251,85,0
93,304,245,85,7
94,305,272,82,3
95,304,258,79,2
97,137,136,70,1
98,305,248,88,13
100,305,240,88,11
101,305,222,88,8
102,305,201,87,15
103,305,259,84,4
104,305,279,86,7
105,305,283,93,3
106,305,290,91,0
107,304,226,87,5
109,305,210,86,10
110,303,283,87,2
111,305,258,84,10
112,305,237,87,10
113,305,188,89,12
114,305,250,89,12
115,305,264,89,6
116,305,273,83,3
117,258,204,71,2
118,193,174,67,0
119,305,245,77,4
121,305,181,86,14
122,305,234,90,13
123,305,251,88,8
124,305,243,90,7
126,305,230,92,11
128,305,198,82,11
129,305,225,87,6
130,304,219,87,15
131,305,275,88,6
132,305,198,93,9
133,268,189,74,11
134,305,282,90,5
135,45,42,50,23
136,289,270,76,7
137,305,180,87,13
139,241,162,72,13
140,33,26,49,29
141,32,26,48,34
142,33,28,48,25
143,41,30,49,28
144,41,34,49,22
146,27,25,48,22
