Category,N_Stores,Avg_Products_Per_Store,SD_Products_Per_Store
Shampoo,93,8.25,5.26
Grooming Prod,93,11.48,3.92
Cookies,93,7.34,1.27
Frozen Entrees,93,4.02,1.2
Toothpaste,93,10.4,2.49
Laundry Det,93,5.61,1.12
Front-End Candy,93,3.34,0.67
Canned Soup,93,4.58,3.16
Toothbrushes,93,9.49,2.35
Snack Crackers,93,8.09,1.94
Soaps,93,8.81,1.68
Crackers,93,7.83,1.77
Fabric Softeners,93,5.91,1.38
Frozen Juices,93,5.35,0.73
Paper Towels,93,10.25,2.29
Toilet Tissue,93,8.62,1.75
Oatmeal,93,4.95,1.04
Analgesics,92,13.26,5.57
Beer,89,7.76,3.57
Dish Deterg,87,4.85,0.91
Frozen Dinners,87,12.97,0.56
Tuna,87,6.68,1.43
Soft Drinks,86,21.56,1.02
Cigarettes,86,5.87,1.66
Cheese,86,4.09,0.29
Bottled Juice,86,8.43,2.34
Cereals,86,3.97,0.45
Bathrm Tiss,47,20.13,16.56
