"category","STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
"Analgesics",2,385,66,275,132,42,44,60,227,42,45
"Analgesics",5,388,71,482,183,80,80,65,407,86,86
"Analgesics",8,388,81,483,170,73,73,75,401,76,76
"Analgesics",9,385,78,460,162,72,73,66,382,76,77
"Analgesics",12,387,89,553,210,94,94,82,458,101,102
"Analgesics",14,387,85,501,200,78,78,78,415,82,83
"Analgesics",18,384,74,429,158,73,73,67,353,77,77
"Analgesics",21,389,82,480,187,78,78,74,400,81,82
"Analgesics",28,388,66,288,126,43,44,55,235,46,46
"Analgesics",32,382,78,486,183,73,79,68,404,77,84
"Analgesics",33,388,72,291,132,44,46,64,239,44,47
"Analgesics",40,379,72,350,142,65,66,61,288,66,67
"Analgesics",44,384,70,357,137,64,64,66,291,67,67
"Analgesics",45,363,57,276,100,64,65,48,226,73,73
"Analgesics",47,383,84,477,192,78,78,73,401,82,83
"Analgesics",48,388,59,267,109,43,43,52,223,44,44
"Analgesics",49,359,54,293,116,64,65,53,239,69,69
"Analgesics",50,265,36,199,66,29,60,35,175,31,60
"Analgesics",51,377,82,484,182,79,79,76,403,83,84
"Analgesics",52,386,84,492,188,78,78,74,409,82,83
"Analgesics",53,390,76,418,179,59,65,67,354,61,66
"Analgesics",54,389,67,339,132,64,64,61,282,67,67
"Analgesics",56,389,72,349,145,60,60,65,284,62,62
"Analgesics",59,387,72,368,150,65,65,66,302,67,67
"Analgesics",62,391,75,403,138,55,56,64,334,58,60
"Analgesics",64,349,51,269,108,42,42,44,226,48,48
"Analgesics",67,373,78,363,151,63,63,70,295,66,66
"Analgesics",68,386,77,339,143,61,61,70,270,63,63
"Analgesics",70,385,78,462,159,74,77,71,385,78,81
"Analgesics",71,387,86,539,210,82,84,81,447,85,90
"Analgesics",72,390,71,291,130,48,50,61,234,49,51
"Analgesics",73,389,81,510,203,81,82,72,422,88,89
"Analgesics",74,388,82,559,193,109,110,79,462,124,125
"Analgesics",75,386,83,501,221,70,71,75,414,73,75
"Analgesics",76,391,83,503,200,77,81,78,418,83,88
"Analgesics",77,391,80,519,203,82,82,73,427,87,88
"Analgesics",78,390,84,482,179,75,76,74,398,80,80
"Analgesics",80,390,86,522,211,80,81,81,428,85,87
"Analgesics",81,386,78,454,164,71,72,72,378,75,76
"Analgesics",83,391,80,514,201,74,74,75,425,81,82
"Analgesics",84,390,82,500,186,74,75,71,413,79,80
"Analgesics",86,388,81,516,199,82,82,74,429,88,89
"Analgesics",88,387,65,323,140,54,55,57,266,57,57
"Analgesics",89,384,79,479,198,71,71,75,412,78,79
"Analgesics",90,388,75,337,150,60,61,65,277,62,63
"Analgesics",91,389,77,351,149,60,61,65,286,62,63
"Analgesics",92,386,70,337,141,61,62,60,276,63,64
"Analgesics",93,376,81,499,188,78,78,76,421,83,85
"Analgesics",94,382,76,357,152,59,59,70,291,62,62
"Analgesics",95,385,86,489,254,10,72,79,406,17,77
"Analgesics",97,305,40,239,74,72,72,36,208,77,77
"Analgesics",98,385,83,572,200,109,114,73,469,119,125
"Analgesics",100,382,84,570,201,113,119,78,472,122,130
"Analgesics",101,391,87,572,183,119,121,82,471,130,133
"Analgesics",102,383,85,585,205,104,109,77,478,114,120
"Analgesics",103,388,89,573,200,114,115,82,477,125,128
"Analgesics",104,381,84,503,206,75,75,78,420,79,80
"Analgesics",105,387,84,556,198,117,119,81,467,130,132
"Analgesics",106,384,86,508,211,82,82,82,424,88,89
"Analgesics",107,384,83,499,185,74,78,77,412,79,85
"Analgesics",109,386,85,494,202,78,78,78,411,83,84
"Analgesics",110,384,83,514,205,89,89,77,427,96,97
"Analgesics",111,391,79,357,167,64,65,74,297,68,69
"Analgesics",112,388,84,577,191,117,119,75,476,129,130
"Analgesics",113,387,78,402,162,66,70,68,325,69,73
"Analgesics",114,387,83,577,220,109,112,76,473,120,123
"Analgesics",115,387,83,574,183,117,118,74,471,128,131
"Analgesics",116,385,86,505,214,81,82,75,418,86,89
"Analgesics",117,384,68,326,138,63,63,59,271,65,65
"Analgesics",118,359,48,235,96,46,47,44,199,47,47
"Analgesics",119,386,74,386,152,67,70,69,313,69,72
"Analgesics",121,388,81,581,187,113,113,75,474,124,125
"Analgesics",122,388,85,585,187,114,115,77,476,124,127
"Analgesics",123,383,84,562,188,106,108,76,465,116,119
"Analgesics",124,332,85,533,216,98,99,80,446,104,106
"Analgesics",126,330,86,564,181,120,124,75,467,133,139
"Analgesics",128,330,82,555,202,101,104,80,464,109,114
"Analgesics",129,331,87,560,180,120,121,79,460,130,132
"Analgesics",130,329,82,395,159,72,74,79,337,77,79
"Analgesics",131,332,83,565,177,123,124,76,467,133,135
"Analgesics",132,332,82,566,196,111,113,75,469,121,125
"Analgesics",133,319,79,512,161,115,116,73,437,121,123
