category,STORE,n_menus,n_effective_upc,min_menu_size,max_menu_size
Beer,28,1,1,1,1
Beer,44,1,1,1,1
Beer,47,1,1,1,1
Beer,48,1,1,1,1
Beer,83,1,1,1,1
Beer,92,1,1,1,1
Oat,141,1,1,1,1
Oat,146,1,1,1,1
Beer,2,2,2,1,1
CannedSoup,146,2,2,1,2
FrozenDinners,146,2,2,1,2
FrozenJuices,141,2,2,1,2
FrozenJuices,143,2,2,1,2
FrozenJuices,146,2,2,1,2
Oat,142,2,2,1,2
Oat,143,2,2,1,2
Oat,144,2,2,1,2
CannedSoup,141,3,3,1,3
FrozenDinners,141,3,3,1,3
FrozenJuices,140,3,3,2,3
FrozenJuices,142,3,3,2,3
FrozenJuices,144,3,3,1,3
Oat,140,3,3,1,3
PaperTowels,141,3,3,1,3
PaperTowels,142,3,3,1,3
BathroomTissues,146,4,4,1,4
CannedSoup,140,4,4,1,4
Crackers,146,4,4,1,4
FrontEndCandies,146,4,4,1,4
FrozenJuices,135,4,4,1,4
PaperTowels,146,4,4,1,4
BathroomTissues,141,5,5,1,5
CannedSoup,142,5,5,1,5
CannedTuna,140,5,5,1,5
CannedTuna,141,5,5,1,5
CannedTuna,142,5,5,1,5
CannedTuna,144,5,5,1,5
CannedTuna,146,5,5,1,5
Crackers,141,5,5,1,5
Crackers,144,5,5,1,5
FrozenDinners,135,4,5,2,4
FrozenDinners,140,5,5,1,5
LaundryDetergents,142,5,5,1,5
Oat,135,5,5,1,5
PaperTowels,143,5,5,1,5
PaperTowels,144,5,5,1,5
BathroomTissues,140,6,6,1,6
BathroomTissues,142,6,6,1,6
BathroomTissues,143,6,6,1,6
CannedTuna,143,6,6,1,6
Cheese,146,6,6,1,6
Crackers,140,6,6,1,6
DishDetergent,141,6,6,1,6
DishDetergent,146,6,6,1,6
FrozenDinners,142,6,6,1,6
FrozenDinners,143,5,6,2,4
PaperTowels,140,6,6,1,6
SnackCrackers,146,6,6,1,6
BathSoap,97,6,7,3,5
BathroomTissues,135,7,7,1,7
BathroomTissues,144,7,7,1,7
CannedSoup,143,7,7,1,6
CannedSoup,144,7,7,1,6
CannedTuna,135,7,7,1,7
Crackers,135,7,7,1,7
Crackers,142,7,7,1,7
DishDetergent,142,7,7,1,7
FabricSofteners,146,6,7,1,6
FrontEndCandies,141,7,7,1,7
FrontEndCandies,142,7,7,1,7
FrontEndCandies,144,7,7,1,7
LaundryDetergents,146,7,7,1,7
PaperTowels,135,7,7,1,7
Analgesics,146,8,8,1,8
BathSoap,50,8,8,1,8
CannedSoup,135,8,8,1,7
