"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,377,52,115,63,17,17,46,96,21,21
5,380,44,102,49,17,17,42,87,21,21
8,380,56,115,63,17,17,49,96,21,21
9,377,51,111,60,17,17,46,92,21,21
12,379,51,117,66,17,17,42,96,21,21
14,379,50,112,57,17,17,42,93,21,21
18,376,51,115,66,17,17,46,96,21,21
21,381,51,115,64,17,17,45,98,21,21
28,380,48,113,54,17,17,42,95,21,21
32,374,54,114,63,17,17,48,95,21,21
33,380,53,100,60,16,16,46,86,20,20
40,371,49,110,59,17,17,44,92,21,21
44,376,53,113,60,17,17,45,94,21,21
45,355,36,78,42,22,22,35,71,22,22
47,375,52,113,60,17,17,44,95,21,21
48,380,48,104,58,16,17,42,87,21,21
49,351,31,76,41,21,21,30,70,21,21
50,265,25,65,29,21,26,23,59,21,27
51,369,50,115,58,17,17,44,94,21,21
52,378,53,118,62,18,18,49,99,21,21
53,382,51,112,58,17,17,43,93,21,21
54,381,51,116,61,17,17,45,98,21,21
56,381,50,112,59,17,17,43,95,21,21
59,379,53,115,63,17,17,47,98,21,21
62,383,55,113,64,17,17,48,94,21,21
64,341,35,77,41,22,22,33,69,22,22
67,365,51,112,60,17,17,44,94,21,21
68,378,48,113,59,17,17,42,96,21,21
70,377,54,115,62,17,17,46,97,21,21
71,379,50,118,64,17,17,45,98,21,21
72,382,47,114,57,17,17,43,96,21,21
73,381,52,113,63,17,17,45,94,21,21
74,380,52,114,60,17,17,48,95,21,21
75,378,47,114,55,17,17,42,95,21,21
76,383,52,112,58,17,17,45,95,21,21
77,383,50,112,64,17,17,44,93,21,21
78,382,47,112,56,17,17,40,96,21,21
80,382,45,113,57,17,17,41,94,21,21
81,378,50,114,59,17,17,46,96,21,21
83,383,52,114,62,17,17,47,96,21,21
84,382,49,113,62,17,17,45,95,21,21
86,380,48,113,56,17,18,42,95,21,22
88,379,52,113,62,17,17,47,95,21,21
89,376,49,114,62,17,17,43,95,21,21
90,380,48,113,57,17,17,45,94,21,21
91,381,52,117,65,17,17,47,97,21,21
92,378,46,103,50,17,17,41,87,21,21
93,368,50,114,61,18,18,46,94,21,21
94,374,53,114,59,17,17,46,96,21,21
95,377,54,113,64,0,17,48,94,1,21
97,301,30,67,35,22,22,29,62,22,22
98,377,52,116,60,17,17,46,97,21,21
100,374,51,116,63,17,17,44,97,21,21
101,383,50,113,59,17,17,47,96,21,21
102,375,53,115,62,17,17,46,97,21,21
103,380,53,115,59,17,17,47,97,21,21
104,373,56,114,64,17,17,47,96,21,21
105,379,50,116,64,17,17,42,97,21,21
106,376,54,115,62,17,17,46,96,21,21
107,376,50,113,61,17,17,43,94,21,21
109,378,49,111,60,17,17,44,94,21,21
110,376,55,116,64,17,17,48,95,21,21
111,383,53,113,61,17,17,49,96,21,21
112,380,50,115,65,17,17,44,98,21,21
113,379,56,117,65,17,17,50,96,21,21
114,379,52,115,61,17,17,45,97,21,21
115,379,52,117,61,17,17,44,97,21,21
116,377,50,113,59,17,17,43,95,21,21
117,376,40,104,54,17,17,38,86,21,21
118,351,31,77,40,23,23,31,71,23,23
119,378,53,112,63,17,17,46,94,21,21
121,380,47,115,59,17,17,42,96,21,21
122,380,54,117,64,17,17,46,98,21,21
123,375,50,114,59,16,16,44,94,20,20
124,370,54,116,62,17,18,46,97,21,22
126,376,51,113,62,17,17,44,96,21,21
128,377,50,117,60,18,18,44,98,21,21
129,357,49,113,60,17,17,42,96,21,21
130,342,47,112,59,18,18,42,96,21,21
131,375,52,116,64,17,17,46,98,21,21
132,381,51,115,62,17,17,45,96,21,21
133,311,44,103,50,18,18,39,92,22,22
134,318,46,111,57,17,17,43,95,21,21
135,48,7,61,7,49,49,5,58,49,49
136,311,46,106,54,17,17,41,93,21,21
137,324,48,111,55,17,17,43,95,21,21
139,230,42,102,45,19,19,35,89,25,25
140,38,6,52,6,40,40,6,51,39,39
141,34,5,54,5,45,45,5,53,44,44
142,38,6,54,6,43,43,6,53,42,42
143,44,6,60,6,50,50,4,57,49,49
144,44,7,59,7,48,49,5,56,47,47
146,28,4,53,4,45,45,4,52,44,44
