"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,265,25,46,26,7,8,21,37,9,10
5,265,29,69,41,10,12,27,60,10,12
8,265,42,192,55,10,10,38,172,11,11
9,265,35,77,45,10,10,30,63,10,10
12,265,36,70,45,9,9,29,56,10,10
14,265,32,60,37,11,11,27,48,11,11
18,265,30,72,41,10,10,26,57,11,11
21,265,33,69,43,8,8,27,54,9,9
28,265,22,51,25,7,8,20,45,9,10
32,265,25,63,31,6,6,18,53,7,7
33,265,22,26,20,0,0,21,24,0,0
40,265,35,57,39,7,8,28,42,7,8
44,265,30,59,34,8,9,24,48,9,10
45,237,14,33,16,13,13,14,32,13,13
47,265,30,64,41,7,8,24,49,9,10
48,265,21,47,26,11,11,18,44,11,11
49,237,15,39,15,15,15,13,35,15,15
50,145,8,28,8,9,13,8,26,9,13
51,265,35,72,41,9,9,28,60,10,10
52,265,31,62,34,9,9,24,50,10,10
53,265,25,54,34,10,10,21,47,10,10
54,265,32,51,32,9,10,28,40,9,10
56,265,24,56,29,8,8,21,47,10,10
59,265,34,60,38,7,7,30,51,7,7
62,265,31,79,39,8,8,25,68,9,9
64,237,14,37,17,12,12,12,34,12,12
67,265,28,63,33,10,10,23,51,10,10
68,265,28,55,34,9,9,24,43,9,9
70,265,47,370,64,15,16,45,320,16,17
71,265,62,429,127,36,36,60,370,39,39
72,265,35,82,43,10,10,28,73,10,10
73,265,40,123,41,11,12,32,109,12,13
74,265,43,93,53,9,9,39,81,11,11
75,265,35,66,38,10,11,29,54,10,11
76,265,38,70,45,9,10,32,57,9,10
77,265,35,89,49,2,2,34,78,2,2
78,265,37,97,53,9,10,35,85,9,10
80,265,37,77,45,10,10,30,61,10,10
81,265,36,100,44,10,10,31,84,10,10
83,265,33,77,44,9,9,27,63,11,11
84,265,41,98,57,9,10,38,83,9,10
86,265,35,80,43,9,9,30,66,10,10
88,265,28,58,36,6,7,22,47,8,9
89,265,37,72,41,8,9,35,59,8,10
90,265,28,58,34,10,10,24,53,10,10
91,265,30,66,36,10,10,24,55,10,10
92,265,23,55,28,7,8,21,48,7,8
93,265,32,64,41,9,9,25,51,10,10
94,265,31,59,36,9,9,28,47,9,9
95,265,30,58,35,1,10,26,48,1,10
97,183,6,30,7,15,15,6,30,15,15
98,265,64,453,122,38,39,62,385,42,43
100,265,65,458,116,34,34,62,400,38,38
101,265,59,459,106,37,37,58,395,41,41
102,265,63,459,111,35,35,60,390,39,39
103,265,60,427,116,32,33,58,376,36,38
104,265,39,94,51,8,9,33,76,9,11
105,265,59,386,118,34,34,58,340,37,38
106,265,40,82,46,10,11,35,63,10,11
107,265,38,105,55,12,13,34,86,12,13
109,265,31,77,40,11,11,26,65,11,11
110,265,34,66,39,10,11,28,54,10,11
111,265,29,60,34,10,10,24,47,11,11
112,265,58,454,103,36,36,56,390,39,39
113,265,28,64,33,8,10,26,55,9,11
114,265,62,446,125,34,36,59,384,37,39
115,265,65,468,121,37,38,62,396,40,41
116,265,38,81,46,10,10,29,64,12,12
117,265,22,46,28,7,8,18,40,8,9
118,237,13,32,18,11,12,13,32,11,12
119,265,27,54,32,7,7,24,46,9,9
121,265,60,496,110,35,35,58,425,40,40
122,265,59,488,117,34,34,57,419,38,38
123,265,32,72,41,11,12,28,56,11,12
124,265,37,77,49,8,11,30,59,9,12
126,265,58,473,111,36,36,56,407,40,40
128,265,61,457,113,36,36,59,392,39,40
129,265,59,469,105,37,37,57,402,41,42
130,265,35,62,39,13,13,31,55,13,13
131,265,59,443,105,37,38,59,380,40,41
132,265,64,492,123,36,36,61,423,39,40
133,265,60,426,111,37,38,59,365,41,42
134,265,64,424,117,36,37,61,366,38,40
135,52,16,220,16,81,82,16,207,80,81
136,265,57,449,108,38,38,54,389,41,42
137,265,41,98,47,10,11,37,84,10,11
139,265,61,446,104,35,36,61,388,39,40
140,38,12,207,12,25,25,12,197,24,24
141,34,12,214,11,130,130,12,206,129,129
142,38,11,213,11,26,26,10,204,26,26
143,48,13,235,13,131,131,13,214,129,129
144,48,9,38,9,20,20,9,35,20,20
146,28,11,205,11,97,99,11,197,97,99
