"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,144,2,2,2,0,0,2,2,0,0
5,227,54,349,114,15,26,53,327,17,29
8,301,72,419,141,25,26,70,376,27,28
9,301,75,417,148,24,28,74,370,25,29
12,300,73,402,137,19,23,68,361,20,25
14,300,70,360,138,18,19,68,316,20,21
18,300,72,408,133,21,22,67,364,23,24
21,302,73,392,150,17,20,70,347,18,21
28,78,1,1,1,1,1,1,1,1,1
32,301,75,437,158,20,21,72,391,22,24
33,301,72,338,141,15,15,69,305,16,16
40,302,68,330,127,14,15,63,299,15,16
44,74,1,1,1,1,1,1,1,1,1
47,78,1,1,1,1,1,1,1,1,1
48,78,1,1,1,1,1,1,1,1,1
49,273,47,264,75,81,82,39,239,90,91
50,180,32,181,47,36,98,28,164,38,104
51,301,72,324,128,10,11,66,288,12,13
52,106,26,213,38,0,0,26,207,0,0
53,301,70,317,119,10,10,68,294,10,10
56,302,67,321,120,12,13,64,292,12,13
59,301,67,360,133,17,17,66,328,18,18
62,302,76,390,139,18,19,72,349,20,21
64,274,48,236,92,67,70,47,213,72,75
67,301,71,341,129,15,17,65,307,17,19
68,299,65,347,128,10,10,62,311,11,11
70,301,65,397,121,15,15,58,367,16,16
71,299,75,485,160,23,27,74,437,26,30
72,301,70,350,133,18,19,68,320,18,19
73,301,72,341,137,12,14,68,304,13,15
74,301,71,436,149,16,17,69,387,17,18
75,301,73,404,157,16,18,70,360,18,20
76,302,75,410,145,20,21,70,370,21,22
77,302,66,416,132,19,23,61,375,21,25
78,302,67,366,138,14,15,65,327,15,16
80,302,68,373,125,22,23,64,336,24,25
81,301,70,351,125,15,17,68,311,17,19
83,78,1,1,1,1,1,1,1,1,1
84,301,70,410,152,17,19,70,360,18,20
86,301,74,492,168,21,22,71,442,23,24
88,62,16,70,16,24,24,15,67,24,24
89,302,70,343,126,9,10,64,309,9,10
90,301,65,290,122,10,11,63,264,10,11
91,301,66,306,107,14,15,59,273,16,17
92,74,1,1,1,1,1,1,1,1,1
93,172,46,276,89,19,20,44,265,19,20
94,302,71,359,122,19,20,64,322,21,22
95,300,75,337,140,1,10,73,307,2,11
97,220,28,224,54,121,121,28,203,129,129
98,302,75,484,164,24,28,72,434,26,31
100,302,76,507,161,27,32,72,452,30,35
101,302,77,467,157,39,41,69,417,41,44
102,302,75,499,162,25,28,74,443,26,29
103,302,75,449,163,21,22,68,401,23,24
104,114,27,250,49,41,42,27,236,41,42
105,302,72,441,149,26,28,71,395,26,28
106,302,70,376,124,15,17,67,343,16,18
107,301,74,390,140,14,15,72,345,15,16
109,302,74,495,135,36,38,67,430,38,40
110,300,69,362,130,11,12,61,322,12,13
111,302,58,244,97,10,10,55,227,10,10
112,302,75,461,149,26,28,72,413,28,30
113,301,69,366,128,14,15,65,334,16,17
115,302,77,461,155,27,28,72,421,29,30
116,300,76,435,158,19,22,74,388,21,24
117,299,60,293,105,12,13,55,263,13,14
118,274,47,229,80,56,57,45,208,61,61
119,301,66,339,113,14,16,63,307,15,17
121,302,77,476,154,32,34,71,426,35,37
122,302,80,514,165,21,24,79,461,24,28
123,302,68,348,138,12,12,67,319,12,12
126,302,79,515,173,28,30,74,455,30,32
128,302,72,491,167,32,35,68,439,35,39
129,302,75,526,169,37,39,73,468,39,41
130,301,71,334,126,14,15,69,307,15,16
131,302,77,488,175,25,27,74,438,27,29
132,302,77,477,159,29,32,73,425,32,35
133,302,68,465,138,34,37,63,423,35,38
134,302,73,501,169,34,38,71,454,37,41
135,52,13,231,13,143,143,13,219,141,141
136,302,72,454,140,26,28,68,410,29,31
137,166,45,267,83,9,30,43,256,9,31
139,238,68,454,140,21,30,67,415,23,32
140,38,12,188,12,44,44,10,178,44,44
141,34,11,170,11,130,130,11,166,128,128
142,38,11,168,11,35,35,11,164,35,35
143,48,13,221,13,131,131,11,211,129,129
144,48,15,227,15,140,140,15,217,138,138
146,28,9,167,9,130,130,9,158,126,126
