"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,371,57,370,112,80,81,55,348,84,85
5,374,48,356,97,81,83,46,336,85,87
8,374,56,374,109,81,82,56,354,85,86
9,371,54,378,99,84,85,52,356,88,89
12,373,55,373,107,83,84,54,350,87,88
14,373,54,373,108,79,80,53,351,83,84
18,370,53,374,108,82,83,50,350,86,87
21,375,53,378,102,83,83,52,354,87,87
28,374,55,375,108,80,82,53,352,84,86
32,368,60,379,112,81,82,60,356,85,86
33,374,56,356,108,77,77,56,334,81,81
40,365,56,371,110,80,81,55,349,84,85
44,370,52,373,109,83,83,51,350,87,87
45,355,39,327,69,126,126,37,315,130,130
47,369,56,372,104,83,83,54,350,87,87
48,374,51,356,101,82,84,50,336,86,88
49,351,41,329,70,130,130,41,317,133,133
50,261,30,301,49,121,140,30,295,125,144
51,363,53,375,111,83,83,53,353,87,87
52,372,58,386,117,82,83,57,363,86,87
53,376,51,370,108,83,83,51,349,87,87
54,375,57,374,104,82,84,57,352,86,88
56,375,57,377,120,80,81,56,355,84,85
59,373,52,379,103,82,82,52,356,86,86
62,377,50,375,105,83,84,50,354,87,88
64,341,42,325,68,123,123,42,313,128,128
67,359,61,386,112,90,90,60,363,95,95
68,372,57,373,109,82,84,57,351,86,88
70,371,50,377,101,85,86,50,354,89,90
71,373,57,374,113,80,83,55,350,84,87
72,376,55,375,113,83,84,52,353,87,88
73,375,54,381,113,80,82,52,359,84,86
74,374,55,378,113,81,82,54,355,85,86
75,372,55,375,107,84,84,55,353,88,88
76,377,56,372,109,83,83,56,350,87,87
77,377,51,378,104,81,82,48,356,85,86
78,376,54,373,105,81,81,52,351,85,85
80,376,55,381,110,81,82,54,358,85,86
81,372,50,379,105,82,83,47,357,86,87
83,377,56,380,113,81,84,53,357,85,88
84,376,55,372,106,81,82,55,350,85,86
86,374,60,380,115,82,84,60,358,85,88
88,373,57,369,108,82,83,56,347,86,87
89,370,64,378,121,81,81,64,355,85,85
90,374,54,382,111,81,81,54,359,85,85
91,375,54,371,100,82,83,52,349,86,87
92,372,48,369,97,82,83,47,349,86,87
93,362,57,374,111,82,82,56,351,86,86
94,368,56,372,105,84,84,55,350,88,88
95,371,56,367,120,0,80,55,344,0,84
97,299,30,304,46,133,133,29,297,137,137
98,371,53,381,108,84,85,52,359,88,89
100,368,54,377,110,81,82,53,354,85,86
101,377,55,374,111,81,82,55,352,85,86
102,369,53,378,106,84,84,53,356,88,88
103,374,51,382,105,84,86,51,359,88,90
104,367,53,377,97,84,84,52,355,88,88
105,373,63,376,120,82,83,63,354,86,87
106,370,54,376,108,80,81,54,354,84,85
107,370,49,375,106,80,82,47,353,84,86
109,372,54,412,116,98,99,54,389,102,103
110,370,50,374,103,82,83,49,352,86,87
111,377,57,368,112,82,83,57,346,86,87
112,374,55,399,120,83,83,54,375,87,87
113,373,53,378,112,82,84,52,356,86,88
114,373,60,383,110,83,83,58,360,87,87
115,373,58,402,112,83,83,57,379,87,87
116,371,56,373,110,82,84,53,351,86,88
117,370,51,357,93,81,82,51,337,85,86
118,351,40,338,70,124,124,39,324,128,128
119,372,56,372,108,81,82,56,349,85,86
121,374,47,383,98,84,84,46,360,88,88
122,374,54,393,103,82,83,54,370,86,87
123,369,59,375,117,82,84,58,352,86,88
124,364,59,374,111,79,80,57,351,83,84
126,370,59,378,106,82,83,58,355,86,87
128,371,58,372,110,83,84,58,350,87,88
129,351,54,375,104,83,83,53,352,87,87
130,336,58,363,116,80,80,56,341,84,84
131,369,54,380,110,83,84,54,358,87,88
132,375,48,371,101,84,84,48,349,88,88
133,305,40,325,80,88,88,39,310,94,94
134,312,59,347,97,84,86,56,327,88,90
135,44,8,143,8,120,120,8,142,119,119
136,305,45,344,79,97,97,44,327,103,103
137,318,57,354,107,82,82,57,331,86,86
139,224,40,317,67,91,95,39,302,97,100
140,32,4,126,4,108,108,4,125,107,107
141,28,3,127,3,123,123,3,126,122,122
142,32,5,123,5,108,108,5,122,107,107
143,40,7,135,7,118,118,7,134,117,117
144,40,7,136,7,120,120,7,135,119,119
146,22,2,126,2,123,123,2,125,122,122
