"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,367,54,224,88,17,18,44,176,21,24
5,370,57,219,90,16,18,44,171,22,24
8,370,58,232,99,18,20,51,181,20,23
9,367,55,225,91,20,20,45,175,21,23
12,369,56,233,98,18,18,47,182,21,23
14,369,50,228,88,18,20,41,176,21,25
18,366,57,227,98,14,15,49,179,20,20
21,371,63,228,101,16,17,50,180,18,20
28,370,56,226,100,18,19,46,180,20,21
32,364,51,230,92,18,20,47,179,20,23
33,370,56,228,91,17,17,46,178,20,21
40,361,57,226,92,19,21,46,178,22,25
44,366,54,229,89,17,19,45,182,23,23
45,351,44,191,66,44,44,36,152,56,57
47,365,59,232,97,17,19,48,180,20,22
48,370,51,213,90,18,20,42,166,22,23
49,347,40,192,65,45,46,34,153,57,59
50,265,31,168,52,43,60,26,135,53,69
51,359,55,229,97,18,20,50,180,20,22
52,368,58,235,100,17,20,50,184,18,22
53,372,48,225,86,19,22,42,177,20,25
54,371,55,226,92,16,18,47,178,18,21
56,371,63,227,101,13,15,51,177,18,19
59,369,57,230,98,16,18,50,178,21,23
62,373,56,230,98,16,18,50,181,20,25
64,337,40,190,63,42,42,33,150,54,54
67,355,54,232,98,16,16,48,181,18,18
68,368,50,223,95,15,18,46,176,17,21
70,367,55,226,92,14,14,47,182,19,19
71,369,60,230,102,17,17,52,183,18,18
72,372,58,226,90,13,13,50,176,17,17
73,371,53,227,90,21,21,45,182,22,24
74,370,53,234,92,19,20,50,183,25,26
75,368,59,233,99,17,17,50,183,18,20
76,373,60,231,102,16,19,51,180,19,23
77,373,58,236,99,16,17,50,185,18,19
78,372,53,227,96,17,20,48,180,21,25
80,372,60,234,89,20,21,50,184,24,25
81,368,55,229,90,16,17,47,180,22,24
83,373,57,229,95,14,15,49,178,20,20
84,372,63,236,112,13,17,52,182,16,21
86,370,55,222,87,18,18,48,176,20,22
88,369,52,228,94,19,21,48,179,20,24
89,366,59,223,96,10,12,51,177,16,17
90,370,62,222,96,12,14,49,177,19,23
91,371,59,229,105,14,16,52,180,17,18
92,368,52,220,88,17,17,45,171,24,24
93,358,52,232,94,15,15,46,181,19,19
94,364,55,230,84,19,20,48,179,21,22
95,367,58,226,112,1,20,50,177,4,22
97,299,28,167,45,49,49,25,134,61,61
98,367,54,233,90,19,19,47,186,22,23
100,364,60,224,95,15,16,48,176,18,21
101,373,56,230,90,17,18,45,179,20,20
102,365,54,227,91,15,16,45,181,19,19
103,370,56,229,97,13,15,48,178,18,21
104,363,53,227,93,18,19,45,179,19,20
105,369,55,225,95,15,19,45,176,19,21
106,366,61,222,95,17,19,50,177,20,22
107,366,55,228,91,14,16,47,180,18,20
109,368,59,245,99,21,22,52,194,26,26
110,366,52,226,88,18,20,47,177,20,23
111,373,56,215,91,15,15,46,170,17,17
112,370,52,240,90,20,23,45,185,23,28
113,369,49,227,92,16,18,45,180,19,22
114,369,55,227,90,15,17,46,177,20,21
115,369,60,234,97,19,21,54,189,22,24
116,367,54,230,96,14,14,45,180,17,19
117,366,49,216,88,13,14,43,167,18,19
118,347,47,196,70,45,46,40,152,57,58
119,368,52,231,84,17,20,47,184,20,22
121,370,57,236,94,16,20,48,186,22,25
122,370,59,237,98,18,18,49,188,21,23
123,365,54,228,83,20,21,47,179,21,25
124,360,63,229,96,13,16,53,179,18,21
126,366,58,240,100,21,26,52,190,25,31
128,367,60,228,97,19,21,49,180,24,26
129,347,55,226,88,17,19,46,185,21,22
130,332,58,211,96,14,14,48,174,18,18
131,365,55,235,92,16,16,50,185,18,20
132,371,53,226,90,16,16,46,181,21,21
133,301,44,186,66,23,25,39,168,29,31
134,308,53,205,75,21,22,49,173,24,25
135,40,7,114,7,46,46,7,112,46,46
136,301,44,191,66,25,26,38,168,31,32
137,314,56,220,84,17,18,50,180,25,26
139,220,38,174,50,29,30,32,157,33,34
140,32,5,105,5,23,23,5,105,23,23
141,28,5,110,5,45,45,5,110,45,45
142,32,5,107,5,26,26,5,107,26,26
143,36,6,115,6,47,47,6,114,47,47
144,36,5,111,5,46,46,5,111,46,46
146,22,5,108,5,96,96,5,108,96,96
