"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,359,71,405,127,88,88,62,331,98,98
5,362,67,394,132,90,92,61,330,106,108
8,362,76,428,148,92,92,70,353,106,106
9,359,76,410,143,86,87,68,332,98,100
12,361,78,426,144,92,95,66,349,105,108
14,361,73,418,139,87,88,68,341,103,104
18,358,73,401,145,91,91,69,327,104,104
21,363,74,430,139,89,92,69,353,104,108
28,362,71,409,136,85,87,68,336,96,99
32,356,79,428,153,93,94,73,351,107,108
33,362,73,396,144,77,81,68,327,89,93
40,353,75,419,138,91,94,69,344,102,106
44,358,73,423,131,93,93,66,349,108,108
45,337,52,338,104,95,96,49,304,100,101
47,357,75,426,146,87,88,67,347,102,103
48,362,69,384,128,82,83,62,322,97,98
49,333,53,334,100,92,93,51,300,99,100
50,265,36,290,67,79,107,34,264,84,112
51,351,73,415,138,89,89,70,342,102,103
52,360,75,428,148,95,98,71,351,110,114
53,364,73,415,140,85,87,70,339,100,102
54,363,79,439,162,87,88,73,361,100,102
56,363,76,425,141,89,92,68,350,104,107
59,361,73,431,145,96,96,67,354,107,107
62,365,75,423,150,91,94,69,346,105,109
64,323,53,328,93,96,97,49,295,101,102
67,347,74,413,134,92,95,66,337,103,106
68,360,78,417,156,88,90,75,341,99,102
70,359,77,418,148,92,93,69,344,107,108
71,361,71,428,140,92,92,66,351,105,106
72,364,72,417,139,84,85,67,341,97,99
73,363,72,425,137,91,92,67,348,104,105
74,362,74,429,135,98,99,66,354,112,114
75,360,73,424,138,91,93,69,348,102,104
76,365,72,427,146,93,95,67,350,106,108
77,365,72,418,131,84,88,65,341,98,106
78,364,73,423,147,86,88,70,347,99,101
80,364,75,431,145,96,98,69,353,106,108
81,360,75,425,151,91,94,69,351,103,107
83,365,74,433,138,89,92,68,357,105,109
84,364,75,426,142,93,94,67,346,107,108
86,362,76,426,143,90,92,71,349,104,106
88,361,73,417,142,85,88,67,340,99,102
89,358,74,407,137,86,87,68,336,100,101
90,362,76,394,140,90,93,72,323,101,106
91,363,74,425,141,90,92,65,347,103,108
92,360,68,390,142,91,92,58,328,106,108
93,350,71,417,140,88,90,68,342,98,101
94,356,78,426,141,91,92,72,350,104,105
95,359,77,402,153,1,88,70,330,4,100
97,287,42,306,72,107,108,41,278,113,114
98,359,72,431,137,100,102,68,354,112,115
100,356,73,414,137,89,91,64,340,104,108
101,365,78,420,138,94,97,75,345,108,111
102,357,75,425,138,94,96,68,349,109,111
103,362,77,426,150,94,94,72,350,107,108
104,355,74,437,141,100,102,66,361,109,112
105,361,76,420,145,92,95,68,345,105,109
106,358,71,424,133,93,94,65,348,108,110
107,358,76,422,136,94,94,68,347,106,106
109,360,76,427,145,97,98,72,351,111,113
110,358,74,420,146,95,96,71,344,112,115
111,365,78,400,136,90,94,71,329,103,107
112,362,74,426,135,97,98,70,351,111,113
113,361,75,426,146,93,93,72,348,107,108
114,361,72,412,128,92,92,67,338,106,107
115,361,75,425,148,94,95,66,347,108,109
116,359,72,415,141,87,89,66,341,98,101
117,358,67,368,137,83,86,62,313,97,99
118,333,57,322,101,94,94,55,293,99,99
119,360,73,418,137,94,94,69,342,110,110
121,362,73,431,140,97,99,69,355,113,116
122,362,79,433,150,91,92,72,356,102,103
123,357,76,422,140,88,93,66,347,102,108
124,352,73,422,142,86,91,62,346,99,104
126,358,77,442,148,97,98,72,364,116,117
128,359,76,428,144,85,89,68,349,98,103
129,339,74,420,147,96,97,66,348,113,114
130,324,74,393,141,93,101,65,326,104,113
131,357,77,435,145,94,94,69,359,108,108
132,363,74,443,144,94,94,69,366,108,109
133,293,65,351,104,104,108,60,293,119,124
134,300,69,392,132,95,96,62,329,109,110
135,46,13,210,13,171,171,12,198,171,171
136,293,69,367,112,106,110,67,306,121,126
137,306,71,391,130,96,98,67,326,114,116
139,212,58,324,84,104,104,51,275,121,122
140,36,12,201,12,157,157,11,190,157,157
141,32,10,202,10,173,173,9,191,172,172
142,36,9,199,9,162,162,9,188,162,162
143,42,14,210,14,171,171,12,198,170,170
144,42,14,211,14,170,170,10,199,170,170
146,28,8,188,8,166,166,8,178,165,165
