"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,385,79,526,157,117,117,72,461,130,130
5,388,68,506,143,121,121,65,445,134,134
8,388,80,546,155,118,118,73,476,132,132
9,385,82,546,160,119,120,77,484,134,135
12,387,80,544,158,121,121,73,477,134,134
14,387,78,533,153,121,122,68,464,134,135
18,384,76,526,156,120,120,68,460,133,133
21,389,79,539,164,119,119,73,471,132,132
28,388,83,530,147,121,122,74,463,134,135
32,382,78,527,150,119,119,72,460,132,132
33,388,78,525,161,117,118,73,460,129,131
40,379,83,534,166,116,116,75,466,129,129
44,384,79,537,157,121,121,74,469,135,135
45,363,53,439,103,121,121,45,388,134,134
47,383,81,532,168,119,119,74,464,133,133
48,388,68,495,140,120,121,59,432,133,134
49,359,56,447,110,121,121,48,395,133,133
50,265,41,378,81,121,150,39,356,123,150
51,377,82,536,163,116,117,76,470,129,130
52,386,83,576,150,121,121,77,504,136,136
53,390,83,578,157,119,119,79,512,132,132
54,389,80,546,157,120,120,72,476,133,133
56,389,77,525,148,118,118,72,462,131,131
59,387,80,534,165,122,122,75,471,134,135
62,391,79,545,154,120,120,72,477,134,134
64,349,55,445,117,116,116,50,391,126,126
67,373,81,525,153,119,119,74,461,131,132
68,386,80,528,157,117,117,72,462,130,130
70,385,83,527,161,119,119,74,462,133,133
71,387,77,532,158,117,117,71,464,131,131
72,390,81,565,164,119,120,72,495,132,133
73,389,79,529,156,118,118,73,463,131,131
74,388,80,532,154,119,119,71,464,132,132
75,386,84,542,164,119,120,80,474,132,133
76,391,79,528,147,120,120,72,462,133,133
77,391,75,537,142,120,121,68,470,134,136
78,390,79,533,154,117,118,72,464,129,131
80,390,76,551,150,123,123,70,479,135,136
81,386,79,534,157,120,121,71,467,134,135
83,391,78,532,154,121,121,70,463,134,134
84,390,79,540,151,119,119,71,465,132,132
86,388,79,537,158,119,120,74,470,132,133
88,387,85,531,163,117,117,80,461,130,130
89,384,84,514,170,115,116,75,452,129,130
90,388,79,517,164,117,117,71,454,130,130
91,389,74,534,155,117,117,68,468,130,130
92,386,75,530,159,114,114,67,464,127,127
93,376,76,541,150,121,121,70,473,134,135
94,382,77,521,155,117,117,71,456,130,131
95,385,79,521,179,1,119,73,456,1,133
97,305,41,403,90,134,134,39,371,139,139
98,385,81,537,166,117,119,75,471,130,134
100,382,77,515,151,119,119,68,455,133,133
101,391,79,551,148,124,124,72,485,137,139
102,383,76,532,154,117,117,70,465,131,132
103,388,80,526,154,121,121,77,462,134,136
104,381,77,548,157,121,121,72,478,135,136
105,387,82,543,163,117,118,78,479,131,132
106,384,85,530,169,118,120,79,467,132,134
107,384,79,534,158,122,122,71,471,138,139
109,386,76,569,165,121,123,70,500,135,137
110,384,87,540,162,122,122,78,470,136,136
111,391,79,519,164,114,115,75,453,126,128
112,388,82,598,172,122,122,78,532,137,138
113,387,80,533,158,119,121,73,467,133,137
114,387,81,526,160,118,118,73,464,131,131
115,387,82,533,164,122,122,76,468,136,138
116,385,80,528,153,121,121,71,463,133,134
117,384,72,495,145,121,121,65,438,135,135
118,359,52,446,104,122,123,46,396,137,138
119,386,79,538,149,122,122,70,472,136,137
121,388,78,543,161,122,122,70,477,136,137
122,388,75,564,163,123,124,69,494,138,140
123,383,81,531,158,118,119,74,463,133,134
124,378,84,534,167,121,122,80,467,134,135
126,384,81,554,169,121,122,74,481,136,136
128,385,82,561,166,120,120,73,492,133,133
129,365,80,538,161,123,123,73,473,137,138
130,350,80,505,155,115,115,77,445,129,129
131,383,82,561,162,123,123,76,492,138,138
132,389,80,575,169,119,120,75,502,134,135
133,319,64,492,111,144,144,55,436,159,159
134,326,77,516,146,133,133,69,453,149,149
135,52,13,287,13,253,253,13,285,252,252
136,319,72,519,123,133,134,67,460,148,149
137,332,76,528,145,130,130,70,466,146,146
139,238,63,449,109,142,159,57,394,159,176
140,38,10,277,10,217,217,10,275,216,216
141,34,9,276,9,248,248,9,274,246,246
142,38,10,275,10,216,216,10,273,216,216
143,48,13,287,13,251,251,13,285,250,250
144,48,12,291,12,249,249,12,287,248,248
146,28,6,266,6,245,245,6,264,243,243
