"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,391,75,394,114,20,22,21,37,2,3
5,394,76,556,138,50,52,20,42,6,6
8,394,71,417,132,23,30,23,38,3,3
9,391,86,487,155,20,26,26,37,2,4
12,393,73,317,122,21,26,15,29,3,3
14,393,74,441,108,43,43,24,34,4,4
18,390,81,447,158,0,2,24,39,0,3
21,395,79,603,145,48,50,25,46,5,5
28,394,89,499,150,33,39,31,40,3,4
32,388,74,545,148,47,49,19,42,5,5
33,394,69,290,97,14,15,15,27,2,2
40,385,65,517,110,49,53,14,39,6,7
44,390,71,464,102,53,55,15,41,4,4
45,370,59,520,105,36,36,17,40,3,3
47,389,88,529,145,34,38,27,46,3,4
48,394,76,549,142,45,49,19,42,7,7
49,366,57,480,118,24,25,19,42,4,4
50,269,32,417,57,9,62,14,37,3,6
51,383,82,515,146,36,38,28,43,4,4
52,392,68,493,108,54,58,15,43,7,8
53,396,67,243,94,2,3,18,29,2,2
54,395,77,586,148,49,51,22,46,6,7
56,395,76,565,135,41,44,26,46,4,4
59,393,79,596,134,53,54,16,44,4,5
62,397,81,517,130,48,50,23,42,4,4
64,356,57,458,101,11,13,16,40,3,3
67,379,63,337,90,30,35,14,29,2,2
68,392,70,203,93,6,9,10,22,2,2
70,391,70,570,121,48,49,21,50,8,8
71,393,77,515,150,31,36,23,46,3,3
72,396,82,399,128,14,16,19,34,2,3
73,395,48,146,53,1,1,17,22,1,1
74,394,82,427,146,8,9,27,43,3,3
75,392,66,314,97,27,28,17,29,2,3
76,397,57,178,76,5,7,15,28,2,2
77,397,76,550,112,57,59,19,41,7,7
78,396,84,561,152,44,49,20,44,6,6
80,396,82,610,144,54,58,21,43,7,7
81,392,80,497,129,48,50,21,43,4,4
83,397,76,542,142,31,34,29,50,4,5
84,396,69,515,108,53,54,19,43,7,7
86,394,82,379,141,23,30,27,35,3,3
88,393,85,552,137,42,43,19,44,4,4
89,390,51,171,68,1,2,12,26,2,2
90,394,43,148,51,0,0,11,15,0,0
91,395,81,477,134,15,19,16,38,3,3
92,392,71,387,125,12,16,23,33,2,3
93,382,75,351,118,18,23,25,32,3,3
94,388,75,543,122,54,57,20,48,8,8
95,391,77,415,134,17,22,25,34,3,3
97,317,32,452,52,46,46,11,40,8,8
98,391,81,432,147,6,9,16,38,2,3
100,388,86,446,161,21,24,28,42,3,3
101,397,89,568,166,49,54,30,47,4,4
102,389,74,505,138,34,37,28,43,2,2
103,394,81,538,149,28,39,19,51,8,9
104,387,81,532,133,47,48,23,44,3,4
105,393,79,552,146,26,30,22,45,4,4
106,390,77,498,119,41,44,25,47,4,4
107,390,84,574,159,48,51,29,49,5,5
109,392,81,535,133,44,48,21,45,5,5
110,390,85,557,147,50,54,29,48,4,4
111,267,8,26,8,3,3,5,8,3,3
112,394,70,558,125,62,67,20,49,8,9
113,393,75,281,107,13,17,19,31,2,2
114,393,88,425,154,8,10,22,40,3,3
115,393,84,559,151,42,47,25,56,7,7
116,391,80,546,140,43,43,25,48,4,4
117,390,71,573,134,47,48,20,43,6,7
118,366,59,414,111,19,20,14,33,4,4
119,392,83,575,145,53,56,22,46,6,6
121,394,81,558,146,48,49,27,50,4,4
122,394,82,622,152,60,63,23,53,7,8
123,389,76,297,111,12,13,16,27,3,3
124,384,74,274,114,12,14,18,30,2,2
126,390,87,577,159,41,47,31,51,5,6
128,391,78,444,121,26,29,25,46,4,5
129,371,84,580,150,53,59,19,53,8,8
130,356,40,99,43,0,0,14,21,0,0
131,389,84,628,151,62,64,21,51,8,8
132,395,87,580,163,43,47,19,46,7,7
133,325,77,543,122,109,112,25,49,10,10
134,332,78,576,122,113,115,24,55,11,11
135,48,18,376,19,94,94,8,34,11,11
136,325,70,575,122,122,124,18,50,13,13
137,338,69,435,95,90,95,20,40,6,7
139,244,62,508,96,98,122,18,45,9,12
140,38,16,277,15,19,19,7,27,6,6
141,34,15,278,16,85,85,6,24,7,7
142,38,16,300,17,30,30,7,26,6,6
143,44,17,350,19,79,107,8,33,7,11
144,44,15,335,17,76,90,6,26,10,11
146,31,14,271,15,41,41,5,30,7,7
