"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,381,94,878,256,106,108,93,768,111,114
5,384,77,849,237,101,103,76,752,104,107
8,384,89,906,252,103,103,88,793,107,109
9,381,93,915,268,104,105,89,798,109,112
12,383,93,915,278,101,102,92,800,105,109
14,383,91,913,266,105,106,90,799,110,114
18,380,90,924,278,104,106,90,806,110,114
21,385,90,912,271,103,105,88,798,109,113
28,384,92,898,267,102,105,91,785,107,111
32,378,91,922,283,106,109,89,806,111,117
33,384,91,802,250,99,102,90,698,103,108
40,375,88,894,260,101,102,88,778,105,107
44,380,89,964,258,107,108,89,846,112,114
45,360,62,763,210,110,110,61,682,118,120
47,379,91,917,267,107,109,88,797,114,117
48,384,75,807,233,102,104,72,715,106,110
49,356,62,761,196,111,111,62,681,118,119
50,257,41,602,126,157,157,41,559,165,166
51,373,92,890,267,104,105,91,779,110,111
52,382,91,954,281,103,105,88,832,108,111
53,386,91,878,270,101,103,90,767,107,111
54,385,89,879,255,104,106,86,770,109,113
56,385,91,908,258,104,105,88,798,109,112
59,383,92,927,266,101,103,89,811,107,110
62,387,84,920,258,105,107,83,802,111,114
64,346,60,740,199,108,108,59,658,115,117
67,369,90,929,274,104,106,88,812,109,112
68,382,91,884,268,102,105,90,778,107,112
70,381,92,934,285,101,103,92,818,107,110
71,383,91,924,265,102,105,90,807,108,113
72,386,87,907,270,102,103,87,796,108,110
73,385,89,916,263,103,105,87,805,107,112
74,384,85,916,264,111,113,84,802,116,121
75,382,93,898,276,101,103,93,779,106,110
76,387,92,897,258,101,106,90,783,105,112
77,387,83,897,249,105,106,82,791,108,111
78,386,88,910,264,105,107,85,794,112,115
80,386,91,910,257,103,103,89,799,108,109
81,382,89,938,265,103,104,89,820,108,110
83,387,92,900,252,101,102,91,794,107,109
84,386,93,920,283,102,103,90,806,108,110
86,384,95,898,266,108,110,93,787,113,117
88,383,88,891,274,103,104,88,777,108,111
89,380,92,890,275,99,101,92,785,104,108
90,384,96,891,295,100,104,93,782,104,109
91,385,87,918,259,102,104,87,800,108,111
92,382,83,844,249,105,108,80,746,110,114
93,372,94,907,277,102,104,94,799,107,110
94,378,90,909,273,101,105,87,793,107,114
95,381,89,878,306,3,107,86,771,4,114
97,307,46,632,139,134,135,45,581,140,143
98,381,93,945,266,108,109,92,826,113,115
100,378,90,915,255,102,103,90,799,107,109
101,387,92,953,266,104,108,92,824,110,116
102,379,88,927,255,103,104,88,814,108,111
103,384,88,925,267,104,105,88,810,110,114
104,377,92,926,268,103,104,91,812,108,111
105,383,95,924,277,102,104,92,805,106,109
106,380,91,903,254,101,105,91,789,107,113
107,380,91,959,269,105,106,90,845,111,113
109,382,91,977,290,105,109,90,857,110,115
110,380,92,903,262,101,104,91,794,106,111
111,387,94,862,261,96,98,91,750,101,103
112,384,96,955,282,104,110,92,834,110,118
113,383,89,927,255,106,108,87,810,111,114
114,383,93,909,271,100,102,92,804,105,109
115,383,88,936,275,108,108,86,821,113,115
116,381,85,910,246,106,107,84,793,110,113
117,380,79,809,241,103,107,78,716,108,113
118,356,59,733,187,109,109,59,664,116,117
119,382,93,887,258,104,106,91,780,109,112
121,384,93,973,275,107,108,91,853,113,116
122,384,88,963,264,105,108,87,840,112,116
123,379,94,899,267,100,105,94,792,105,111
124,374,92,874,255,101,103,91,767,107,110
126,380,94,971,291,106,106,94,849,111,114
128,381,94,918,270,101,105,94,808,105,111
129,361,93,952,260,106,108,92,833,111,115
130,346,90,858,278,100,100,90,759,103,103
131,379,91,969,263,107,107,91,846,113,115
132,385,92,912,263,107,108,91,807,113,115
133,315,84,760,188,134,137,83,690,149,154
134,322,91,875,230,117,118,88,775,121,124
135,48,18,341,21,232,232,18,336,231,231
136,315,83,782,186,129,131,81,706,144,147
137,328,90,854,235,113,116,90,760,117,121
139,234,74,700,146,133,145,71,638,147,158
140,38,15,326,16,177,177,15,322,176,176
141,34,12,321,12,256,256,12,317,253,253
142,38,15,328,16,187,187,15,324,187,187
143,44,16,338,18,229,235,16,332,228,234
144,44,15,337,17,234,237,15,331,233,236
146,31,11,316,12,227,227,10,312,225,225
