"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,373,61,206,93,28,29,57,191,29,31
5,376,57,246,90,48,48,55,228,50,51
8,376,57,206,91,29,29,54,196,31,32
9,373,60,260,93,48,49,56,238,50,51
12,375,67,241,103,44,45,67,227,46,48
14,375,62,250,97,40,40,58,238,42,43
18,372,65,224,98,35,39,61,207,37,42
21,377,65,252,102,49,49,60,233,51,52
28,376,59,228,93,42,43,57,218,44,45
32,370,59,223,93,36,37,58,213,37,39
33,376,62,215,101,35,38,60,204,36,41
40,367,66,224,98,36,37,64,214,37,39
44,372,59,258,99,49,49,57,242,50,51
45,351,42,160,65,39,39,42,147,41,42
47,371,62,232,101,37,37,59,216,38,39
48,376,57,234,92,45,45,55,218,47,48
49,347,47,159,71,40,40,47,150,42,43
50,253,33,136,47,47,47,32,126,49,49
51,365,60,218,92,34,35,57,207,37,39
52,374,62,285,95,51,51,60,260,52,53
53,378,59,219,94,38,38,58,206,40,41
54,377,62,254,98,50,50,60,240,51,53
56,377,62,217,102,32,33,60,207,33,36
59,375,62,262,94,51,51,60,244,53,53
62,379,64,253,101,46,49,59,239,48,52
64,337,48,167,75,37,37,45,152,39,40
67,361,61,220,97,37,38,59,209,38,41
68,374,66,229,107,36,37,63,213,37,40
70,373,64,227,103,39,41,62,215,42,45
71,375,59,220,102,32,36,58,208,35,39
72,378,62,248,98,43,43,61,235,45,46
73,377,56,209,95,40,41,54,196,42,44
74,376,58,260,94,46,47,57,239,47,49
75,374,61,236,103,35,35,60,219,37,38
76,379,67,254,100,47,48,63,235,49,51
77,379,61,238,96,41,41,59,221,42,43
78,378,63,218,100,34,34,60,204,36,37
80,378,65,232,102,38,39,65,218,40,42
81,374,60,253,96,44,45,58,239,46,48
83,379,66,207,94,30,30,63,195,30,31
84,378,60,219,98,36,36,57,204,38,39
86,376,65,252,104,43,43,64,234,45,46
88,375,61,215,96,30,32,61,203,31,34
89,372,62,201,99,33,34,61,192,35,37
90,376,61,234,97,48,49,61,216,50,51
91,377,57,190,84,30,30,55,180,31,32
92,374,61,240,102,41,41,59,226,42,43
93,364,64,243,108,41,42,62,229,42,44
94,370,62,241,96,42,42,59,221,43,44
95,373,63,220,106,0,37,60,206,1,40
97,293,35,144,54,37,37,33,133,38,39
98,373,61,262,102,49,50,60,243,51,52
100,370,60,252,100,49,49,57,232,51,52
101,379,59,251,97,50,50,58,236,51,52
102,371,60,254,101,50,50,56,234,52,52
103,376,60,251,103,47,49,58,232,49,51
104,369,63,290,108,48,49,60,264,50,52
105,375,62,258,105,48,50,61,236,50,52
106,372,65,248,104,46,46,62,234,48,49
107,372,62,248,96,49,49,60,233,51,52
109,374,62,286,98,52,52,60,266,55,56
110,372,61,264,96,51,52,59,245,53,53
111,379,62,201,97,32,32,60,190,33,35
112,376,59,269,94,51,52,57,253,53,54
113,375,63,250,99,47,50,62,235,49,52
114,375,62,253,100,49,49,61,239,48,50
115,375,58,279,99,49,50,57,254,51,52
116,373,65,249,95,48,49,62,234,50,51
117,372,59,237,99,44,45,57,221,46,48
118,347,50,163,80,38,38,50,154,40,41
119,374,61,250,97,50,50,59,230,52,53
121,376,64,278,99,52,52,62,258,55,56
122,376,64,277,98,49,49,61,260,51,52
123,371,60,247,92,44,45,59,233,46,48
124,366,63,221,96,34,36,62,209,36,39
126,372,59,272,103,51,51,58,255,53,54
128,373,62,251,93,49,49,59,237,51,52
129,353,60,254,96,52,52,59,242,52,53
130,338,62,235,98,47,47,60,224,49,50
131,371,60,259,96,51,51,59,248,53,54
132,377,63,222,94,40,40,62,211,41,42
133,307,49,223,69,55,55,49,216,56,57
134,314,59,243,89,53,55,57,233,54,57
135,52,7,144,7,130,130,7,142,129,129
136,307,49,226,75,55,56,48,218,57,59
137,320,57,255,89,53,54,56,243,55,57
139,226,48,213,66,56,57,46,207,57,58
140,38,6,135,6,88,88,6,133,87,87
141,34,5,134,5,123,123,5,132,122,122
142,38,7,135,7,79,79,7,133,78,78
143,48,9,144,9,126,126,9,142,125,125
144,48,5,142,5,126,126,5,140,125,125
146,28,4,129,4,124,124,4,127,122,122
