"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,385,66,249,113,26,26,50,159,35,35
5,388,62,254,113,25,26,48,164,31,32
8,388,64,268,121,28,28,52,174,36,36
9,385,66,256,122,26,26,55,165,34,35
12,387,67,255,115,28,28,55,166,35,35
14,387,66,249,116,26,26,55,161,32,32
18,384,68,253,111,27,27,54,163,35,35
21,389,69,261,121,25,26,55,170,34,36
28,388,64,245,109,26,26,52,158,34,35
32,382,66,250,119,27,28,50,161,34,36
33,388,70,236,109,21,22,57,155,27,28
40,379,67,252,115,26,27,51,161,33,34
44,384,62,251,109,29,29,51,162,35,35
45,363,46,201,85,33,33,33,121,40,40
47,383,66,255,117,28,28,54,164,35,35
48,388,63,242,110,28,28,51,156,34,35
49,359,45,204,86,36,36,33,126,44,44
50,265,37,185,72,30,44,26,113,36,53
51,377,70,258,116,24,25,56,165,33,34
52,386,64,262,119,28,28,50,171,36,36
53,390,69,245,115,26,26,51,159,34,34
54,389,73,251,113,27,28,51,161,34,35
56,389,65,256,119,27,28,49,165,34,35
59,387,64,263,113,28,28,53,170,35,35
62,391,67,258,115,27,28,49,164,34,36
64,349,49,195,88,30,30,36,117,36,36
67,373,68,247,116,27,28,53,158,35,36
68,386,71,249,119,29,29,56,162,36,36
70,385,66,265,118,28,28,49,174,37,37
71,387,70,262,132,26,27,56,170,35,36
72,390,69,255,118,27,27,53,165,35,35
73,389,69,258,111,26,27,50,167,35,36
74,388,65,256,113,28,28,48,167,35,36
75,386,65,258,122,26,26,54,165,35,35
76,391,67,253,111,28,28,53,162,36,36
77,391,63,256,112,25,27,52,169,33,35
78,390,65,256,119,28,28,52,166,37,37
80,390,67,259,117,29,29,52,167,38,38
81,386,70,257,118,25,27,56,168,33,35
83,391,68,252,114,25,27,53,164,33,35
84,390,65,255,120,27,27,53,166,35,35
86,388,69,256,124,26,27,54,168,34,35
88,387,61,249,107,26,27,49,163,35,36
89,384,68,249,116,27,27,52,163,35,35
90,388,68,248,118,28,28,50,163,36,36
91,389,71,255,117,29,29,60,166,38,38
92,386,56,246,99,27,27,41,158,36,36
93,376,65,255,109,29,29,54,164,35,36
94,382,64,254,112,28,28,53,164,36,36
95,385,66,249,122,1,27,56,161,15,35
97,305,41,191,73,36,36,30,117,42,42
98,385,67,264,112,29,29,52,171,37,37
100,382,63,256,119,26,26,49,166,35,35
101,391,65,264,114,27,27,53,171,36,36
102,383,62,260,113,27,28,53,168,37,38
103,388,69,259,121,30,30,55,169,37,37
104,381,66,258,115,29,29,53,168,37,37
105,387,69,259,115,29,29,54,170,38,38
106,384,64,257,111,29,29,51,169,37,37
107,384,61,260,122,27,27,46,170,35,35
109,386,64,259,116,28,29,52,168,36,36
110,384,72,259,120,29,29,53,168,36,36
111,391,63,244,110,25,25,52,160,36,36
112,388,68,263,115,28,28,58,171,37,37
113,387,70,260,116,26,27,58,169,35,36
114,387,70,258,124,23,26,57,167,33,36
115,387,69,258,121,28,29,57,167,37,38
116,385,67,249,116,25,26,55,162,33,34
117,384,57,236,110,25,25,42,153,32,32
118,359,49,203,94,37,37,37,122,43,43
119,386,67,255,119,26,26,55,165,35,35
121,388,71,259,122,26,26,47,170,36,37
122,388,68,266,121,26,26,51,173,34,34
123,383,70,259,114,27,28,53,166,34,35
124,378,69,261,119,26,26,50,169,34,34
126,384,63,262,115,30,30,47,172,37,37
128,385,64,262,112,29,29,50,169,37,37
129,365,66,264,118,25,25,54,170,35,35
130,350,71,252,114,24,25,54,166,35,35
131,383,63,261,114,28,28,48,169,36,36
132,389,63,263,115,28,28,49,170,36,36
133,319,50,193,78,33,35,43,160,38,41
134,326,66,233,106,33,33,53,163,41,41
135,52,10,97,10,82,82,9,91,78,78
136,319,57,192,71,38,39,46,160,44,45
137,332,67,226,100,31,31,50,153,38,38
139,238,46,177,67,35,39,36,152,40,44
140,38,9,91,9,69,69,9,91,69,69
141,34,6,91,6,81,81,6,90,80,80
142,38,7,90,7,72,72,7,90,72,72
143,48,10,95,10,79,79,8,91,79,79
144,48,8,94,8,78,78,8,92,78,78
146,28,6,92,6,81,81,6,92,81,81
