"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,389,75,285,121,26,26,56,183,33,34
5,392,67,275,116,24,24,51,175,36,36
8,392,76,298,126,25,26,61,191,35,35
9,389,77,295,135,26,27,57,189,34,35
12,391,70,295,135,25,26,56,187,37,37
14,391,73,288,128,25,26,60,185,35,35
18,388,74,296,133,24,24,56,189,35,35
21,393,73,299,127,25,25,56,189,37,37
28,392,70,282,116,25,27,52,180,33,34
32,386,73,293,127,24,25,61,186,33,34
33,392,70,256,137,18,20,61,161,27,28
40,383,77,276,129,24,24,61,175,33,33
44,388,75,293,125,27,28,55,187,38,38
45,367,50,213,87,28,29,34,131,39,39
47,387,72,293,115,24,24,59,190,35,35
48,392,69,254,118,25,25,49,159,33,33
49,363,45,207,83,26,28,33,128,35,35
50,269,35,194,72,20,38,25,124,28,48
51,381,73,300,135,24,25,55,194,33,33
52,390,75,297,133,24,24,58,189,35,35
53,394,75,273,125,22,24,57,178,32,32
54,393,72,288,121,26,26,57,183,33,33
56,393,75,291,126,25,26,57,186,35,35
59,391,76,296,123,26,26,62,189,35,35
62,395,76,294,125,27,28,59,189,35,36
64,353,51,210,89,25,26,36,130,31,32
67,377,71,292,126,24,25,58,188,35,35
68,390,73,290,133,24,24,60,185,32,33
70,389,74,297,130,27,28,58,188,37,37
71,391,72,295,130,26,28,57,189,37,37
72,394,73,285,128,24,26,54,184,34,35
73,393,74,294,122,26,26,61,186,37,37
74,392,71,295,125,24,24,52,187,36,36
75,390,74,290,126,26,26,57,189,34,34
76,395,72,290,122,25,27,55,182,35,37
77,395,69,289,120,25,26,54,187,32,34
78,394,69,294,115,26,26,52,186,35,35
80,394,75,296,125,26,27,55,188,34,34
81,390,72,300,125,26,26,55,191,37,37
83,395,74,295,128,27,27,59,188,37,37
84,394,76,293,129,26,26,60,186,34,35
86,392,73,297,126,25,27,54,188,35,36
88,391,74,287,120,25,25,55,184,35,35
89,388,76,292,122,24,24,51,186,34,34
90,392,73,287,121,27,27,53,183,36,36
91,393,74,287,124,26,28,56,180,37,37
92,390,68,280,117,24,24,58,179,38,38
93,380,70,288,122,23,25,58,184,34,35
94,386,73,293,123,25,26,56,185,34,34
95,389,69,280,136,1,24,56,181,7,33
97,317,42,198,80,25,25,29,125,36,36
98,389,72,300,127,24,25,58,190,35,35
100,386,72,298,126,24,25,59,191,34,34
101,395,75,296,125,24,27,53,190,35,36
102,387,74,302,126,25,26,55,193,37,37
103,392,75,297,129,26,28,61,191,37,37
104,385,74,296,128,24,25,53,188,33,36
105,391,74,296,129,26,26,57,189,36,36
106,388,74,296,127,25,26,58,188,37,38
107,388,76,295,127,25,27,54,188,36,36
109,390,74,301,126,27,28,56,193,39,39
110,388,77,286,123,28,28,57,183,37,37
111,395,75,286,131,24,24,59,183,36,36
112,392,71,298,135,26,27,55,192,36,37
113,391,73,298,133,25,29,60,191,35,36
114,391,71,295,128,25,26,60,187,35,37
115,391,78,300,139,26,26,61,193,35,35
116,389,74,292,127,24,25,58,188,32,33
117,388,65,249,110,25,25,43,152,36,36
118,363,50,202,87,25,25,40,128,35,35
119,390,71,284,121,25,26,57,183,36,37
121,392,77,298,130,25,27,56,189,38,38
122,392,72,304,126,26,27,55,194,37,39
123,387,75,300,134,25,25,56,191,36,36
124,382,75,302,135,24,24,59,195,33,34
126,388,75,302,128,26,27,54,193,39,39
128,389,76,296,128,26,28,52,189,38,38
129,369,71,299,130,27,27,58,194,37,37
130,354,76,288,134,24,25,61,187,36,37
131,387,72,300,118,26,27,54,193,37,37
132,393,67,300,123,27,27,56,192,38,38
133,323,67,252,101,29,29,56,183,39,39
134,330,72,276,119,30,31,54,185,39,39
135,46,14,124,14,95,95,14,115,93,93
136,323,67,260,96,32,32,52,184,43,43
137,336,71,276,115,25,27,56,183,35,38
139,242,56,231,79,43,46,45,179,49,52
140,36,9,114,10,64,64,8,107,64,64
141,32,10,115,10,92,92,9,108,91,91
142,36,10,109,10,71,71,10,104,71,71
143,42,10,119,10,92,92,8,111,91,91
144,42,13,121,12,92,92,12,114,91,91
146,28,6,106,7,88,88,6,98,86,86
