"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,389,75,343,149,46,48,74,302,47,49
5,392,61,398,134,65,66,59,345,70,72
8,392,68,412,140,66,67,63,359,72,73
9,389,71,415,148,66,67,69,357,70,72
12,391,78,408,146,63,64,73,352,69,72
14,391,71,407,137,61,62,65,352,69,70
18,388,68,409,143,65,65,65,354,69,71
21,393,71,395,138,66,67,65,343,72,75
28,392,71,411,152,64,65,69,354,70,72
32,386,74,376,158,56,58,72,330,60,63
33,392,74,307,137,50,51,72,275,51,52
40,383,66,401,145,63,64,64,348,69,71
44,388,66,399,142,63,64,64,351,68,71
45,367,48,352,117,67,67,48,309,70,70
47,387,73,365,155,53,58,72,323,57,61
48,392,68,360,150,50,52,67,324,52,54
49,363,49,340,111,71,72,46,298,74,75
50,269,38,302,84,81,93,38,273,82,96
51,381,71,399,137,62,64,67,345,69,72
52,390,66,403,149,65,66,64,352,72,73
53,394,75,329,145,49,50,74,293,51,53
54,393,73,401,156,62,63,69,346,68,72
56,393,64,413,133,65,66,64,354,70,72
59,391,76,401,145,62,65,71,345,69,72
62,395,71,407,144,61,65,70,355,68,72
64,353,53,340,123,47,47,53,297,48,48
67,377,67,410,148,62,64,65,355,68,71
68,390,70,363,152,54,54,67,325,58,58
70,389,72,409,147,65,66,71,354,69,72
71,391,71,409,130,65,66,69,353,70,72
72,394,73,399,137,61,63,69,341,65,68
73,393,67,418,139,62,63,65,361,68,69
74,392,70,393,139,63,63,67,337,67,69
75,390,72,405,144,64,66,69,346,68,71
76,395,72,404,135,64,64,67,349,70,71
77,395,68,398,146,62,64,63,343,70,72
78,394,68,405,143,61,63,61,347,68,70
80,394,73,399,134,62,64,68,345,66,71
81,390,69,408,145,64,66,64,350,70,73
83,395,70,409,141,61,62,68,352,67,69
84,394,66,393,130,65,66,62,341,70,73
86,392,66,407,142,64,65,64,347,72,73
88,391,69,410,138,63,64,67,355,69,71
89,388,71,412,153,62,63,69,354,68,69
90,392,74,400,151,63,64,70,346,69,71
91,393,73,401,143,65,66,70,347,73,74
92,390,69,402,137,64,64,68,347,70,70
93,380,75,400,137,62,64,70,348,67,71
94,386,63,405,136,62,63,61,349,68,70
95,389,76,372,169,1,62,73,326,2,65
97,317,41,311,90,83,85,37,281,84,86
98,389,70,418,148,62,63,63,355,68,69
100,386,73,408,148,61,64,71,350,68,73
101,395,71,411,146,62,64,68,358,69,72
102,387,63,393,126,62,63,60,338,68,70
103,392,67,408,147,67,68,64,352,71,74
104,385,69,411,137,65,65,64,360,72,72
105,391,62,406,130,60,62,57,351,64,67
106,388,74,409,147,65,65,68,351,71,72
107,388,71,393,139,66,68,66,339,72,74
109,390,67,411,135,62,63,62,353,69,71
110,388,70,406,145,65,66,68,353,70,73
111,395,69,405,139,62,63,67,344,68,70
112,392,67,401,143,64,64,62,346,72,73
113,391,69,402,133,62,64,66,351,68,71
114,391,62,393,138,57,60,59,338,63,68
115,391,66,406,145,63,65,61,350,70,72
116,389,74,400,147,65,66,72,342,72,74
117,388,66,368,149,48,49,63,327,50,52
118,363,55,303,116,51,53,54,277,54,56
119,390,77,357,161,49,50,75,319,53,56
121,392,76,403,149,63,63,70,348,69,70
122,392,74,411,144,61,64,68,352,67,71
123,387,68,404,143,61,62,64,349,68,69
124,382,67,407,136,65,68,64,350,69,74
126,388,70,414,138,65,66,65,357,71,72
128,389,74,412,147,62,63,70,354,65,67
129,369,68,397,144,62,64,65,345,70,72
130,354,70,384,142,64,65,69,336,70,72
131,387,72,416,145,63,66,68,358,70,74
132,393,71,416,149,62,64,67,357,68,70
133,323,62,314,98,79,79,57,279,85,87
134,330,68,375,123,77,80,64,334,82,85
135,46,11,152,11,129,129,11,152,129,129
136,323,63,307,95,80,82,60,272,84,87
137,336,68,365,120,75,75,63,322,79,79
139,242,55,296,83,82,87,50,264,88,93
140,36,9,145,9,130,130,9,145,130,130
141,32,7,132,7,121,121,7,132,121,121
142,36,7,147,7,120,120,7,147,120,120
143,42,10,142,10,120,120,10,142,120,120
144,42,7,136,7,121,121,7,136,121,121
146,28,4,131,4,124,124,4,131,124,124
