"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,255,40,213,49,42,42,38,203,46,46
5,255,28,239,39,46,46,26,227,49,49
8,255,35,255,46,47,47,34,240,51,51
9,255,37,259,49,48,48,36,243,52,52
12,255,35,257,46,44,44,33,242,48,48
14,255,34,250,44,47,47,34,236,51,51
18,255,32,246,48,46,46,31,231,50,50
21,255,36,252,53,47,47,35,236,51,51
28,255,34,242,44,45,45,34,228,49,49
32,255,33,242,46,46,46,32,227,50,50
33,255,40,200,55,37,38,39,194,37,38
40,255,34,260,47,46,46,32,245,50,50
44,255,35,262,48,46,46,32,244,49,49
45,227,16,150,17,64,64,16,146,66,66
47,255,35,251,51,46,46,34,235,49,50
48,255,36,226,46,45,45,35,213,48,48
49,227,21,148,25,63,63,20,144,65,65
50,135,10,138,11,63,65,10,135,63,65
51,255,36,253,52,47,47,34,233,51,51
52,255,37,262,47,48,48,35,246,52,52
53,255,42,242,59,45,45,41,227,49,49
54,255,39,255,52,48,48,36,238,52,52
56,255,36,258,53,45,45,34,240,49,49
59,255,34,255,41,47,47,32,240,51,51
62,255,37,252,49,45,45,37,239,49,49
64,227,18,145,21,61,61,18,141,62,62
67,255,37,263,47,47,47,36,246,51,51
68,255,40,239,54,45,45,40,225,49,49
70,255,33,261,44,47,47,32,246,51,51
71,255,37,259,54,47,47,35,242,51,51
72,255,37,241,51,45,45,35,228,48,48
73,255,33,259,46,45,45,32,244,49,49
74,255,30,266,44,47,47,30,248,51,51
75,255,40,247,59,47,47,40,230,51,51
76,255,37,249,54,42,42,37,235,45,45
77,255,34,261,48,46,46,33,243,49,49
78,255,36,250,50,46,46,35,235,50,50
80,255,33,260,47,46,46,33,244,50,50
81,255,38,260,53,45,45,37,245,49,49
83,255,31,254,43,47,47,31,239,51,51
84,255,29,256,41,46,46,28,241,50,50
86,255,29,261,43,47,47,29,244,51,51
88,255,34,253,49,47,47,34,232,51,51
89,255,33,251,43,47,47,33,236,51,52
90,255,33,254,50,46,46,33,240,50,50
91,255,35,258,46,47,47,33,243,51,51
92,255,34,247,43,47,47,34,234,51,51
93,255,38,252,48,46,46,37,237,50,50
94,255,36,261,52,47,47,34,246,51,51
95,255,39,246,54,5,44,39,232,5,48
97,181,9,148,10,69,69,9,146,69,69
98,255,34,254,47,46,46,33,239,50,50
100,255,33,259,43,47,47,30,244,51,51
101,255,36,259,47,46,46,35,243,50,50
102,255,36,260,50,46,46,36,240,50,50
103,255,32,254,45,46,46,31,239,49,49
104,255,32,257,44,46,46,29,243,50,50
105,255,32,263,45,47,47,31,249,51,51
106,255,30,256,40,47,47,29,242,51,51
107,255,37,260,51,45,47,37,245,49,51
109,255,36,262,45,47,47,32,245,51,51
110,255,34,263,40,46,46,33,247,50,50
111,255,32,254,43,46,46,31,240,50,50
112,255,34,266,52,47,47,33,249,51,51
113,255,35,263,50,47,47,34,248,51,51
114,255,38,261,46,47,47,37,247,51,51
115,255,37,264,51,47,47,37,248,51,51
116,255,35,255,46,46,46,34,240,49,50
117,255,31,231,36,46,46,30,219,50,50
118,227,16,149,21,63,63,16,145,64,64
119,255,34,246,50,47,47,33,231,51,51
121,255,36,256,49,46,46,34,241,49,49
122,255,34,252,47,46,46,34,237,50,50
123,255,37,264,56,47,47,36,249,51,51
124,255,37,260,48,47,47,34,245,51,51
126,255,38,264,52,47,47,37,247,51,51
128,255,35,258,50,47,47,33,243,51,51
129,255,33,265,44,48,48,30,248,52,52
130,255,35,252,47,47,47,32,237,50,50
131,255,37,256,50,48,48,34,240,52,52
132,255,36,263,50,47,47,35,247,51,51
133,255,34,236,45,45,46,34,221,49,50
134,255,33,262,47,46,46,32,245,50,50
135,46,4,111,5,87,87,4,111,87,87
136,255,38,259,46,48,48,37,243,52,52
137,255,38,263,52,48,48,37,247,52,52
139,255,32,229,43,46,46,32,214,50,50
140,36,5,97,5,71,71,5,97,71,71
141,32,3,98,3,82,82,3,98,82,82
142,36,6,96,6,73,73,6,96,73,73
143,42,5,110,6,86,86,5,110,86,86
144,42,9,111,11,84,84,9,111,84,84
146,28,2,94,2,90,90,2,94,90,90
