"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,389,90,698,208,92,93,89,660,95,98
5,392,71,723,189,109,109,70,676,113,114
8,392,81,788,198,101,103,79,730,107,112
9,389,87,801,214,105,106,86,741,110,113
12,391,86,797,215,112,112,83,744,116,117
14,391,84,762,223,104,105,79,708,110,112
18,388,81,768,197,97,98,81,712,103,107
21,393,79,797,203,108,109,76,738,114,117
28,392,85,753,217,95,98,81,703,99,102
32,386,79,762,209,96,96,77,704,103,106
33,392,89,714,218,94,95,86,673,98,100
40,383,84,789,206,104,105,81,737,109,111
44,388,84,802,199,110,110,80,742,114,115
45,368,59,650,154,114,115,58,619,116,120
47,387,81,756,197,102,103,77,704,107,108
48,392,72,696,176,90,91,68,652,96,98
49,364,57,625,158,109,113,56,597,112,117
50,267,42,548,109,76,144,42,529,76,144
51,381,79,788,202,102,104,75,735,109,112
52,390,84,811,202,106,106,80,753,112,116
53,394,84,749,216,95,97,81,700,98,101
54,393,82,805,194,107,108,81,741,111,113
56,393,82,765,209,100,103,80,710,104,109
59,391,83,800,219,98,99,82,743,105,108
62,395,85,815,220,101,103,83,757,106,111
64,354,54,609,144,102,106,53,584,104,108
67,377,83,789,201,106,107,81,731,112,117
68,390,88,746,213,93,95,86,698,97,99
70,389,84,786,211,106,108,82,728,110,114
71,391,85,792,217,104,107,81,733,108,113
72,394,87,740,231,102,107,84,695,105,111
73,393,83,782,198,103,105,79,726,107,112
74,392,83,791,216,107,108,81,736,112,114
75,390,85,780,197,99,101,81,722,104,109
76,395,89,769,211,92,94,89,718,98,101
77,395,78,780,205,106,107,77,724,112,114
78,394,86,782,196,102,102,81,723,106,106
80,394,83,786,209,101,104,81,728,107,112
81,390,89,804,206,107,108,86,746,113,116
83,395,85,794,206,101,105,84,738,105,110
84,394,78,791,211,104,105,77,732,110,111
86,392,91,791,211,104,104,87,734,110,111
88,391,84,764,206,99,101,81,709,103,105
89,388,83,791,219,108,108,82,733,113,115
90,392,83,778,196,103,107,81,720,106,112
91,393,85,781,214,106,106,81,727,111,113
92,390,75,752,202,104,107,74,706,108,113
93,380,82,753,210,104,105,80,699,108,110
94,386,86,757,190,96,96,84,706,102,103
95,389,79,743,215,5,98,77,693,5,106
97,315,43,559,113,122,122,43,539,124,125
98,389,80,780,205,104,105,78,726,109,112
100,386,84,769,213,111,111,82,708,115,116
101,395,83,782,213,99,101,81,717,104,106
102,387,85,778,210,105,105,83,720,111,112
103,392,81,784,197,105,107,77,727,110,112
104,385,79,798,192,111,115,76,740,114,119
105,391,84,756,220,102,104,81,703,107,111
106,388,85,786,220,102,106,81,733,107,114
107,388,87,774,207,105,107,84,715,111,114
109,390,82,810,208,111,115,80,749,116,120
110,388,83,789,215,109,110,81,732,114,117
111,395,92,765,223,96,98,90,718,100,103
112,392,79,782,193,109,109,78,725,116,117
113,391,84,795,211,111,113,82,735,117,119
114,391,85,776,223,102,104,80,723,107,111
115,391,85,788,213,108,108,82,726,114,115
116,389,83,775,215,108,109,81,724,113,116
117,388,71,712,184,92,93,67,669,97,98
118,364,59,638,158,107,113,59,609,108,114
119,390,88,774,213,102,102,87,720,107,108
121,392,84,810,219,108,109,82,753,113,116
122,392,78,795,201,111,112,73,737,116,120
123,387,85,788,206,104,104,81,731,111,113
124,382,84,787,211,106,108,82,733,110,112
126,388,85,797,206,108,110,81,738,114,118
128,389,83,807,216,110,110,82,744,116,119
129,369,85,772,202,108,109,78,712,115,118
130,354,88,709,229,106,106,87,658,109,111
131,387,83,806,207,110,112,79,748,115,118
132,393,83,807,211,108,111,81,751,112,117
133,323,71,605,130,137,138,68,566,143,146
134,330,83,712,175,132,134,79,656,139,143
135,48,13,343,14,252,252,13,340,251,251
136,323,81,649,159,135,137,76,602,141,144
137,336,84,723,189,130,131,79,663,138,140
139,242,65,576,128,150,155,61,540,157,162
140,38,13,322,13,218,218,13,321,218,218
141,34,11,324,11,256,256,11,323,255,255
142,38,13,310,13,220,220,13,310,220,220
143,44,15,339,16,247,251,15,336,247,251
144,44,16,340,17,248,250,16,337,247,248
146,31,9,299,9,243,243,9,298,243,243
