"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,389,42,153,50,52,52,36,142,52,52
5,392,50,156,59,52,52,44,143,52,52
8,392,46,155,56,53,53,43,142,53,53
9,389,44,154,55,53,53,39,142,54,54
12,391,40,154,51,52,52,36,142,52,52
14,391,39,152,54,51,51,35,141,51,51
18,388,44,155,56,53,53,39,143,53,53
21,393,40,161,57,51,51,34,147,51,51
28,392,41,158,54,52,52,34,145,52,52
32,386,42,154,56,52,52,38,142,52,52
33,392,44,151,56,49,49,40,138,49,49
40,383,46,156,60,53,53,42,145,53,53
44,388,42,158,54,53,53,37,146,53,53
45,367,30,131,38,54,54,24,119,54,54
47,387,37,156,51,53,53,33,142,53,53
48,392,48,157,62,51,52,42,144,51,52
49,363,34,128,40,51,51,30,119,51,51
50,269,23,119,33,52,62,21,113,52,62
51,381,43,156,52,53,53,37,144,53,53
52,390,39,157,52,53,53,32,145,53,53
53,394,44,152,59,52,53,41,139,53,54
54,393,43,158,54,52,52,40,146,52,52
56,393,46,157,54,52,52,38,145,52,52
59,391,44,157,54,52,52,40,144,52,52
62,395,49,165,62,53,53,45,153,53,53
64,353,32,129,43,53,54,28,119,53,54
67,377,41,157,53,52,52,35,144,52,52
68,390,41,154,55,51,52,38,141,51,52
70,389,35,157,45,53,53,33,144,53,53
71,391,43,159,57,53,53,39,146,53,53
72,394,43,154,54,52,52,41,142,52,52
73,393,46,161,59,53,53,41,147,54,54
74,392,46,156,59,52,52,41,143,52,52
75,390,44,158,56,53,53,36,145,53,53
76,395,41,158,55,52,52,36,145,52,52
77,395,46,155,59,53,53,39,142,53,53
78,394,41,155,52,53,53,37,143,53,53
80,394,45,157,59,53,53,41,144,53,53
81,390,44,155,54,52,52,40,143,52,52
83,395,51,159,63,52,52,46,146,53,53
84,394,45,158,61,53,53,40,145,53,53
86,392,41,157,57,53,53,37,144,53,53
88,391,45,154,59,52,52,39,142,52,52
89,388,40,157,52,52,52,35,144,52,52
90,392,49,158,58,53,53,44,145,53,53
91,393,47,158,60,53,53,45,146,53,53
92,390,38,158,51,53,53,32,145,53,53
93,380,48,154,61,53,53,43,141,53,53
94,386,45,155,54,52,52,41,143,52,52
95,389,46,158,56,0,52,40,144,1,52
97,317,25,121,32,54,54,25,116,54,54
98,389,45,157,58,53,53,40,145,53,53
100,386,43,158,59,53,53,38,144,54,54
101,395,41,154,53,52,52,37,142,52,52
102,387,47,154,59,52,52,42,142,52,52
103,392,45,157,60,52,52,39,144,52,52
104,385,47,157,58,53,53,43,144,53,53
105,391,45,156,55,53,53,41,144,53,53
106,388,45,157,56,51,52,41,144,51,52
107,388,42,156,53,53,53,37,144,53,53
109,390,42,157,57,52,52,39,144,52,52
110,388,45,155,55,52,52,41,142,52,52
111,395,45,159,58,53,53,35,146,53,53
112,392,39,155,53,53,53,36,143,53,53
113,391,44,160,59,53,53,40,146,53,53
114,391,47,155,59,52,52,41,143,53,53
115,391,45,157,55,52,53,41,145,52,53
116,389,44,156,56,53,54,39,143,53,54
117,388,40,153,49,51,51,34,141,51,51
118,363,34,133,39,53,53,29,122,53,53
119,390,45,156,56,53,53,39,143,53,53
121,392,49,163,61,51,51,42,150,51,51
122,392,42,158,61,52,52,39,145,52,52
123,387,43,158,55,52,52,37,145,52,52
124,382,44,157,59,52,52,38,145,52,52
126,388,43,158,58,52,52,41,146,52,52
128,389,46,157,53,52,53,39,144,52,53
129,369,43,156,54,52,52,39,143,52,52
130,354,47,149,57,52,52,43,140,52,52
131,387,38,158,50,52,52,34,146,52,52
132,393,37,158,54,52,52,31,145,52,52
133,323,36,138,41,54,54,33,130,54,54
134,330,39,144,44,54,54,35,135,54,54
135,46,4,87,4,82,82,4,86,81,81
136,323,41,138,46,55,55,35,130,55,55
137,336,40,147,46,54,54,37,138,54,54
139,242,28,135,30,59,59,25,128,59,59
140,36,3,84,3,76,76,3,83,75,75
141,32,2,84,2,83,83,2,83,82,82
142,36,3,84,3,71,71,3,83,70,70
143,42,2,86,2,85,85,2,85,84,84
144,42,3,84,3,82,82,3,83,81,81
146,28,2,84,2,83,83,2,83,82,82
