"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,271,71,927,158,163,166,62,630,166,167
5,271,57,965,133,168,171,53,643,169,170
8,271,70,1118,167,179,187,63,754,185,190
9,271,71,1010,160,165,169,64,680,169,172
12,271,68,1041,169,166,172,62,697,168,172
14,271,71,1001,162,162,163,64,677,164,165
18,271,70,1011,156,166,170,66,682,170,175
21,271,71,1006,161,162,163,64,674,164,164
28,271,73,945,163,164,167,62,637,165,168
32,271,71,1002,158,163,165,66,666,163,164
33,271,70,894,158,130,134,62,612,131,136
40,271,69,959,159,157,159,62,652,163,163
44,271,71,985,147,164,167,62,664,165,167
45,244,38,709,74,162,163,35,515,169,170
47,271,73,1027,175,166,172,67,695,169,173
48,271,56,859,126,161,164,49,584,166,167
49,244,38,727,77,161,161,33,522,167,167
50,149,18,595,34,125,166,17,447,125,165
51,271,74,1025,176,163,169,65,694,166,171
52,271,72,994,162,167,168,65,672,169,171
53,271,72,921,172,153,157,67,638,160,163
54,271,73,981,182,161,165,69,669,164,166
56,271,72,957,159,158,161,66,659,163,165
59,271,71,995,155,162,163,66,662,164,165
62,271,69,1021,162,166,172,64,690,170,173
64,244,39,721,92,120,122,30,523,123,125
67,271,74,988,167,159,162,63,659,163,164
68,271,72,971,162,155,157,65,663,161,164
70,271,74,1136,170,179,192,66,777,182,194
71,271,74,1275,179,232,237,69,849,233,234
72,271,70,943,147,153,156,59,657,157,159
73,271,71,1018,166,167,171,68,691,170,173
74,271,71,1094,164,170,177,64,720,180,184
75,271,70,1037,170,167,169,66,697,170,172
76,271,72,1023,158,165,169,66,685,171,174
77,271,68,1049,166,171,176,63,696,172,176
78,271,73,1029,169,170,175,65,693,173,176
80,271,69,1002,164,164,170,65,684,168,173
81,271,69,1045,165,169,172,66,699,167,169
83,271,68,1012,160,163,169,63,696,168,171
84,271,70,1027,158,167,169,60,690,168,169
86,271,72,1042,164,165,168,63,686,170,172
88,271,68,983,150,167,168,59,661,167,168
89,271,69,989,155,158,162,63,683,167,168
90,271,71,948,155,162,164,66,657,165,167
91,271,72,955,159,161,164,63,649,162,163
92,271,61,884,141,150,154,53,610,158,160
93,271,70,1023,162,166,170,63,678,172,174
94,271,72,984,153,165,168,63,662,168,169
95,271,72,998,177,39,167,60,667,93,171
97,195,22,594,38,169,170,19,448,168,169
98,271,73,1286,163,230,232,63,853,231,234
100,271,73,1295,166,233,237,65,859,233,237
101,271,73,1280,151,234,234,65,857,235,236
102,271,73,1315,169,229,233,65,874,234,237
103,271,76,1266,175,228,232,69,857,232,233
104,271,73,1067,166,167,174,66,708,167,171
105,271,77,1255,171,228,228,71,849,232,234
106,271,69,1003,162,167,168,61,685,172,173
107,271,70,1147,156,185,191,63,755,185,191
109,271,70,1089,152,170,176,61,711,173,177
110,271,73,1000,160,166,167,69,681,170,172
111,271,74,934,151,157,161,66,650,163,166
112,271,73,1296,161,228,231,67,865,234,237
113,271,71,1039,158,163,165,65,700,168,170
114,271,72,1262,162,226,228,66,854,229,232
115,271,73,1281,160,229,233,68,858,230,233
116,271,72,1016,165,166,168,63,676,169,172
117,271,58,864,134,157,158,56,586,160,161
118,244,41,724,86,161,163,38,520,167,169
119,271,71,974,158,160,165,62,653,164,167
121,271,71,1305,160,227,231,63,865,233,236
122,271,72,1302,155,235,236,66,864,235,239
123,271,74,1008,168,162,165,66,678,166,168
124,271,71,1030,163,173,179,66,710,178,181
126,271,73,1307,168,229,230,65,855,233,235
128,271,74,1311,150,236,236,68,869,234,237
129,271,74,1292,169,226,227,68,855,231,234
130,271,71,989,168,161,165,64,682,168,168
131,271,74,1296,172,234,237,68,852,231,233
132,271,76,1304,166,227,229,71,870,233,235
133,271,72,1207,157,231,234,67,808,233,233
134,271,74,1251,179,226,229,72,843,229,231
135,48,20,650,20,344,345,19,553,321,322
136,271,75,1277,162,235,237,71,854,233,235
137,271,72,1035,163,166,174,62,697,168,174
139,271,72,1178,153,229,232,66,795,230,232
140,38,17,610,20,239,241,15,535,237,237
141,34,16,605,17,475,478,14,535,462,464
142,38,17,602,18,248,253,15,528,247,250
143,44,17,633,17,327,489,15,538,308,458
144,44,17,566,18,283,436,15,480,271,405
146,31,14,588,16,314,317,12,522,311,312
