"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,385,77,396,172,49,50,77,355,52,54
5,388,65,409,139,62,63,61,364,65,66
8,388,76,424,161,50,52,72,372,54,56
9,385,75,421,171,52,54,73,378,55,57
12,387,78,432,181,51,53,75,381,55,57
14,387,72,406,168,50,52,72,363,54,56
18,384,76,416,159,52,53,72,367,55,56
21,389,76,420,173,50,52,73,371,54,56
28,388,76,410,166,49,51,71,362,52,54
32,382,80,419,166,51,52,78,371,55,56
33,388,74,370,164,45,48,72,334,49,52
40,379,77,418,169,51,52,75,369,54,55
44,384,72,429,163,52,53,68,375,55,56
45,363,47,303,95,63,64,44,282,68,69
47,383,77,423,160,53,54,76,374,56,57
48,388,69,369,138,60,62,68,340,63,65
49,359,54,319,99,64,64,50,285,69,69
50,265,37,248,81,61,79,37,238,64,83
51,377,75,420,167,49,51,73,374,51,54
52,386,76,418,173,50,52,72,371,54,56
53,390,77,398,170,49,51,74,356,51,54
54,389,73,408,161,52,53,72,363,54,55
56,389,81,413,174,52,54,79,371,55,57
59,387,81,433,179,51,54,78,381,54,57
62,391,78,402,170,49,51,77,359,53,55
64,349,53,320,118,62,62,51,288,67,68
67,373,74,426,163,52,55,72,371,55,58
68,386,74,394,169,50,52,69,353,52,54
70,385,78,439,169,51,53,73,388,56,58
71,387,79,429,170,51,52,77,378,55,56
72,390,79,407,166,51,53,75,363,54,56
73,389,80,421,179,49,51,74,377,53,55
74,388,78,426,173,52,53,76,373,54,55
75,386,80,418,168,51,53,78,372,55,57
76,391,80,424,175,51,53,77,375,57,60
77,391,77,415,165,50,52,72,365,54,56
78,390,76,416,170,50,52,73,371,54,56
80,390,83,424,166,51,52,77,370,55,56
81,386,78,417,172,51,53,74,369,54,57
83,391,78,425,172,50,52,75,372,54,56
84,390,74,418,161,51,52,71,370,54,55
86,388,75,430,170,53,54,69,376,56,57
88,387,75,403,163,50,52,73,361,53,55
89,384,75,414,164,51,52,71,363,55,56
90,388,77,431,179,52,54,72,380,54,56
91,389,79,419,172,51,53,75,369,54,56
92,386,70,402,142,63,64,69,361,68,69
93,376,73,427,179,50,51,68,378,54,55
94,382,75,409,170,50,52,69,358,54,56
95,385,74,406,180,1,50,71,363,1,54
97,305,38,265,71,70,70,36,247,73,74
98,385,73,445,163,52,54,70,394,56,58
100,382,80,438,172,51,52,77,389,56,57
101,391,71,425,160,51,53,68,373,54,56
102,383,78,436,168,52,54,76,383,55,57
103,388,80,424,169,52,53,77,372,57,58
104,381,72,421,163,50,52,71,380,54,56
105,387,80,432,179,51,52,76,383,57,58
106,384,78,411,168,52,53,75,365,56,57
107,384,78,427,170,48,50,75,376,52,54
109,386,74,423,170,56,57,72,372,60,62
110,384,79,428,169,51,53,76,376,55,57
111,391,79,413,178,52,54,75,365,57,59
112,388,80,441,183,51,53,77,389,54,56
113,387,77,434,169,50,52,70,384,54,56
114,387,79,440,175,52,54,75,388,57,59
115,387,72,438,163,52,53,69,385,57,58
116,385,73,412,163,51,53,72,368,54,56
117,384,66,397,142,61,63,59,354,65,67
118,359,53,301,108,63,63,52,281,69,69
119,386,77,421,171,50,52,73,372,53,55
121,388,76,437,177,53,54,74,386,57,58
122,388,78,452,176,50,52,74,393,54,57
123,383,74,423,166,50,52,70,372,53,55
124,378,77,423,172,51,53,74,373,57,59
126,384,80,434,174,51,52,73,379,55,56
128,385,78,425,170,51,53,74,371,53,56
129,365,75,432,172,50,51,72,378,54,56
130,350,80,427,164,53,54,78,377,56,57
131,383,77,431,167,50,52,72,379,54,56
132,389,75,426,176,53,54,73,383,57,58
133,319,69,381,130,64,65,67,349,66,67
134,326,76,413,157,56,58,74,366,57,60
135,52,11,214,14,142,142,11,209,139,139
136,319,63,380,133,60,61,59,349,62,63
137,332,72,402,150,56,58,70,360,58,61
139,238,57,360,108,62,66,55,334,65,69
140,38,10,209,14,106,106,10,205,105,105
141,34,10,211,13,144,144,10,207,141,141
142,38,10,210,16,108,108,10,206,108,108
143,48,12,213,15,140,140,12,208,137,137
144,48,12,210,16,141,141,12,205,139,139
146,28,8,187,9,151,151,8,183,148,148
