"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,389,77,525,184,5,5,68,342,10,10
5,392,74,516,182,4,4,67,337,12,13
8,392,85,536,185,4,4,69,343,13,14
9,389,84,523,179,4,4,70,338,13,13
12,391,80,529,181,4,5,69,342,12,13
14,391,81,530,196,4,4,68,339,11,13
18,388,84,534,197,4,4,69,342,12,14
21,393,85,526,183,4,4,67,340,13,14
28,392,79,520,187,3,3,70,339,11,11
32,386,80,530,181,4,4,63,341,13,14
33,392,80,486,197,4,4,72,314,10,12
40,383,82,529,192,5,5,65,340,10,12
44,388,82,524,175,5,5,69,341,14,14
45,367,57,430,148,10,10,52,276,21,22
47,387,83,523,186,4,5,68,340,12,13
48,392,80,510,182,4,4,65,334,11,11
49,363,58,422,135,9,9,49,277,23,23
50,269,40,356,103,6,25,37,239,12,39
51,381,84,528,183,4,5,66,337,14,14
52,390,85,534,194,4,5,70,345,12,13
53,394,80,504,191,6,6,66,328,11,11
54,393,85,526,194,5,5,71,339,12,14
56,393,80,520,185,4,5,62,340,14,14
59,391,83,529,186,4,5,73,341,12,14
62,395,82,529,195,4,4,71,342,13,14
64,353,58,425,145,8,8,50,274,20,20
67,377,84,522,191,4,5,71,339,13,14
68,390,89,525,194,4,4,75,338,14,14
70,389,84,534,190,3,4,68,343,13,14
71,391,82,533,189,5,5,66,343,11,14
72,394,82,531,185,4,5,69,343,12,12
73,393,81,531,194,5,5,68,342,12,13
74,392,85,541,195,5,6,71,342,15,15
75,390,85,527,198,4,6,72,343,13,14
76,395,86,527,196,3,4,75,340,13,14
77,395,78,526,182,4,4,66,340,10,11
78,394,80,533,193,6,6,67,344,13,14
80,394,84,532,187,4,4,71,342,13,14
81,390,84,534,188,5,5,70,344,13,15
83,395,76,534,184,4,5,63,339,13,14
84,394,82,534,197,4,4,65,342,12,14
86,392,79,528,197,3,3,70,342,13,14
88,391,83,530,191,4,4,68,342,12,12
89,388,79,530,181,4,5,69,345,14,14
90,392,80,521,187,3,4,65,336,12,13
91,393,83,533,196,5,5,70,343,13,13
92,390,78,521,185,3,3,68,340,13,14
93,380,83,526,194,4,4,71,339,12,14
94,386,83,534,191,4,4,68,342,13,14
95,389,86,519,213,0,4,72,339,2,10
97,317,44,383,114,7,7,38,254,24,24
98,389,80,537,178,4,5,67,345,12,14
100,386,84,535,192,4,5,71,343,14,15
101,395,80,529,189,4,5,65,342,12,14
102,387,84,533,194,4,5,68,345,13,14
103,392,90,531,192,3,4,76,339,12,15
104,385,82,526,190,5,6,68,340,15,15
105,391,83,529,187,4,5,74,341,12,14
106,388,86,521,192,5,5,73,338,13,14
107,388,83,538,197,4,5,69,343,12,14
109,390,87,530,190,4,5,68,341,13,14
110,388,81,533,189,4,4,68,340,12,14
111,395,82,533,201,4,5,72,343,13,14
112,392,80,533,178,4,4,66,342,11,12
113,391,83,532,191,4,5,66,340,13,14
114,391,79,540,186,4,5,62,343,14,14
115,391,82,534,193,5,5,66,341,14,14
116,389,85,524,188,4,4,69,337,13,13
117,388,76,497,185,4,5,64,321,10,12
118,363,58,420,143,8,8,47,273,21,23
119,390,82,521,182,4,5,73,339,11,14
121,392,83,533,185,5,5,69,346,14,14
122,392,83,539,186,4,5,66,346,12,14
123,387,82,525,187,4,5,68,340,12,13
124,382,80,536,202,4,5,72,349,13,14
126,388,83,541,195,4,4,68,345,13,14
128,389,82,539,200,4,5,73,345,11,13
129,369,83,520,194,5,5,66,339,13,14
130,354,80,508,204,4,5,62,333,12,12
131,387,81,533,186,6,6,67,342,15,15
132,393,82,538,193,5,5,67,345,13,13
133,323,73,394,136,26,29,65,305,36,38
134,330,80,481,164,17,19,67,329,26,27
135,46,13,135,13,112,113,11,125,109,110
136,323,74,408,130,25,26,65,309,33,35
137,336,78,490,172,16,18,64,329,24,25
139,242,64,370,113,34,48,48,288,43,60
140,36,10,125,10,78,78,8,121,78,78
141,32,8,125,8,112,112,8,122,112,112
142,36,5,119,5,82,82,4,116,82,82
143,42,8,132,8,114,114,7,125,112,112
144,42,12,131,11,110,111,10,125,109,110
146,28,7,115,7,102,102,6,112,102,102
