"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,305,26,78,28,29,29,24,76,29,29
5,305,24,77,27,29,29,24,75,29,29
8,305,31,88,33,29,29,30,86,29,29
9,305,27,88,31,30,31,26,86,30,31
12,305,33,92,34,32,32,33,90,31,31
14,304,21,81,26,32,32,21,79,31,31
18,305,31,79,32,30,30,31,77,29,29
21,305,30,85,34,29,29,30,83,29,29
28,305,28,76,28,29,30,26,74,29,29
32,305,35,91,37,31,31,35,89,30,30
33,305,27,67,28,25,26,24,65,25,25
40,305,25,88,29,31,31,25,86,30,30
44,305,31,90,32,31,31,31,88,30,30
45,277,19,66,20,27,28,17,64,28,28
47,305,24,76,26,29,29,24,74,28,28
48,305,25,68,28,25,28,22,66,26,28
49,277,17,65,21,27,28,17,63,27,28
50,184,13,53,14,26,33,12,51,26,32
51,305,28,88,31,30,30,28,86,29,29
52,305,29,85,35,29,29,29,83,29,29
53,305,23,76,24,31,31,21,74,31,31
54,305,34,84,36,29,29,32,82,29,29
56,305,27,77,29,28,28,26,75,28,28
59,305,24,85,28,30,30,24,83,30,30
62,305,25,80,31,29,29,25,78,29,29
64,277,18,64,24,28,28,17,62,28,28
67,305,30,84,34,29,29,29,82,29,29
68,305,25,80,26,32,32,25,78,31,31
70,305,29,88,30,30,31,27,86,30,30
71,305,27,82,29,31,32,26,80,31,31
72,305,29,76,31,30,31,28,74,29,30
73,304,33,90,34,32,33,33,88,31,32
74,305,29,89,30,33,33,29,87,32,32
75,305,28,85,27,32,32,28,83,31,31
76,305,31,84,30,30,32,31,82,29,31
77,305,24,81,27,30,30,24,79,29,29
78,305,29,80,31,29,29,27,78,29,29
80,305,26,81,27,31,31,26,79,30,30
81,305,26,80,30,29,29,25,78,29,29
83,305,33,91,34,29,29,32,89,29,29
84,304,25,85,29,30,30,25,83,29,29
86,305,25,79,30,29,29,25,77,29,29
88,304,29,78,30,29,29,28,76,28,28
89,305,29,83,32,29,29,29,81,28,28
90,305,33,88,38,29,29,32,86,29,29
91,304,36,89,37,31,31,36,87,30,30
92,305,30,85,33,34,34,30,83,33,33
93,305,28,85,30,29,29,27,83,29,29
94,305,28,82,29,31,32,27,80,30,31
95,305,33,79,36,0,29,33,77,1,29
97,231,15,70,19,35,35,15,68,34,34
98,305,31,88,33,33,34,31,86,32,33
100,305,26,88,31,33,33,26,86,32,32
101,305,27,88,29,30,30,27,86,29,29
102,305,30,87,33,29,31,28,85,29,31
103,305,32,84,34,31,32,30,82,31,31
104,305,30,86,33,29,29,29,84,29,29
105,305,31,93,35,32,32,29,90,32,32
106,305,25,91,28,35,35,25,89,34,34
107,305,26,87,30,31,32,25,85,31,31
109,305,29,86,30,33,33,29,84,32,32
110,304,30,87,33,31,31,28,85,31,31
111,305,30,84,30,33,33,29,81,32,32
112,305,27,87,30,32,32,27,85,31,31
113,305,33,89,34,30,31,33,87,29,30
114,305,31,89,35,30,31,31,87,30,30
115,305,25,89,30,33,33,25,87,32,32
116,305,25,83,30,31,31,24,81,31,31
117,305,24,71,26,29,31,23,69,29,30
118,277,21,67,24,28,30,19,65,30,30
119,305,26,77,29,30,30,26,75,29,29
121,305,29,86,31,29,29,28,84,29,29
122,305,30,90,32,31,31,29,88,30,30
123,305,32,88,34,30,30,31,86,30,30
124,305,29,90,32,31,31,28,87,30,30
126,305,34,92,35,33,34,34,90,32,33
128,305,29,82,31,31,31,29,80,30,30
129,305,27,87,30,30,30,27,85,29,29
130,305,29,87,34,32,32,28,84,31,31
131,305,28,88,32,32,32,28,86,31,31
132,305,37,93,38,32,32,36,90,31,31
133,305,21,74,23,30,30,20,72,29,29
134,305,27,90,28,34,34,27,88,33,33
135,46,5,50,5,41,41,5,49,40,40
136,305,24,76,26,34,34,24,74,33,33
137,305,27,87,31,35,35,27,85,35,35
139,242,24,72,27,27,27,22,70,29,29
140,36,3,49,3,38,38,3,48,38,38
141,32,1,48,1,48,48,1,47,47,47
142,36,2,48,2,40,40,2,47,39,39
143,42,2,49,2,45,45,2,48,44,44
144,42,2,49,2,45,45,2,48,44,44
146,28,1,48,1,48,48,1,47,47,47
