"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,381,57,147,75,8,9,50,87,11,12
5,384,51,126,63,8,8,43,77,11,11
8,384,55,149,74,8,8,48,88,11,11
9,381,57,130,73,8,8,47,80,11,11
12,383,56,132,71,8,9,48,80,12,12
14,383,57,146,73,8,8,47,83,11,11
18,380,49,134,68,9,9,44,82,12,12
21,385,52,132,66,8,8,47,81,11,11
28,384,55,146,72,8,8,48,85,11,11
32,378,59,149,74,8,8,50,86,11,11
33,384,55,126,67,9,9,49,80,12,12
40,375,57,148,74,8,8,53,85,11,11
44,380,59,136,69,8,8,50,84,11,11
45,359,37,115,58,12,13,32,61,15,15
47,379,54,147,72,8,8,49,84,11,11
48,384,49,120,61,8,8,45,76,11,11
49,355,36,83,49,13,13,31,59,15,15
50,269,31,78,42,13,18,29,56,15,20
51,373,56,132,68,9,9,50,82,12,12
52,382,55,137,67,9,10,49,86,12,12
53,386,51,125,68,8,8,45,81,11,11
54,385,51,136,67,8,8,46,83,12,12
56,385,57,149,72,8,8,50,85,11,11
59,383,55,135,68,8,8,48,84,11,11
62,387,55,146,73,8,8,49,84,11,11
64,345,39,101,49,14,14,36,60,16,16
67,369,52,135,73,9,9,44,84,12,12
68,382,53,115,67,8,8,47,83,11,11
70,381,55,136,73,7,8,46,84,11,11
71,383,56,135,67,7,8,51,87,12,12
72,386,57,147,74,8,8,51,84,11,11
73,385,57,127,69,9,9,50,84,12,12
74,384,56,139,73,8,8,53,86,11,11
75,382,49,134,65,8,8,42,83,12,12
76,387,58,132,68,7,8,51,82,11,11
77,387,55,138,68,7,8,47,85,12,12
78,386,59,146,79,8,8,52,87,11,11
80,386,53,144,71,8,8,49,87,11,11
81,382,52,137,72,9,9,44,84,12,12
83,387,47,149,72,9,9,44,85,12,12
84,386,57,144,72,8,8,54,86,11,12
86,384,56,137,72,8,8,49,86,11,11
88,383,55,148,81,8,8,47,85,12,12
89,380,56,129,66,9,9,50,84,12,12
90,384,56,134,71,8,8,47,83,11,11
91,385,55,133,72,8,8,49,82,11,11
92,382,45,109,61,8,8,39,81,11,11
93,372,53,132,70,8,8,44,83,11,11
94,378,59,137,69,8,8,48,84,11,11
95,381,58,134,74,0,8,49,84,2,11
97,315,28,87,39,15,15,25,54,16,16
98,381,59,125,68,9,10,52,84,12,12
100,378,55,137,67,9,9,48,84,12,12
101,387,57,149,69,8,8,47,87,11,11
102,379,58,134,70,8,9,51,83,11,11
103,384,52,131,68,8,8,45,82,11,11
104,377,55,144,77,8,8,46,81,11,11
105,383,54,129,72,7,8,49,80,11,11
106,380,59,134,73,8,8,50,84,11,11
107,380,54,139,69,8,8,50,83,11,11
109,382,53,150,75,8,8,48,87,11,11
110,380,57,133,71,9,9,49,82,12,12
111,387,51,131,69,8,8,45,81,11,11
112,384,56,135,70,9,9,48,85,11,11
113,383,58,149,81,8,8,46,85,11,11
114,383,58,148,77,8,8,48,84,11,11
115,383,54,143,73,8,8,48,85,11,11
116,381,54,134,71,8,8,46,84,11,11
117,380,49,122,65,8,8,46,73,11,11
118,355,31,94,42,13,13,29,58,15,15
119,382,58,136,76,8,8,52,84,11,11
121,384,60,149,75,8,9,52,84,11,11
122,384,56,137,71,8,9,47,84,11,11
123,379,57,150,74,8,8,48,86,12,12
124,374,57,134,72,8,8,45,83,12,12
126,380,54,151,71,9,9,46,87,12,12
128,381,59,137,72,8,8,51,84,11,11
129,361,52,150,75,8,8,48,88,11,11
130,346,49,114,63,8,9,44,80,12,12
131,379,56,149,74,8,8,50,86,11,11
132,385,59,137,78,8,9,53,85,12,12
133,315,49,123,58,10,10,44,79,13,13
134,322,54,138,71,9,9,47,82,13,13
135,44,7,42,7,29,29,6,39,29,29
136,315,47,121,54,10,11,41,77,14,14
137,328,52,127,67,10,10,44,80,13,13
139,234,37,119,48,13,14,31,75,16,17
140,36,6,37,6,28,28,6,34,28,28
141,32,3,36,3,31,31,3,34,31,31
142,36,3,35,3,30,30,3,33,30,30
143,40,5,39,5,31,31,4,36,31,31
144,40,5,42,5,30,30,4,39,30,30
146,28,4,34,4,30,30,3,32,30,30
