"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,215,66,1250,184,201,214,57,827,229,235
5,215,53,1384,139,246,256,45,902,267,271
8,215,71,2163,239,241,251,66,1564,268,279
9,215,63,1822,180,244,257,59,1275,273,287
12,215,64,1652,196,254,262,58,1125,276,283
14,215,64,1366,184,233,247,55,890,247,252
18,215,63,1429,200,224,231,58,957,243,251
21,215,64,1462,183,238,245,54,984,251,260
28,215,66,1259,181,206,213,55,835,230,233
32,215,62,1398,167,229,236,56,889,240,244
33,215,63,940,179,138,141,59,634,148,152
40,215,67,1313,186,215,221,57,851,238,243
44,215,64,1288,167,207,212,53,845,234,239
45,188,38,1007,89,263,266,33,696,287,288
47,215,65,1417,181,204,221,57,965,223,233
48,215,54,1174,155,210,218,44,769,239,245
49,188,44,976,100,237,241,37,654,263,265
50,145,20,737,40,222,286,14,507,230,289
51,215,63,1424,199,226,234,56,956,244,249
52,215,65,1602,182,237,246,62,1115,269,276
53,215,65,1257,199,166,178,59,866,192,204
54,215,68,1316,190,214,219,61,868,232,237
56,215,66,1382,175,223,231,57,947,255,260
59,215,63,1430,182,235,243,57,961,257,263
62,215,63,1515,169,203,211,60,1082,226,231
64,188,39,949,94,182,186,32,618,205,206
67,215,64,1420,175,228,231,61,946,246,250
68,215,64,1329,187,218,226,56,854,237,244
70,215,70,2210,216,269,278,62,1610,293,301
71,215,68,2543,241,351,367,63,1722,429,451
72,215,64,1246,182,201,207,56,834,229,232
73,215,65,1589,195,240,250,58,1079,267,271
74,215,62,1851,182,266,276,54,1307,288,298
75,215,69,1467,197,230,236,61,996,247,255
76,215,64,1566,176,235,248,58,1063,258,267
77,215,63,1872,196,274,287,58,1303,294,310
78,215,69,1879,199,246,255,63,1328,266,275
80,215,66,1841,178,265,276,57,1296,285,288
81,215,67,1724,204,237,246,61,1174,255,268
83,215,65,1444,185,219,225,59,956,243,245
84,215,62,1864,195,269,277,59,1304,287,293
86,215,64,1959,196,270,281,57,1379,289,296
88,215,70,1374,191,213,223,56,889,239,244
89,215,63,1434,179,241,249,57,975,267,273
90,215,64,1434,171,218,228,58,966,245,255
91,215,63,1444,179,226,228,56,979,248,250
92,215,55,1225,161,185,196,46,848,222,229
93,215,65,1425,199,226,239,58,967,253,258
94,215,66,1401,186,212,219,58,942,240,245
95,215,63,1367,196,51,235,51,891,125,253
97,157,24,918,52,308,308,24,659,310,310
98,215,67,2696,228,366,373,62,1802,427,447
100,215,68,2744,240,364,374,64,1841,436,449
101,215,68,2622,228,368,383,64,1721,441,459
102,215,67,2723,212,362,368,62,1834,432,445
103,215,71,2657,240,361,372,66,1797,431,450
104,215,64,1856,204,261,276,57,1291,289,301
105,215,72,2611,234,336,353,67,1770,416,436
106,215,65,1447,194,229,237,59,980,258,265
107,215,64,2102,216,271,276,60,1474,297,307
109,215,62,1790,186,257,265,60,1236,278,287
110,215,64,1489,163,239,252,56,992,262,271
111,215,52,408,91,44,45,50,330,48,49
112,215,65,2606,218,362,375,63,1725,437,457
113,215,63,1532,190,233,246,55,1033,259,275
114,215,72,2623,240,336,346,67,1789,406,425
115,215,64,2594,226,376,383,61,1725,439,454
116,215,66,1381,194,219,229,59,902,242,245
117,215,52,1200,151,209,216,45,776,233,240
118,188,38,925,92,205,206,36,619,238,238
119,215,66,1299,183,208,218,61,850,234,241
121,215,66,2630,231,364,376,62,1744,438,452
122,215,65,2717,218,383,390,62,1805,446,458
123,215,71,1969,213,278,288,63,1333,310,318
124,215,63,1526,195,234,243,59,1084,260,267
126,215,68,2628,218,373,381,65,1738,444,457
128,215,68,2666,226,364,375,64,1800,447,464
129,215,70,2615,256,370,380,63,1734,434,452
130,215,59,776,181,36,42,58,612,42,47
131,215,68,2584,227,355,369,65,1718,425,445
132,215,71,2701,240,359,371,64,1818,426,446
133,215,70,2319,208,357,368,61,1671,435,449
134,215,68,2562,223,366,374,64,1714,441,463
135,48,19,1295,26,601,602,19,1169,582,583
136,215,69,2508,238,366,383,65,1695,437,458
137,215,64,1519,192,248,253,58,1001,264,269
139,215,64,2295,192,367,377,57,1673,434,450
140,38,15,1044,22,269,269,15,971,269,269
141,34,14,1089,19,768,768,14,1011,724,724
142,38,15,1077,22,264,264,15,1003,261,261
143,44,17,1282,22,613,889,17,1156,578,842
144,44,18,946,22,503,654,18,849,487,628
146,31,12,1032,17,421,421,12,963,416,416
