"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,377,75,323,138,53,55,74,299,55,58
5,380,72,321,134,56,57,71,298,58,59
8,380,77,349,146,51,53,76,324,53,56
9,377,72,358,144,53,55,72,334,55,58
12,379,77,337,137,58,59,77,313,59,61
14,379,78,367,149,53,53,73,341,55,56
18,376,73,337,143,52,54,73,314,54,57
21,381,76,375,152,57,58,74,348,58,60
28,380,80,349,142,57,57,79,323,58,59
32,374,70,338,132,52,53,69,316,55,56
33,380,84,323,148,52,53,83,300,54,55
40,371,77,355,143,51,53,76,330,53,56
44,376,77,369,151,55,57,76,342,57,59
45,355,54,277,99,62,62,51,259,63,63
47,375,73,342,141,53,55,72,317,55,57
48,380,69,318,123,55,55,69,296,56,57
49,351,57,286,109,61,61,57,269,62,63
50,257,37,229,69,77,77,37,214,83,84
51,369,78,349,142,52,52,77,326,54,55
52,378,78,374,144,58,58,76,350,60,60
53,382,73,326,135,55,57,73,302,56,59
54,381,72,364,135,56,56,70,335,57,58
56,381,74,340,137,52,54,73,314,54,56
59,379,77,365,143,55,56,74,339,57,59
62,383,72,352,138,59,59,70,329,61,61
64,341,52,277,108,61,61,50,263,62,63
67,365,69,341,144,52,54,69,318,54,57
68,378,77,336,147,55,57,74,312,58,61
70,377,74,354,144,53,53,73,329,55,55
71,379,70,356,156,54,54,66,328,56,56
72,382,78,351,139,53,55,77,326,55,58
73,381,76,347,141,57,57,74,322,59,59
74,380,75,350,145,53,55,73,327,55,58
75,378,79,344,151,55,57,78,317,56,59
76,383,79,341,143,55,58,78,319,57,60
77,383,70,337,122,57,57,69,311,58,59
78,382,75,349,147,51,53,75,325,53,56
80,382,73,343,139,54,56,72,319,57,59
81,378,75,360,143,55,55,74,334,58,58
83,383,75,346,143,52,54,74,321,54,57
84,382,77,330,143,54,54,76,307,56,57
86,380,75,345,147,53,55,75,321,56,58
88,379,73,340,136,53,53,71,318,55,55
89,376,73,343,137,58,59,71,317,59,61
90,380,78,338,144,54,56,76,315,56,59
91,381,76,323,133,57,58,73,301,58,59
92,378,72,314,135,53,55,69,293,54,57
93,368,73,355,142,54,55,73,330,57,59
94,374,75,346,145,54,54,72,320,57,57
95,377,74,335,150,0,56,74,309,1,59
97,305,42,245,86,69,69,41,230,73,73
98,377,74,373,142,59,59,73,347,60,61
100,374,72,349,145,55,57,70,327,56,58
101,383,74,369,140,57,57,72,344,60,60
102,375,75,370,150,55,55,73,345,57,58
103,380,71,351,137,55,55,69,325,57,58
104,373,76,359,145,57,57,74,332,59,60
105,379,83,363,158,53,55,82,340,55,58
106,376,76,368,144,56,56,75,343,58,58
107,376,72,361,142,55,56,71,338,56,58
109,378,73,377,142,60,60,73,351,62,62
110,376,81,357,143,57,58,79,332,58,60
111,383,76,327,142,53,54,74,303,55,56
112,380,77,376,145,58,58,76,350,60,60
113,379,78,361,144,55,57,76,334,57,60
114,379,79,368,152,54,56,75,339,56,59
115,379,79,374,154,55,55,79,349,57,58
116,377,73,357,144,52,53,73,335,54,56
117,376,68,324,135,57,57,67,304,58,58
118,351,52,282,107,62,62,52,266,63,63
119,378,81,351,150,55,55,78,326,58,58
121,380,78,379,156,55,57,75,353,57,59
122,380,77,385,157,58,58,75,353,59,60
123,375,75,341,142,53,55,75,318,55,58
124,370,78,354,151,52,53,78,329,54,56
126,376,73,374,143,54,55,72,348,56,58
128,377,77,360,143,58,60,73,333,60,62
129,357,77,370,147,58,58,77,342,59,60
130,342,77,334,145,55,56,75,311,57,60
131,375,75,368,144,56,56,75,345,57,58
132,381,73,356,143,57,59,71,331,58,60
133,311,65,317,107,60,60,64,302,62,62
134,318,79,351,134,59,59,78,328,61,62
135,46,13,160,14,120,120,13,160,120,120
136,311,69,329,115,59,59,66,313,62,62
137,324,73,353,135,58,58,72,326,60,61
139,230,61,298,95,73,74,61,287,75,76
140,36,9,147,10,108,108,9,147,108,108
141,32,9,149,10,128,129,9,149,128,129
142,36,9,151,10,115,115,9,151,115,115
143,42,8,149,9,116,116,8,149,116,116
144,42,8,150,9,116,116,8,150,116,116
146,28,6,142,6,131,131,6,142,131,131
