"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,275,58,288,94,47,47,47,214,52,55
5,275,46,248,93,45,47,41,182,48,51
8,275,52,293,92,46,47,46,216,51,55
9,275,58,290,95,48,48,49,213,54,57
12,275,56,295,96,48,49,45,220,51,55
14,275,58,290,98,48,49,49,215,52,55
18,275,57,293,95,46,48,46,217,51,55
21,275,59,300,102,47,48,51,223,52,54
28,275,57,293,92,46,48,51,216,53,56
32,275,54,293,94,46,46,46,215,52,54
33,275,58,229,98,37,38,52,171,39,40
40,275,54,289,102,43,45,45,215,49,52
44,275,56,288,95,46,48,47,213,51,57
45,247,28,180,42,49,49,18,133,54,54
47,275,59,288,103,43,43,52,215,48,50
48,275,51,231,85,45,46,40,169,49,53
49,247,30,187,48,51,53,26,140,58,60
50,155,19,153,25,48,56,15,111,50,59
51,275,57,283,97,45,45,49,211,49,53
52,275,59,306,99,49,50,47,226,53,58
53,275,54,285,94,46,48,45,210,53,55
54,275,57,294,96,46,47,54,217,50,55
56,275,56,289,96,45,46,46,218,49,54
59,275,59,301,108,46,48,53,224,50,54
62,275,58,300,100,49,50,48,223,55,56
64,247,32,179,49,45,45,27,134,51,51
67,275,57,287,103,44,44,47,214,48,50
68,275,61,294,106,44,44,53,218,49,53
70,275,53,305,94,51,52,45,227,53,59
71,275,54,307,100,49,50,47,227,54,57
72,275,60,282,104,45,47,54,210,50,56
73,275,58,286,100,44,46,48,217,50,53
74,275,56,304,100,50,51,45,226,55,59
75,275,55,289,87,49,49,44,214,53,58
76,275,59,295,104,43,45,54,222,47,52
77,275,53,305,88,49,50,42,225,53,57
78,275,60,294,98,49,49,48,217,52,55
80,275,56,291,96,48,49,47,216,53,55
81,275,59,300,102,49,50,49,224,52,54
83,275,58,284,93,46,46,42,209,51,52
84,275,59,288,102,46,48,49,211,50,53
86,275,57,303,89,47,48,51,223,53,58
88,275,56,293,91,46,47,45,218,48,52
89,275,57,287,102,44,44,49,215,50,54
90,275,60,293,98,49,49,51,222,55,58
91,275,57,286,94,45,46,48,213,50,51
92,275,54,266,100,46,47,46,194,50,53
93,275,55,295,88,45,46,47,219,52,54
94,275,59,290,94,45,45,50,214,49,53
95,275,58,290,110,0,46,48,214,15,54
97,201,18,158,28,54,54,13,114,59,59
98,275,60,311,88,51,51,47,231,55,60
100,275,57,309,95,51,51,46,229,54,59
101,275,59,307,88,50,52,47,228,57,61
102,275,55,309,86,51,53,49,229,55,61
103,275,57,303,98,49,50,50,226,53,58
104,275,60,304,106,50,52,48,226,54,58
105,275,59,307,100,50,51,49,229,53,57
106,275,56,296,98,48,48,49,219,51,56
107,275,55,308,91,47,48,44,227,51,58
109,275,59,304,95,49,49,49,226,56,57
110,275,63,296,101,46,47,49,221,51,54
111,275,56,299,99,48,48,49,225,52,57
112,275,59,310,97,47,49,49,231,51,55
113,275,55,296,94,48,49,46,220,53,58
114,275,58,303,98,50,52,48,224,53,57
115,275,60,309,97,51,53,50,228,56,62
116,275,56,293,97,45,48,43,217,49,55
117,275,47,234,76,47,47,38,171,52,54
118,247,29,188,49,49,51,26,140,56,59
119,275,55,287,95,45,45,42,213,51,54
121,275,58,311,90,52,54,47,231,57,62
122,275,57,311,97,49,51,50,230,55,60
123,275,57,296,90,45,48,47,217,49,55
124,275,57,297,92,46,47,51,217,49,54
126,275,57,315,101,51,52,49,231,55,59
128,275,56,308,102,48,48,48,229,53,57
129,275,56,317,87,51,52,50,234,57,61
130,275,54,304,102,50,51,48,224,53,57
131,275,56,309,84,51,53,49,229,56,63
132,275,60,317,99,50,51,46,234,55,58
133,275,52,287,78,51,52,41,220,57,62
134,275,58,301,96,49,50,49,224,53,58
135,46,14,190,15,113,113,14,169,110,110
136,275,57,304,104,49,49,51,227,55,59
137,275,56,301,96,47,49,48,220,52,57
139,275,56,275,81,51,53,48,221,56,63
140,36,10,147,11,78,78,8,137,76,76
141,32,9,148,10,110,110,8,139,108,108
142,36,12,147,13,81,81,12,138,80,80
143,42,11,179,12,110,110,11,161,102,102
144,42,10,162,11,106,106,10,148,101,101
146,28,9,139,9,107,107,9,129,105,105
