"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,383,102,1121,251,174,181,97,907,201,206
5,386,85,1163,242,182,186,81,972,210,215
8,386,103,1303,251,179,186,96,1054,210,217
9,383,106,1320,256,174,185,98,1082,204,216
12,385,106,1288,256,175,181,100,1048,204,212
14,386,98,1208,248,146,182,95,979,174,207
18,383,100,1241,267,147,185,91,1003,181,216
21,387,99,1299,250,174,184,94,1055,196,210
28,386,98,1181,243,174,183,92,951,206,210
32,380,103,1300,259,179,186,97,1040,206,214
33,386,104,1105,260,171,175,99,906,193,197
40,377,103,1230,270,167,178,97,1002,196,208
44,382,101,1268,257,178,182,98,1025,205,211
45,362,61,938,149,184,190,58,783,214,221
47,381,107,1257,268,175,182,101,1017,205,215
48,386,87,1014,236,167,178,85,840,195,204
49,358,63,832,156,185,187,61,693,211,215
50,262,43,707,101,136,213,41,603,160,220
51,375,104,1261,295,163,173,100,1022,193,207
52,384,98,1356,269,180,184,95,1102,205,212
53,388,108,1111,265,169,182,100,896,197,212
54,387,108,1272,262,176,184,96,1031,204,215
56,387,100,1282,273,173,176,93,1039,194,203
59,385,103,1337,275,170,179,96,1085,204,209
62,389,100,1287,263,170,177,92,1047,194,202
64,348,64,924,159,188,190,59,771,214,218
67,371,106,1283,266,178,184,95,1038,205,212
68,384,105,1125,251,164,173,97,920,194,205
70,383,105,1373,272,179,187,98,1114,208,219
71,385,104,1298,256,178,184,95,1050,205,213
72,388,108,1178,248,175,181,103,954,202,209
73,388,104,1300,273,145,180,98,1045,173,213
74,386,101,1312,261,179,186,97,1064,207,215
75,384,103,1265,255,173,181,98,1038,197,208
76,389,110,1362,284,172,185,104,1118,201,215
77,389,97,1291,260,176,182,90,1051,206,211
78,388,107,1298,259,177,184,101,1051,205,216
80,388,101,1303,244,179,186,99,1053,206,215
81,385,102,1296,254,148,185,96,1049,181,219
83,389,102,1252,243,176,182,95,1008,207,217
84,389,94,1252,260,151,186,90,1012,178,212
86,387,101,1312,277,139,175,97,1074,169,208
88,386,104,1190,263,137,181,96,956,169,211
89,382,107,1222,267,167,181,99,997,197,212
90,386,109,1239,273,168,180,104,1016,194,210
91,388,109,1284,296,139,178,103,1047,171,210
92,384,93,1213,256,169,182,88,1013,202,217
93,374,97,1234,267,173,183,95,997,204,214
94,380,93,1173,248,169,175,85,947,193,202
95,383,105,1198,298,19,181,99,975,37,211
97,309,43,784,101,188,190,40,665,214,217
98,383,104,1331,268,176,183,98,1081,205,214
100,380,109,1309,271,172,183,104,1057,199,211
101,389,98,1317,265,174,178,93,1074,197,202
102,381,100,1332,268,183,188,93,1070,210,215
103,386,99,1292,270,166,177,91,1039,191,206
104,379,106,1275,253,178,180,101,1033,208,211
105,385,107,1328,291,174,185,102,1079,203,215
106,382,110,1280,272,164,177,103,1043,192,206
107,382,98,1310,253,176,182,90,1065,203,211
109,384,98,1397,251,183,186,95,1144,210,217
110,383,101,1303,269,141,177,98,1068,167,205
111,389,106,1270,273,164,176,101,1033,195,209
112,386,108,1396,269,184,187,102,1139,213,216
113,385,111,1313,266,176,182,105,1065,203,211
114,385,108,1282,273,183,187,102,1041,215,218
115,385,104,1375,267,183,189,97,1108,216,224
116,383,99,1240,257,177,183,96,1006,201,208
117,382,85,1152,228,174,183,80,961,205,212
118,358,62,905,161,178,185,56,754,210,219
119,384,98,1246,252,185,187,91,1010,211,214
121,386,99,1399,279,182,185,95,1132,213,219
122,386,100,1422,263,181,183,96,1165,209,214
123,381,111,1275,258,173,181,100,1042,196,208
124,376,103,1268,260,176,182,95,1037,207,214
126,382,103,1434,274,182,187,98,1162,212,220
128,383,104,1287,243,175,181,97,1047,208,216
129,363,104,1397,268,178,183,100,1144,212,217
130,348,106,1272,273,172,178,101,1039,200,207
131,381,99,1368,250,176,182,94,1116,203,211
132,387,97,1433,264,182,186,92,1167,214,219
133,317,93,1252,215,182,187,89,1034,215,221
134,324,98,1316,251,183,192,90,1068,212,224
135,48,20,736,20,545,547,18,662,506,508
136,317,94,1282,232,195,197,89,1054,222,225
137,330,94,1220,236,194,195,90,989,219,223
139,242,79,1167,190,239,281,76,966,234,278
140,38,16,685,17,403,403,16,622,368,368
141,34,13,697,14,605,607,13,631,551,553
142,38,18,696,18,355,355,18,630,324,324
143,44,19,727,19,545,594,19,656,506,551
144,44,19,720,20,540,593,18,655,503,554
146,31,14,669,14,482,484,14,609,440,442
