"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,381,66,273,124,17,20,58,202,21,23
5,384,70,291,130,17,18,66,224,19,21
8,384,75,337,142,19,21,60,224,23,23
9,381,67,298,131,16,20,58,212,18,22
12,383,72,331,144,16,17,64,233,18,19
14,383,66,299,131,17,20,57,214,20,23
18,380,68,301,133,16,19,59,215,19,21
21,385,72,302,129,13,17,63,208,17,20
28,384,71,282,132,16,19,58,204,19,21
32,378,65,296,132,16,20,60,215,18,22
33,384,70,272,137,17,18,58,194,18,19
40,375,71,286,132,14,19,57,206,18,23
44,380,73,301,128,16,17,59,216,20,20
45,359,51,239,98,18,19,45,191,21,21
47,379,67,283,134,15,16,57,206,19,20
48,384,61,285,120,17,18,56,213,20,21
49,355,54,247,102,22,22,51,200,24,24
50,269,38,182,76,12,23,36,156,14,24
51,373,69,286,144,14,16,63,209,18,20
52,382,74,304,141,15,19,62,215,18,22
53,386,69,297,129,17,19,63,212,18,20
54,385,70,292,127,14,16,63,211,16,18
56,385,64,283,131,16,19,58,202,20,22
59,383,71,286,127,15,19,63,212,18,21
62,387,71,303,130,18,21,61,211,20,23
64,345,54,246,104,15,15,51,197,17,17
67,369,66,294,119,13,19,57,211,17,21
68,382,73,287,138,15,19,62,203,18,21
70,381,72,348,136,20,22,57,232,26,26
71,383,75,392,166,19,20,60,264,21,22
72,386,64,297,128,15,16,54,214,18,19
73,385,75,303,149,14,17,69,223,17,20
74,384,73,356,145,19,25,61,237,20,26
75,382,73,317,141,15,17,63,226,19,21
76,387,76,321,143,18,22,66,221,21,24
77,387,71,318,151,21,26,64,229,22,28
78,386,81,341,136,16,19,65,224,19,22
80,386,68,352,128,19,23,53,238,23,27
81,382,72,307,129,15,18,64,222,18,20
83,387,71,318,137,17,19,60,226,19,22
84,386,76,349,135,15,20,60,232,18,22
86,384,73,336,119,21,23,59,223,23,25
88,383,77,297,142,14,19,67,211,19,22
89,380,72,301,141,16,18,62,219,21,22
90,384,72,281,130,13,18,60,207,19,21
91,385,67,277,126,13,17,57,201,16,19
92,382,62,273,114,15,16,53,206,17,18
93,372,70,314,139,19,20,61,226,21,23
94,378,72,281,127,16,18,65,203,19,20
95,381,73,322,150,9,17,61,231,10,19
97,315,41,200,82,16,16,38,167,20,20
98,381,77,426,158,23,24,65,289,29,29
100,378,77,419,158,22,23,63,288,28,29
101,387,74,422,163,23,24,59,291,29,29
102,379,73,427,152,25,26,54,292,31,32
103,384,74,414,156,28,29,58,281,33,33
104,377,70,317,137,18,20,64,229,19,20
105,383,73,405,173,23,24,59,283,30,32
106,380,79,313,160,15,18,72,229,20,21
107,380,73,338,123,21,22,60,225,24,25
109,382,70,346,127,20,24,59,236,23,25
110,380,76,333,142,17,18,59,235,19,19
111,387,66,263,126,13,17,60,197,16,20
112,384,75,430,147,25,28,59,294,30,31
113,383,75,318,142,18,22,68,215,21,24
114,383,78,418,170,26,28,59,293,31,35
115,383,73,417,147,26,28,58,290,33,35
116,381,73,333,139,18,19,58,237,20,21
117,380,66,258,133,15,17,61,200,17,19
118,355,49,235,91,22,23,47,193,24,25
119,382,65,265,117,15,20,56,199,18,22
121,384,74,415,149,28,30,64,292,33,33
122,384,73,424,145,26,29,62,291,32,34
123,379,77,335,136,20,22,69,240,23,24
124,374,74,319,140,14,16,69,228,18,20
126,380,79,431,159,25,27,62,298,32,33
128,381,74,416,140,23,24,63,286,29,29
129,361,77,422,164,26,28,65,290,31,32
130,346,73,288,145,15,17,62,214,19,20
131,379,77,421,155,23,27,60,293,29,31
132,385,75,428,172,24,27,63,294,31,32
133,315,64,348,115,38,40,48,247,43,43
134,322,72,377,142,33,35,55,266,37,38
135,44,10,163,10,120,120,4,106,94,94
136,315,60,365,105,44,45,52,259,49,50
137,328,71,313,138,31,32,65,227,35,36
139,234,64,345,98,44,64,45,242,49,68
140,36,11,160,11,69,69,4,106,52,52
141,32,8,163,8,139,140,5,106,101,102
142,36,10,165,10,53,53,5,106,36,36
143,40,12,165,12,131,131,2,107,103,103
144,40,9,163,9,124,124,3,106,98,98
146,28,8,151,8,118,118,5,99,82,82
