"STORE","n_weeks","n_menus","n_upcs","n_effective_upc","n_upcs_always","n_upcs_95pct","n_menus_nitem","n_nitems","n_nitems_always","n_nitems_95pct"
2,391,81,390,178,25,28,69,253,28,31
5,394,71,379,153,29,29,61,243,29,29
8,394,80,467,156,44,44,73,313,48,48
9,391,90,445,183,31,31,77,269,31,34
12,393,82,452,167,31,33,71,282,32,35
14,393,83,417,165,25,28,72,259,27,31
18,390,84,408,157,31,32,70,256,32,33
21,395,91,426,176,31,32,72,264,33,34
28,394,83,400,157,26,28,67,253,27,30
32,388,82,432,165,27,29,64,268,28,30
33,394,90,333,181,23,24,80,223,23,24
40,385,86,397,160,27,28,68,251,29,30
44,390,86,409,166,28,30,70,251,29,31
45,370,51,319,111,30,33,42,217,34,35
47,389,86,418,178,28,30,72,259,29,30
48,394,74,362,140,25,25,57,237,25,25
49,366,58,303,115,28,29,49,208,31,31
50,269,38,240,79,41,72,28,164,47,70
51,383,82,386,154,28,29,67,253,29,30
52,392,89,418,183,26,27,77,260,27,29
53,396,82,402,163,31,32,65,251,32,33
54,395,84,397,167,25,28,70,254,25,28
56,395,81,412,165,26,28,68,254,28,30
59,393,80,401,169,28,30,71,260,31,33
62,397,87,422,167,33,34,73,268,34,35
64,356,58,308,121,29,29,44,207,29,29
67,379,80,407,152,29,29,68,249,29,30
68,392,84,403,176,28,30,68,246,29,31
70,391,85,480,171,43,45,74,315,48,49
71,393,87,513,176,45,45,76,338,50,50
72,396,81,403,163,28,29,69,257,29,30
73,395,88,419,175,30,31,71,263,31,32
74,394,82,496,173,43,45,72,326,47,50
75,392,86,426,175,30,30,75,266,33,33
76,397,86,443,174,32,33,73,280,33,34
77,397,77,443,150,27,29,67,279,31,33
78,396,91,452,154,43,43,75,298,48,48
80,396,86,477,165,46,47,72,304,48,50
81,392,84,443,167,32,32,68,273,34,35
83,397,86,436,170,29,31,76,276,30,32
84,396,87,464,169,43,44,75,310,48,49
86,394,85,476,161,44,44,70,308,48,48
88,393,83,404,158,31,32,63,254,31,32
89,390,81,402,167,27,28,74,263,27,28
90,394,89,402,173,25,27,68,258,27,28
91,395,85,407,168,27,28,66,261,29,30
92,392,72,371,155,26,26,63,248,26,26
93,382,83,415,162,29,32,69,259,29,33
94,388,81,403,159,29,29,68,255,29,29
95,391,82,411,173,8,28,69,255,14,31
97,317,44,265,90,41,41,38,185,40,40
98,391,91,542,172,45,45,78,350,52,52
100,388,90,551,176,47,47,76,350,53,53
101,397,86,539,175,48,48,76,351,53,54
102,389,87,555,174,47,49,71,355,53,53
103,394,91,523,176,45,48,76,347,53,53
104,387,85,454,156,28,29,72,289,30,31
105,393,92,514,175,48,49,76,339,54,54
106,390,86,425,181,30,30,73,271,31,31
107,390,86,491,171,45,45,74,316,50,50
109,392,90,489,172,41,41,76,321,45,46
110,390,88,438,186,33,34,80,287,36,39
111,397,80,382,156,27,27,60,244,28,28
112,394,94,540,185,45,47,81,356,53,54
113,393,89,442,183,27,34,71,281,29,37
114,393,91,537,179,49,49,74,349,53,53
115,393,90,558,184,45,47,76,360,52,52
116,391,89,429,183,33,36,71,269,37,40
117,390,72,342,156,23,23,64,231,23,24
118,366,54,307,106,26,27,42,210,29,30
119,392,80,399,155,29,31,60,254,29,31
121,394,90,556,183,44,46,77,360,51,53
122,394,89,547,184,46,46,78,353,51,51
123,389,88,457,180,30,32,74,288,33,35
124,384,86,418,171,30,32,69,254,32,34
126,390,93,551,185,46,47,81,357,52,53
128,391,87,536,170,46,46,72,349,52,52
129,371,87,535,172,45,45,75,344,51,51
130,356,85,400,175,29,29,77,254,30,31
131,389,87,529,161,47,47,71,342,53,53
132,395,89,544,178,48,48,76,352,53,54
133,325,80,453,136,59,59,66,322,71,71
134,332,85,487,171,63,64,78,329,64,64
135,48,17,251,17,169,169,14,203,162,162
136,325,81,459,125,69,69,67,315,70,70
137,338,85,419,164,41,41,68,265,39,40
139,244,78,426,133,60,69,69,305,78,82
140,38,13,232,13,114,114,9,198,114,114
141,34,14,244,15,182,183,12,201,172,173
142,38,15,245,15,108,108,12,202,107,107
143,44,17,247,17,167,178,14,201,159,167
144,44,16,245,16,169,175,13,199,162,167
146,31,11,221,11,141,141,9,196,137,137
