"STORE","UPC","n_weeks","mean_p","sd_p","min_p","max_p","n_distinct_p","cv","range_ratio"
2,1112600301,32,1.7675,0.0470415053522573,1.75,1.89,2,0.026614713070584,1.08
2,1112600328,74,2.47945945945946,0.266272555244464,1.89,2.75,12,0.107391372836769,1.45502645502646
2,1112600399,37,1.98027027027027,0.0269244298904346,1.89,1.99,4,0.0135963410119569,1.05291005291005
2,1313000602,261,3.0523754789272,0.226049068899322,2.5,3.43,19,0.0740567700336691,1.372
2,1313000612,302,3.21814569536424,0.199781954141703,2.5,3.45,27,0.0620798351142059,1.38
2,1313000622,298,3.20929530201342,0.205480073611179,2.5,3.45,23,0.0640265398706894,1.38
2,1313000698,262,1.72587786259542,0.166030372649577,1.43,1.97,10,0.0962005343761094,1.37762237762238
2,1313006024,28,3.36821428571429,0.338756479467113,1.64,3.45,3,0.100574503499938,2.10365853658537
2,1313006025,303,3.10630363036304,0.342552070127107,1.54,3.49,40,0.110276428478781,2.26623376623377
2,1313006031,92,3.37304347826087,0.267794160456463,1.64,3.45,8,0.079392442517384,2.10365853658537
2,1313006035,232,3.18551724137931,0.34463191940766,1.54,3.49,31,0.108187114774,2.26623376623377
2,1313006044,31,3.4358064516129,0.0490424437637704,3.19,3.45,3,0.0142739250462575,1.08150470219436
2,1313006050,19,3.34157894736842,0.0809158106988532,3.25,3.45,4,0.0242148433340402,1.06153846153846
2,1313006053,130,3.09123076923077,0.355802434912026,1.64,3.45,17,0.115100573678802,2.10365853658537
2,1313006057,279,3.08566308243728,0.356199222455966,1.54,3.49,35,0.115436848722517,2.26623376623377
2,1313006058,78,2.77833333333333,0.139045135778098,2.25,3.15,14,0.050046239632189,1.4
2,1600062870,4,2.73,0,2.73,2.73,1,0,1
2,1600062880,3,2.73,0,2.73,2.73,1,0,1
2,1600062890,3,2.73,0,2.73,2.73,1,0,1
2,1600064030,10,1.818,0.025298221281347,1.81,1.89,2,0.0139154132460654,1.04419889502762
2,1600064040,11,2.18,0,2.18,2.18,1,0,1
2,1600064060,11,2.18,0,2.18,2.18,1,0,1
2,1600064070,10,2.18,0,2.18,2.18,1,0,1
2,1600065240,10,2.747,0.00948683298050508,2.72,2.75,2,0.00345352492919733,1.01102941176471
2,1600065450,7,2.74142857142857,0.0146385010942279,2.72,2.75,2,0.0053397346357267,1.01102941176471
2,1600065460,4,2.72,0,2.72,2.72,1,0,1
2,1800063061,21,2.19380952380952,0.261236984182489,1.5,2.41,7,0.119079154934497,1.60666666666667
2,1800063070,300,2.421,0.317253578034858,1.96,3.45,46,0.1310423701094,1.76020408163265
2,3000001000,44,2.97136363636364,0.0704005453563348,2.69,2.99,3,0.0236930089924945,1.11152416356877
2,3000001020,303,1.92174917491749,0.197909379032222,0.94,2.09,31,0.102983980227659,2.22340425531915
2,3000001040,304,3.374375,0.18690179601367,1.8,3.59,20,0.0553885670720265,1.99444444444444
2,3000001180,300,1.92166666666667,0.196796812746665,0.94,2.09,29,0.102409442886383,2.22340425531915
2,3000001190,295,2.97959322033898,0.389000774645719,1.16,3.39,49,0.130554993879823,2.92241379310345
2,3000001200,304,3.37332236842105,0.183053892115941,2.11,3.59,21,0.0542651641685888,1.70142180094787
2,3000001210,302,2.99708609271523,0.384908997147396,1.34,3.39,48,0.12842774122604,2.52985074626866
2,3000001240,299,2.98645484949833,0.393521539199129,1.18,3.39,47,0.131768789092939,2.8728813559322
2,3000001340,278,2.96910071942446,0.419253570773082,1.03,3.39,45,0.141205573805644,3.29126213592233
2,3000001350,54,2.83592592592593,0.207841726053141,1.99,2.99,12,0.0732888416277239,1.50251256281407
2,3000001370,57,2.83666666666667,0.215533667682712,1.99,2.99,13,0.0759813164568904,1.50251256281407
2,3000001380,300,2.98033333333333,0.396370517967641,1.08,3.39,47,0.132995364489758,3.13888888888889
2,3000001460,296,2.98314189189189,0.398132837215959,1.18,3.39,46,0.133460911898986,2.8728813559322
2,3000001570,218,3.76192660550459,0.338833665170598,3.22,4.33,20,0.0900691854739547,1.34472049689441
2,3000001580,115,2.9284347826087,0.120929088285626,2.68,3.09,12,0.0412947862126881,1.15298507462687
2,3000001590,43,2.83232558139535,0.11892048582586,2.68,3.09,7,0.0419868699442647,1.15298507462687
2,3000001700,48,2.97354166666667,0.0657360804239465,2.69,2.99,3,0.0221069982508893,1.11152416356877
2,3000001760,262,3.85725190839695,0.376424097329042,3.22,4.33,20,0.097588673560468,1.34472049689441
2,3000001800,288,2.98204861111111,0.391926766071445,1.11,3.39,44,0.131428697912947,3.05405405405405
2,3000001820,262,2.95446564885496,0.438918363973418,0.92,3.39,41,0.148560997533861,3.68478260869565
2,3000001880,299,2.98508361204013,0.3979683004378,1.05,3.39,44,0.133318979352076,3.22857142857143
2,3000002190,299,2.58528428093645,0.327269827082371,2.05,2.89,16,0.126589493269895,1.40975609756098
2,3000002300,72,2.98013888888889,0.59649089589774,1.19,3.39,14,0.200155401522288,2.84873949579832
2,3000002350,238,2.45487394957983,0.333091555047934,1.99,2.89,10,0.135685807861925,1.45226130653266
2,3000002360,17,2.33176470588235,0.050278635387912,2.29,2.39,3,0.0215624823812942,1.04366812227074
2,3000002380,12,3.08,0.10770329614269,2.89,3.15,3,0.0349686026437305,1.08996539792388
2,3000002390,97,2.11030927835052,0.209261865495162,1.05,2.39,14,0.0991617047045957,2.27619047619048
2,3000002620,159,3.06270440251572,0.459831677424221,1.42,3.39,23,0.150139098323205,2.38732394366197
2,3000002720,75,2.57533333333333,0.297690812454499,1.99,2.89,6,0.115593118996052,1.45226130653266
2,3000003790,102,1.7678431372549,0.0971130549796778,1.53,1.85,7,0.0549330723598444,1.20915032679739
2,3000003960,3,0.49,0,0.49,0.49,1,0,1
2,3000004170,301,1.19196013289037,0.110603549093066,0.94,1.35,23,0.092791315784082,1.43617021276596
2,3000004760,265,1.87939622641509,0.124327027770276,1.53,2.09,28,0.0661526430791164,1.36601307189542
2,3000007060,303,2.26957095709571,0.152220259379746,1.87,2.49,20,0.0670700596092122,1.33155080213904
2,3000026286,31,3.15064516129032,0.325719055668849,1.99,3.25,3,0.103381700888034,1.63316582914573
2,3000026287,28,3.205,0.238117617995813,1.99,3.25,2,0.0742956686414393,1.63316582914573
2,3000026288,36,3.18,0.292711462023611,1.99,3.25,2,0.0920476295671734,1.63316582914573
2,3000026289,30,3.208,0.23004347415217,1.99,3.25,2,0.071709312391574,1.63316582914573
2,3828125073,182,1.47692307692308,0.237569145771341,0.79,1.69,16,0.160854109116012,2.13924050632911
2,3828125077,182,2.73192307692308,0.321528006934884,1.39,2.89,20,0.117692921023609,2.07913669064748
2,3828125081,171,2.33315789473684,0.357658189903368,1.33,2.69,22,0.153293607222287,2.02255639097744
2,3828125085,170,2.32952941176471,0.37015399284591,0.91,2.69,24,0.158896466804214,2.95604395604396
2,3828125098,171,2.31812865497076,0.375526306508539,0.94,2.69,24,0.161995455128557,2.86170212765957
2,3828125105,88,2.41318181818182,0.363895101262841,1.62,2.69,13,0.150794730227585,1.66049382716049
2,4240000105,284,2.51228873239437,0.253623997064013,1.89,2.79,30,0.100953363279345,1.47619047619048
2,6414408004,11,2.03,0.102761860629321,1.87,2.09,2,0.0506216062213404,1.11764705882353
2,6414408037,38,1.75842105263158,0.105587834981873,1.63,1.89,4,0.060046957936414,1.15950920245399
2,7382550019,16,1.24625,0.033640253665314,1.19,1.29,6,0.0269931824796902,1.08403361344538
2,7382550020,27,1.25518518518519,0.039161438094358,1.19,1.29,6,0.0311997293758533,1.08403361344538
2,7382550022,25,1.2596,0.0391024295920343,1.19,1.29,4,0.0310435293680806,1.08403361344538
5,1112600301,18,1.74111111111111,0.0908061211262046,1.65,1.85,3,0.0521541218976287,1.12121212121212
5,1112600328,170,2.38658823529412,0.227151399821032,1.49,2.65,32,0.0951782953011324,1.77852348993289
5,1112600399,70,1.96614285714286,0.0619792592036124,1.79,1.99,4,0.0315232735904444,1.11173184357542
5,1313000602,229,2.98777292576419,0.253153481218893,2.54,5,16,0.0847298263652829,1.96850393700787
5,1313000611,70,1.63085714285714,0.089406138250882,1.45,1.75,5,0.0548215633984034,1.20689655172414
5,1313000612,258,3.1215503875969,0.230090320998015,2.69,5,15,0.073710269714771,1.85873605947955
5,1313000622,257,3.11949416342412,0.231978870276721,2.69,5,17,0.0743642584739085,1.85873605947955
5,1313000698,243,1.72152263374486,0.14113378896077,1.49,1.97,11,0.0819819537625012,1.32214765100671
5,1313006024,32,3.184375,0.405382634858921,1.64,3.29,3,0.127303673360996,2.00609756097561
5,1313006025,264,3.01041666666667,0.333746187609656,1.39,4.5,31,0.110863785503554,3.23741007194245
5,1313006031,69,3.20869565217391,0.317429533836105,1.64,3.39,10,0.098927903499057,2.06707317073171
5,1313006035,196,3.04948979591837,0.363822646139654,1.39,4.5,28,0.119306071011163,3.23741007194245
5,1313006050,45,3.22577777777778,0.263624120231205,1.59,3.39,8,0.0817242037090398,2.13207547169811
5,1313006053,106,3.01018867924528,0.296914228859433,1.64,3.29,13,0.09863641801147,2.00609756097561
5,1313006057,260,3.01219230769231,0.346892717521653,1.39,4.5,33,0.115162872116692,3.23741007194245
5,1313006058,91,2.85714285714286,0.266934389418015,2.54,4.5,11,0.0934270362963052,1.77165354330709
5,1600062870,3,2.6,0,2.6,2.6,1,0,1
5,1600062880,2,2.6,0,2.6,2.6,1,0,1
5,1600064030,13,1.76230769230769,0.0192153784566105,1.75,1.79,2,0.0109035320792639,1.02285714285714
5,1600064040,12,2.09,0,2.09,2.09,1,0,1
5,1600064060,10,2.09,0,2.09,2.09,1,0,1
5,1600064070,12,2.09,0,2.09,2.09,1,0,1
5,1600065240,7,2.6,0,2.6,2.6,1,0,1
5,1600065450,6,2.6,0,2.6,2.6,1,0,1
5,1600065460,4,2.6,0,2.6,2.6,1,0,1
5,1780010045,83,1.78987951807229,0.128959191653639,1.55,1.97,7,0.0720490906519389,1.27096774193548
5,1800063061,32,2.2215625,0.122266482495962,1.99,2.45,6,0.0550362560116866,1.23115577889447
5,1800063070,264,2.31814393939394,0.28080540418618,1.87,3.35,43,0.121133722291461,1.79144385026738
5,3000001000,38,2.82473684210526,0.0468889915107301,2.69,2.85,3,0.0165994193907932,1.05947955390335
5,3000001020,265,1.87501886792453,0.33430063194891,0.93,5,24,0.178291876240664,5.3763440860215
5,3000001040,265,3.30750943396226,0.201394346186318,1.93,3.59,21,0.0608900292523295,1.860103626943
5,3000001180,265,1.87301886792453,0.335192080311064,0.93,5,26,0.178958197405927,5.3763440860215
5,3000001190,265,2.90928301886792,0.382815347199479,1.22,3.33,42,0.131584086084702,2.72950819672131
5,3000001200,265,3.3071320754717,0.200030493673052,2.06,3.59,23,0.0604845797229075,1.74271844660194
5,3000001210,265,2.91067924528302,0.377444947500119,1.2,3.33,41,0.129675898885732,2.775
5,3000001240,264,2.90791666666667,0.400232604263873,1.08,3.33,38,0.137635513717337,3.08333333333333
5,3000001340,257,2.91011673151751,0.400361635831313,1.26,3.33,38,0.13757579944999,2.64285714285714
5,3000001350,83,2.84132530120482,0.246802829787397,1.99,3.33,11,0.0868618702979007,1.67336683417085
5,3000001370,54,2.72407407407407,0.188804766074701,1.99,2.85,6,0.0693097033856824,1.4321608040201
5,3000001380,265,2.90928301886792,0.387929448119274,1.11,3.33,43,0.133341942191044,3
5,3000001460,264,2.90954545454545,0.384398920713131,1.23,3.33,46,0.132116485794234,2.70731707317073
5,3000001570,261,3.79685823754789,0.342495501120309,3.23,4.26,22,0.0902049746638687,1.31888544891641
5,3000001580,118,2.94508474576271,0.235480036218842,2.69,3.29,10,0.0799569644159281,1.22304832713755
5,3000001590,46,3.17282608695652,0.25588767538797,2.49,3.29,5,0.0806497640825393,1.32128514056225
5,3000001700,50,2.8348,0.0595986577030054,2.69,2.99,5,0.0210239373864137,1.11152416356877
5,3000001760,257,3.80980544747082,0.340998592557886,3.23,4.26,19,0.0895055134073217,1.31888544891641
5,3000001800,263,2.89973384030418,0.406587367815648,1.07,3.33,41,0.14021540948496,3.11214953271028
5,3000001820,254,2.91074803149606,0.391155973429359,1.11,3.33,38,0.134383316314849,3
5,3000001880,264,2.9132196969697,0.385305978148363,1.34,3.33,37,0.132261215502955,2.48507462686567
5,3000002190,265,2.49539622641509,0.30126741994288,1.99,2.79,17,0.120729292107524,1.40201005025126
5,3000002300,64,2.8759375,0.548121521545134,1.13,3.15,10,0.190588815488909,2.78761061946903
5,3000002350,107,2.23663551401869,0.117320267396347,2.09,2.41,5,0.0524539052791622,1.15311004784689
5,3000002360,19,2.09842105263158,0.1000701508329,1.99,2.19,3,0.0476883086487358,1.10050251256281
5,3000002380,19,2.71315789473684,0.13337718577107,2.59,2.85,2,0.0491593895179502,1.1003861003861
5,3000002390,102,1.93196078431373,0.155092046866881,1.02,2.19,8,0.0802770160378661,2.14705882352941
5,3000002620,149,2.94208053691275,0.448288449561798,1.02,3.29,27,0.15237123659171,3.22549019607843
5,3000003790,92,1.84315217391304,0.100863626219382,1.53,1.97,6,0.0547234393594573,1.28758169934641
5,3000004170,261,1.13260536398467,0.092645485433004,0.93,1.26,14,0.0817985578905113,1.35483870967742
5,3000004760,262,1.84916030534351,0.106069002105088,1.53,2.01,22,0.0573606310921672,1.31372549019608
5,3000007060,265,2.22709433962264,0.129571886001869,1.94,2.39,19,0.0581797922506611,1.2319587628866
5,3574215145,118,2.67364406779661,0.143197104338754,2.45,2.96,4,0.0535587762273699,1.20816326530612
5,3574215146,122,2.69327868852459,0.159945458797683,2.45,2.96,4,0.059386895043269,1.20816326530612
5,3574215147,116,2.68818965517241,0.157637995518798,2.45,2.96,4,0.0586409501336642,1.20816326530612
5,3574215180,43,3.65093023255814,0.216770824270026,3.25,3.95,3,0.059374134936054,1.21538461538462
5,3574215185,60,3.24,0.19541351201482,2.95,3.58,3,0.060312812350253,1.2135593220339
5,3828125073,144,1.36930555555556,0.197181726474928,0.79,1.59,16,0.144001260839789,2.0126582278481
5,3828125077,143,2.60986013986014,0.319687316453732,1.49,2.79,15,0.122492125754625,1.87248322147651
5,3828125081,106,2.19962264150943,0.33741856027168,0.94,2.49,14,0.153398384752093,2.64893617021277
5,3828125085,137,2.21912408759124,0.337238950136326,1.21,2.59,22,0.151969397305035,2.14049586776859
5,3828125098,132,2.2219696969697,0.337062839620956,1.11,2.59,23,0.151695515956244,2.33333333333333
5,3828125105,53,2.3377358490566,0.341499191965673,1.49,2.59,9,0.146081171704444,1.73825503355705
5,4240000105,257,2.45536964980545,0.178872225293692,1.89,2.69,23,0.0728494079528374,1.42328042328042
5,6414408004,112,2.27232142857143,0.339397935786237,1.77,3.09,10,0.149361763489425,1.74576271186441
5,7151801023,43,1.99186046511628,0.102892820193625,1.75,2.15,3,0.0516566406109265,1.22857142857143
5,7276201213,39,2.52692307692308,0.110647706617702,2.29,2.59,4,0.0437875246888928,1.13100436681223
8,1112600301,9,1.73888888888889,0.105409255338946,1.65,1.85,2,0.0606187410894898,1.12121212121212
8,1112600328,226,2.45858407079646,0.221477331698402,1.49,2.85,22,0.0900832858754569,1.91275167785235
8,1112600399,70,1.98428571428571,0.0233791328096591,1.89,1.99,2,0.011782140364839,1.05291005291005
8,1313000602,290,3.08420689655172,0.199451389314985,2.82,5,15,0.0646686153052766,1.77304964539007
8,1313000611,109,1.64834862385321,0.0770343088724696,1.53,1.75,4,0.046734233133518,1.1437908496732
8,1313000612,303,3.17128712871287,0.194577126979806,2.69,5,17,0.061355884561225,1.85873605947955
8,1313000622,299,3.16983277591973,0.196957492422765,2.79,5,18,0.0621349788288492,1.7921146953405
8,1313000698,295,1.78454237288136,0.133771981095905,1.49,1.97,12,0.0749615044891951,1.32214765100671
8,1313006024,38,3.20921052631579,0.375775821460495,1.64,3.43,4,0.117092916896259,2.09146341463415
8,1313006025,304,3.05736842105263,0.339816951000973,1.54,4.5,29,0.111146876726089,2.92207792207792
8,1313006031,112,3.21383928571429,0.252344843189176,1.64,3.29,5,0.0785181898518897,2.00609756097561
8,1313006035,236,3.06457627118644,0.378334860273776,1.54,4.5,22,0.12345421578537,2.92207792207792
8,1313006044,31,3.28677419354839,0.0179605302026775,3.19,3.29,2,0.00546448558526845,1.03134796238245
