"r_id","r_gender","r_age","r_educ","r_income","r_party","r_strength","r_lean","profile","cage","chealthcare","cmarriage","cparty","educ","exp","gender","guns","highway","ideology","immigration","income","job","kids","marital","military","race","relative","school","vacation"
"R_TgXUB77H7XzHGAV",2,32,4,2,2,1,NA,1,3,1,1,2,3,3,1,1,1,2,2,3,2,3,2,1,1,2,2,1
"R_TgXUB77H7XzHGAV",2,32,4,2,2,1,NA,2,1,2,2,2,1,1,1,1,2,2,1,1,4,4,2,1,7,4,1,2
"R_TgXUB77H7XzHGAV",2,32,4,2,2,1,NA,3,3,1,1,2,2,3,2,1,2,1,2,2,3,2,2,1,1,1,3,4
"R_TgXUB77H7XzHGAV",2,32,4,2,2,1,NA,4,2,2,2,2,1,1,1,1,2,2,1,1,1,3,3,1,1,2,1,1
"R_2SJrChL8yLTxRJX",2,35,4,3,2,0,NA,1,3,2,2,2,1,3,1,1,3,2,1,2,2,3,2,2,1,3,2,3
"R_2SJrChL8yLTxRJX",2,35,4,3,2,0,NA,2,3,2,2,1,2,3,2,2,3,1,2,2,1,3,2,1,1,2,3,3
"R_2SJrChL8yLTxRJX",2,35,4,3,2,0,NA,3,1,2,2,1,3,2,1,2,4,1,3,2,2,4,2,2,1,4,1,2
"R_2SJrChL8yLTxRJX",2,35,4,3,2,0,NA,4,1,2,1,1,3,1,1,2,1,1,2,2,2,3,2,1,1,1,2,3
"R_2dm3l8G47eN68dp",2,33,5,2,2,0,NA,1,3,1,2,1,3,2,1,2,3,1,2,3,2,4,2,2,1,4,3,1
"R_2dm3l8G47eN68dp",2,33,5,2,2,0,NA,2,3,2,1,2,3,2,2,1,4,2,1,3,2,4,2,2,1,3,1,3
"R_2dm3l8G47eN68dp",2,33,5,2,2,0,NA,3,3,1,2,2,2,3,1,1,2,2,2,3,1,4,2,2,1,1,3,1
"R_2dm3l8G47eN68dp",2,33,5,2,2,0,NA,4,3,2,1,1,3,3,1,2,4,1,2,3,2,4,3,1,1,2,1,2
"R_31z3Ll08zv89eZw",1,38,5,5,1,0,NA,1,2,2,2,2,3,3,1,1,3,2,1,3,2,3,2,1,1,1,2,1
"R_31z3Ll08zv89eZw",1,38,5,5,1,0,NA,2,1,1,2,1,2,3,2,2,1,1,3,3,2,3,2,1,1,2,3,3
"R_31z3Ll08zv89eZw",1,38,5,5,1,0,NA,3,2,2,2,2,3,2,1,1,2,2,1,3,2,3,2,2,1,3,2,1
"R_31z3Ll08zv89eZw",1,38,5,5,1,0,NA,4,3,1,1,1,3,2,1,2,1,1,3,3,1,4,2,1,1,1,1,3
"R_U9eMLGIE9VxW6wp",1,48,5,3,1,0,NA,1,2,1,1,1,2,1,1,2,2,1,3,2,2,3,2,1,1,2,2,3
"R_U9eMLGIE9VxW6wp",1,48,5,3,1,0,NA,2,1,1,2,2,2,3,1,1,3,2,2,2,1,3,2,2,1,1,1,1
"R_U9eMLGIE9VxW6wp",1,48,5,3,1,0,NA,3,2,2,2,1,2,1,1,1,2,2,2,1,1,1,2,1,3,1,2,3
"R_U9eMLGIE9VxW6wp",1,48,5,3,1,0,NA,4,3,2,1,1,3,1,1,2,4,1,3,2,1,4,2,2,1,4,2,1
"R_tVZyeCAjSM0pgZj",2,29,5,2,2,0,NA,1,2,1,1,1,3,3,1,2,3,1,3,2,2,3,2,2,1,3,3,1
"R_tVZyeCAjSM0pgZj",2,29,5,2,2,0,NA,2,3,2,1,2,3,3,1,1,2,2,1,3,2,4,2,2,1,4,1,3
"R_tVZyeCAjSM0pgZj",2,29,5,2,2,0,NA,3,1,2,2,1,3,3,1,1,1,1,1,2,1,4,2,2,1,3,2,4
"R_tVZyeCAjSM0pgZj",2,29,5,2,2,0,NA,4,1,2,2,2,3,3,1,2,4,2,1,3,1,4,2,2,1,4,1,2
"R_2zGCpqCkmsOjfLF",2,34,3,2,3,NA,1,1,1,2,2,1,2,2,1,2,3,2,2,3,1,3,2,1,1,1,3,1
"R_2zGCpqCkmsOjfLF",2,34,3,2,3,NA,1,2,1,2,1,1,3,2,2,2,4,1,2,2,2,2,2,1,1,2,1,2
