"r_id","r_gender","r_age","r_educ","r_income","r_party","r_strength","r_lean","profile","access","balcony","bar","boats","call","cars","cfloor","cfurniture","channels","chocolate","cinternet","closet","coffee","color","cview","decor","door","elevators","fan","flooring","food","hallway","hours","kitchen","lamps","lights","linens","menu","office","parking","pillows","scent","service","shower","sinks","size","theme","thermo","towels","tv","valet","windows"
"R_0026y2JPl761Aat",1,61,5,3,3,NA,-1,1,1,2,3,1,1,3,3,2,1,4,1,1,1,3,2,1,1,2,1,1,1,1,1,3,2,2,1,2,2,1,4,1,3,1,2,1,2,3,1,1,1,2
"R_0026y2JPl761Aat",1,61,5,3,3,NA,-1,2,1,2,3,1,1,3,2,2,1,4,1,1,1,3,2,1,1,2,1,1,1,1,1,3,2,2,1,2,2,1,4,1,3,1,2,1,2,3,1,1,1,2
"R_0026y2JPl761Aat",1,61,5,3,3,NA,-1,3,1,2,3,2,1,3,3,2,1,4,1,1,1,3,1,1,1,2,1,1,1,1,1,3,2,2,1,2,2,1,4,1,3,1,2,1,2,3,1,1,1,2
"R_009t5PzAFrfnXSV",1,31,3,2,2,1,NA,1,1,1,3,2,2,2,1,2,3,3,2,2,1,3,1,1,3,1,1,1,1,3,1,3,2,2,1,1,1,3,3,1,4,3,2,1,3,3,1,1,1,1
"R_009t5PzAFrfnXSV",1,31,3,2,2,1,NA,2,2,1,1,1,1,2,3,1,3,1,1,2,1,4,2,1,3,1,1,1,4,1,2,3,2,2,2,1,2,3,3,3,3,1,2,2,3,2,1,1,2,1
"R_009t5PzAFrfnXSV",1,31,3,2,2,1,NA,3,2,1,3,1,2,1,3,1,1,4,1,1,1,4,2,1,3,2,1,1,1,3,3,2,2,2,1,1,2,3,4,1,4,3,2,2,1,2,1,1,1,1
"R_009xqNzL37JnnPz",1,46,5,4,3,NA,0,1,3,2,2,2,2,1,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,2,2,2,3,2,1,1,2,3,3,3,4,3,2,1,3,4,1,1,2,2
"R_009xqNzL37JnnPz",1,46,5,4,3,NA,0,2,2,1,3,1,1,1,1,2,1,4,2,1,3,4,2,1,2,1,1,2,1,3,1,2,3,2,2,1,2,2,3,1,4,3,2,1,2,3,1,1,2,1
"R_009xqNzL37JnnPz",1,46,5,4,3,NA,0,3,3,2,3,1,1,1,2,2,1,4,2,2,2,1,2,1,2,1,1,3,1,1,1,2,3,1,1,2,2,2,3,1,4,3,2,1,1,3,1,1,2,2
"R_00wCwoj9f35ettn",1,38,4,5,3,NA,1,1,1,2,1,1,2,1,2,1,2,1,1,2,1,4,2,2,1,1,2,1,1,1,3,3,1,2,2,1,2,2,4,1,4,1,2,2,2,3,2,1,1,2
"R_00wCwoj9f35ettn",1,38,4,5,3,NA,1,2,1,2,3,2,2,1,3,2,1,1,1,2,1,4,1,2,1,1,1,1,1,3,1,3,1,2,2,1,2,1,3,3,4,1,2,1,3,3,2,1,1,2
"R_00wCwoj9f35ettn",1,38,4,5,3,NA,1,3,1,2,3,2,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,3,1,2,2,1,2,1,3,3,4,1,2,2,3,3,2,1,1,2
"R_01iDRrH6JXik4g1",2,44,4,5,3,NA,0,1,3,2,3,2,2,2,2,1,1,4,1,2,1,3,1,2,2,2,1,1,1,2,1,3,1,2,3,1,1,2,3,1,4,1,2,2,3,1,1,1,2,2
"R_01iDRrH6JXik4g1",2,44,4,5,3,NA,0,2,1,1,2,2,2,2,3,2,2,2,1,1,1,1,1,2,2,2,1,1,1,3,1,1,1,2,3,1,2,2,4,3,4,2,1,1,3,1,1,2,2,2
"R_01iDRrH6JXik4g1",2,44,4,5,3,NA,0,3,1,1,3,2,2,2,3,2,2,2,1,1,1,1,1,2,2,2,2,1,1,3,1,1,1,2,3,1,2,2,4,3,4,2,1,1,3,1,1,2,2,2
