variable,value,n,pct
age,"(34,49]",54583955,0.23566959592794517
age,"(49,64]",59469811,0.2567645808787815
age,"(64,96]",49032663,0.21170154996062687
age,"[18,34]",68525777,0.29586427323264647
gender,Female,119282687,0.5150103660771661
gender,Male,112329519,0.48498963392283395
hispanic,No,202756093,0.8754119504392613
hispanic,Yes,28856113,0.12458804956073861
ethnicity,American Indian or Alaska Native,1877694,0.008107059780778565
ethnicity,Asian or Pacific Islander,10426910,0.045018827721022614
ethnicity,Black,29598793,0.12779461631655112
ethnicity,Other,12859789,0.05552293301847831
ethnicity,White,176849020,0.7635565631631694
education,Associate's degree,19582632,0.08454922276419231
education,Bachelor's degree,43953053,0.18977002015170133
education,Did not complete high school,23329069,0.10072469583058156
education,Graduate or professional degree,25265433,0.10908506695886312
education,High school graduate,64687489,0.27929222780253643
education,"Some college, no degree",54794530,0.2365787664921252
hhi,"[0,25)",NA,0.203
hhi,"[25,50)",NA,0.218
hhi,"[50,75)",NA,0.17600000000000002
hhi,"[75,100)",NA,0.125
hhi,"[100,200)",NA,0.209
hhi,"[200,201)",NA,0.069
hhi,"[0,25)",NA,0.203
hhi,"[25,50)",NA,0.218
hhi,"[50,75)",NA,0.17600000000000002
hhi,"[75,100)",NA,0.125
hhi,"[100,200)",NA,0.209
hhi,"[200,201)",NA,0.069
