id,st,ideo,trump,tax,rid,age,gender,hhi,ethnicity,hispanic,education,state,educ,age_cut,race,hhi_cut,pid_lean,pid7,pid_fold,pid_Lean,E1,E2,E3,E4,I1,I2,I3,I4,M1,M2,M3,M4,T1,T2,T3,T4,E_ideal,I_ideal,M_ideal,T_ideal,knowl_ryan,knowl_roberts,knowl_merkel,knowl_putin,knowl_spend,knowl_house,auth_respect,auth_manners,auth_obey,auth_behave,voteduty,auth_total,knowl_senate_party,knowl_senate_term,knowl_anes_total
2,Texas,Moderate,Somewhat approve,noincome,5b858788-c4c9-4157-8e87-bfe12df05427,52,Male,"$70,000 to $74,999",White,No,Bachelor's degree,Texas,Bachelor's degree,"(49,64]",White,"[50,75)",I,0,0,Independent,72,74,20,26,66,69,59,61,10,9,7,99,51,46,66,77,2,2,4,4,0,0,0,1,1,0,Independence,Curiosity,Self-reliance,Well-behaved,-1,1,0,0,2
4,Texas,Moderate,Strongly disapprove,noincome,5b8587e5-f852-48d2-9c2c-5199343c5697,65,Male,"$50,000 to $54,999",White,No,High school graduate,Texas,High school graduate,"(64,96]",White,"[50,75)",D,-3,3,Democrat,69,71,75,77,77,82,77,74,84,78,72,74,51,78,72,62,4,2,1,2,1,0,0,1,0,1,Respect for elders,Good manners,Obedience,Considerate,3,3,0,0,3
12,North Dakota,Moderate,Strongly disapprove,normal,5b85890d-7ca4-4e68-862e-3c5cad5c238f,29,Female,"$50,000 to $54,999",White,No,NA,North Dakota,NA,"[18,34]",White,"[50,75)",D,-3,3,Democrat,68,40,58,64,44,81,61,69,50,72,58,81,68,54,71,57,1,2,4,3,1,1,1,1,1,1,Respect for elders,Curiosity,Obedience,Well-behaved,0,3,1,0,7
5,Kentucky,Conservative,Strongly approve,normal,5b8587ee-4616-431c-a46a-80efb53f96f0,39,Female,"Less than $14,999","Black, or African American",No,"Some college, no degree",Kentucky,"Some college, no degree","(34,49]",Black,"[0,25)",R,3,3,Republican,52,100,30,29,30,100,100,100,10,11,90,50,50,40,100,50,2,3,3,3,1,1,1,1,0,1,Respect for elders,Good manners,Self-reliance,Well-behaved,-3,3,1,0,6
9,California,Conservative,Strongly approve,normal,5b85887a-0364-4140-879d-b2f7134a94f4,63,Female,"Less than $14,999","Black, or African American",No,Bachelor's degree,California,Bachelor's degree,"(49,64]",Black,"[0,25)",R,3,3,Republican,1,99,1,1,1,1,99,98,100,99,1,1,2,2,52,100,2,3,1,4,0,1,0,1,0,1,Independence,Good manners,Self-reliance,Well-behaved,0,2,1,1,5
24,New Hampshire,Conservative,Strongly approve,"noincome,nosales",5b858a0f-afec-40e8-9801-e04683ca702e,29,Male,"$75,000 to $79,999",White,No,Graduate or professional degree,New Hampshire,Graduate or professional degree,"[18,34]",White,"[75,100)",R,3,3,Republican,99,88,78,92,94,88,83,94,88,92,92,92,90,90,85,89,1,2.5,3,1.5,0,0,1,1,0,1,Independence,Good manners,Obedience,Well-behaved,-3,3,1,0,4
29,Ohio,Moderate,Somewhat approve,normal,5b858a26-4c95-490d-8e66-16028f30d65c,25,Female,"Less than $14,999",White,No,Bachelor's degree,Ohio,Bachelor's degree,"[18,34]",White,"[0,25)",R,3,3,Republican,62,44,35,35,55,24,55,45,47,24,58,33,70,37,55,34,1,2,3,1,0,0,0,1,1,1,Respect for elders,Good manners,Obedience,Well-behaved,-3,4,1,0,4
7,North Carolina,Liberal,Somewhat disapprove,normal,5b85882d-2712-491e-9563-0e5ff1184fed,63,Female,"$40,000 to $44,999",White,No,Bachelor's degree,North Carolina,Bachelor's degree,"(49,64]",White,"[25,50)",I,0,0,Independent,50,50,17,2,6,5,6,8,17,7,52,10,50,50,3,12,1.5,4,3,1.5,0,0,0,1,0,0,Respect for elders,Good manners,Self-reliance,Well-behaved,0,3,0,1,2
3,Florida,Conservative,Somewhat disapprove,noincome,5b8587df-f1dc-486f-84df-22e707df2e9e,66,Male,"Less than $14,999",White,No,Bachelor's degree,Florida,Bachelor's degree,"(64,96]",White,"[0,25)",R,2,2,Republican,100,100,2,2,5,100,28,3,1,2,75,100,1,1,76,27,1.5,2,4,3,1,1,1,1,0,1,Respect for elders,Good manners,Obedience,Well-behaved,3,4,1,1,7
6,North Carolina,Slightly conservative,Somewhat approve,normal,5b85880d-21db-40a9-8b78-4e28fe28a797,69,Female,"$30,000 to $34,999",White,No,Bachelor's degree,North Carolina,Bachelor's degree,"(64,96]",White,"[25,50)",R,1,1,Republican,52,54,20,2,5,30,49,19,20,9,59,7,30,29,48,19,2,3,3,3,1,1,1,1,1,1,Respect for elders,Curiosity,Obedience,Considerate,3,2,1,1,8
