year,county,precinct,method,voteD,voteR
2014,Flathead,1,absent,96,102
2014,Flathead,1,polls,60,108
2014,Flathead,2,absent,118,139
2014,Flathead,2,polls,83,99
2014,Flathead,3,absent,156,153
2014,Flathead,3,polls,96,149
2014,Flathead,4,absent,180,158
2014,Flathead,4,polls,103,172
2014,Flathead,5,absent,120,240
2014,Flathead,5,polls,73,226
2014,Flathead,6,absent,315,684
2014,Flathead,6,polls,135,513
2014,Flathead,7,absent,146,240
2014,Flathead,7,polls,55,217
2014,Flathead,8,absent,90,201
2014,Flathead,8,polls,50,206
2014,Flathead,11,absent,91,250
2014,Flathead,11,polls,80,303
2014,Flathead,13,absent,131,333
2014,Flathead,13,polls,108,363
2014,Flathead,14,absent,65,160
2014,Flathead,14,polls,52,137
2014,Flathead,15,absent,56,172
2014,Flathead,15,polls,57,246
2014,Flathead,16,absent,116,137
2014,Flathead,16,polls,147,208
2014,Flathead,17,absent,45,53
2014,Flathead,17,polls,54,37
2014,Flathead,18,absent,167,253
2014,Flathead,18,polls,144,313
2014,Flathead,19,absent,61,174
2014,Flathead,19,polls,64,247
2014,Flathead,20,absent,330,227
2014,Flathead,20,polls,292,257
2014,Flathead,21,absent,89,199
2014,Flathead,21,polls,63,231
2014,Flathead,23,absent,87,123
2014,Flathead,23,polls,128,227
2014,Flathead,24,absent,58,152
2014,Flathead,24,polls,35,202
2014,Flathead,25,absent,137,269
2014,Flathead,25,polls,70,223
2014,Flathead,26,absent,49,134
2014,Flathead,26,polls,39,165
2014,Flathead,29,absent,83,301
2014,Flathead,29,polls,137,413
2014,Flathead,31,absent,263,518
2014,Flathead,31,polls,170,454
2014,Flathead,32,absent,117,116
2014,Flathead,32,polls,73,151
2014,Flathead,33,absent,52,67
2014,Flathead,33,polls,24,81
2014,Flathead,34,absent,205,410
2014,Flathead,34,polls,98,347
2014,Flathead,35,absent,153,222
2014,Flathead,35,polls,124,309
2014,Flathead,36,absent,165,282
2014,Flathead,36,polls,119,431
2014,Flathead,37,absent,204,366
2014,Flathead,37,polls,105,349
2014,Flathead,38,absent,190,386
2014,Flathead,38,polls,128,409
2014,Flathead,39,absent,101,122
2014,Flathead,39,polls,68,140
2014,Flathead,41,absent,252,441
2014,Flathead,41,polls,103,259
2014,Flathead,42,absent,163,348
2014,Flathead,42,polls,113,396
2014,Flathead,43,absent,162,347
2014,Flathead,43,polls,150,432
2014,Flathead,44,absent,201,264
2014,Flathead,44,polls,133,293
2014,Flathead,45,absent,210,208
2014,Flathead,45,polls,163,244
2014,Flathead,47,absent,253,123
2014,Flathead,47,polls,147,178
2014,Flathead,48,absent,112,157
2014,Flathead,48,polls,65,200
2014,Flathead,49,absent,161,191
2014,Flathead,49,polls,123,218
2014,Flathead,50,absent,92,235
2014,Flathead,50,polls,70,245
2014,Flathead,89,absent,25,101
