county,prec_id,year,method,birthday,city,N,birthyr,pct,co,precinct
Flathead,PREC 01,2014,absent,1957-10-05,0.9746192893401016,197,1957.7616541066025,0.5660919540229885,Flathead,1
Flathead,PREC 01,2014,polls,1962-04-24,0.9536423841059603,151,1962.3106282098354,0.4339080459770115,Flathead,1
Flathead,PREC 01,2016,absent,1964-03-14,0.9643916913946587,337,1964.1996803132686,0.5682967959527825,Flathead,1
Flathead,PREC 01,2016,polls,1969-01-20,0.94140625,256,1969.053741016427,0.4317032040472175,Flathead,1
Flathead,PREC 01,2017,absent,1961-09-07,0.9552238805970149,268,1961.6828281589997,0.67,Flathead,1
Flathead,PREC 01,2017,polls,1965-01-05,0.9545454545454546,132,1965.0125277414804,0.33,Flathead,1
Flathead,PREC 02,2014,absent,1954-01-16,1,283,1954.0415805041805,0.5995762711864406,Flathead,2
Flathead,PREC 02,2014,polls,1962-08-06,1,189,1962.5950262377366,0.4004237288135593,Flathead,2
Flathead,PREC 02,2016,absent,1959-04-15,1,482,1959.2849892502436,0.5657276995305164,Flathead,2
Flathead,PREC 02,2016,polls,1970-08-08,1,370,1970.6019645929298,0.43427230046948356,Flathead,2
Flathead,PREC 02,2017,absent,1956-12-29,1,385,1956.9925349120422,0.6912028725314183,Flathead,2
Flathead,PREC 02,2017,polls,1968-02-14,1,172,1968.119908313834,0.3087971274685817,Flathead,2
Flathead,PREC 03,2014,absent,1956-01-02,0.6722222222222223,360,1956.0031028975588,0.6338028169014085,Flathead,3
Flathead,PREC 03,2014,polls,1962-08-10,0.5384615384615384,208,1962.6069736218608,0.36619718309859156,Flathead,3
Flathead,PREC 03,2016,absent,1959-12-01,0.6280487804878049,492,1959.9163286088713,0.5648679678530425,Flathead,3
Flathead,PREC 03,2016,polls,1968-06-06,0.554089709762533,379,1968.428842066102,0.4351320321469575,Flathead,3
Flathead,PREC 03,2017,absent,1957-11-27,0.6270783847980997,421,1957.9052742646904,0.6661392405063291,Flathead,3
Flathead,PREC 03,2017,polls,1964-10-10,0.5924170616113744,211,1964.7752724064217,0.3338607594936709,Flathead,3
Flathead,PREC 04,2014,absent,1957-01-19,0.9918256130790191,367,1957.0506222642473,0.6147403685092128,Flathead,4
Flathead,PREC 04,2014,polls,1963-06-16,1,230,1963.4546915453977,0.3852596314907873,Flathead,4
Flathead,PREC 04,2016,absent,1963-01-19,0.9945652173913043,552,1963.04900356119,0.5755995828988529,Flathead,4
Flathead,PREC 04,2016,polls,1970-06-10,0.9975429975429976,407,1970.4391727923555,0.424400417101147,Flathead,4
Flathead,PREC 04,2017,absent,1960-11-15,0.9936305732484076,471,1960.8737028269327,0.6796536796536796,Flathead,4
Flathead,PREC 04,2017,polls,1965-07-02,1,222,1965.499281622485,0.3203463203463203,Flathead,4
Flathead,PREC 05,2014,absent,1954-05-07,0.6356968215158925,409,1954.347586557755,0.5970802919708029,Flathead,5
Flathead,PREC 05,2014,polls,1962-09-08,0.6340579710144928,276,1962.6865954428672,0.4029197080291971,Flathead,5
Flathead,PREC 05,2016,absent,1960-05-15,0.6324921135646687,634,1960.3706333115256,0.5701438848920863,Flathead,5
Flathead,PREC 05,2016,polls,1969-03-13,0.700836820083682,478,1969.196263234616,0.42985611510791366,Flathead,5
Flathead,PREC 05,2017,absent,1956-11-05,0.6376237623762376,505,1956.8472347029365,0.6424936386768448,Flathead,5
Flathead,PREC 05,2017,polls,1964-11-03,0.6405693950177936,281,1964.8416650224947,0.3575063613231552,Flathead,5
Flathead,PREC 06,2014,absent,1954-03-22,0.5259391771019678,1118,1954.2198484386536,0.6557184750733138,Flathead,6
Flathead,PREC 06,2014,polls,1959-08-10,0.3390119250425894,587,1959.605005556158,0.34428152492668623,Flathead,6
Flathead,PREC 06,2016,absent,1958-05-15,0.5075508864084045,1523,1958.3678661167596,0.6369719782517775,Flathead,6
Flathead,PREC 06,2016,polls,1965-03-26,0.3490783410138249,868,1965.2317395130538,0.3630280217482225,Flathead,6
Flathead,PREC 06,2017,absent,1957-03-23,0.5096153846153846,1352,1957.222954610808,0.7218366257341164,Flathead,6
Flathead,PREC 06,2017,polls,1960-08-01,0.3416506717850288,521,1960.5837954441847,0.2781633742658836,Flathead,6
Flathead,PREC 07,2014,absent,1954-09-05,0,452,1954.6781147595598,0.6579330422125182,Flathead,7
Flathead,PREC 07,2014,polls,1961-04-26,0,235,1961.3169819563982,0.3420669577874818,Flathead,7
