m_dem_code,Measure,estimate,se,q2.5,q97.5,gt0,lt0,NAs,Nsim
Generic,Party/Policy Bundle,0,0,0,0,0,0,0,1000
Generic,Policy Rank,0,0,0,0,0,0,0,1000
Generic,Policy Rating,0,0,0,0,0,0,0,1000
Generic,Spatial Distance,0,0,0,0,0,0,0,1000
u_banProtest,Party/Policy Bundle,-0.10661040623635545,0.015481795013400712,-0.13935791561037575,-0.077702678581986,0,1,0,1000
u_banProtest,Policy Rank,-0.10397644156017063,0.01372746611256832,-0.13105933195039468,-0.076891861721682,0,1,0,1000
u_banProtest,Policy Rating,-0.09655674257466851,0.013711330011571604,-0.12366937380479158,-0.07001877022055324,0,1,0,1000
u_banProtest,Spatial Distance,-0.09876437916128768,0.013609660543293685,-0.1260932898209352,-0.07257104679923115,0,1,0,1000
u_court,Party/Policy Bundle,-0.13561085216936347,0.015279521476337234,-0.1664178351580348,-0.10470614940236304,0,1,0,1000
u_court,Policy Rank,-0.13280225403761534,0.013451435828558166,-0.15848957703553998,-0.1076039923647243,0,1,0,1000
u_court,Policy Rating,-0.13450829846351828,0.013432723873009728,-0.16071347462535238,-0.10980230504541025,0,1,0,1000
u_court,Spatial Distance,-0.13213910877382182,0.013346059990838346,-0.15776301670451728,-0.1071015862959456,0,1,0,1000
u_execRule,Party/Policy Bundle,-0.09121379224727433,0.015662394606831248,-0.12329363003171868,-0.06092143749670938,0,1,0,1000
u_execRule,Policy Rank,-0.09436766377954191,0.013348116921691529,-0.1212552018607464,-0.06938402524088892,0,1,0,1000
u_execRule,Policy Rating,-0.09299888831808552,0.013415520713613823,-0.11931198390699747,-0.06819345280776236,0,1,0,1000
u_execRule,Spatial Distance,-0.0909140828479211,0.013304054988358174,-0.11770124270376374,-0.06544930076154555,0,1,0,1000
u_gerry10,Party/Policy Bundle,-0.1254356087968598,0.01549289976911974,-0.155611996937794,-0.09497191329701724,0,1,0,1000
u_gerry10,Policy Rank,-0.11544754813448863,0.013738407661204467,-0.1419249200928782,-0.08787634758785641,0,1,0,1000
u_gerry10,Policy Rating,-0.11483209131612294,0.013720307819308575,-0.14160400617876204,-0.08829060661512209,0,1,0,1000
u_gerry10,Spatial Distance,-0.11742304929051314,0.013638424631925293,-0.1432289629197657,-0.09072559826714642,0,1,0,1000
u_gerry2,Party/Policy Bundle,-0.07140193944117795,0.015928871804880486,-0.10182038875950501,-0.04022931626126923,0,1,0,1000
u_gerry2,Policy Rank,-0.0907648596897983,0.013885958721305233,-0.117651385429396,-0.0639376554898818,0,1,0,1000
u_gerry2,Policy Rating,-0.08524887180522193,0.013943155884847692,-0.11109430809360801,-0.05760576585949881,0,1,0,1000
u_gerry2,Spatial Distance,-0.09014755566356948,0.01376221426022675,-0.11695037945469944,-0.0640461595092156,0,1,0,1000
u_journalists,Party/Policy Bundle,-0.15004932717682598,0.015890361808845514,-0.17914679862094418,-0.1191665269944833,0,1,0,1000
u_journalists,Policy Rank,-0.14794976707315796,0.014257053655437703,-0.17462431144260157,-0.1194206354656604,0,1,0,1000
u_journalists,Policy Rating,-0.15270194859570796,0.014112333682744893,-0.1794928116675326,-0.12416245312159842,0,1,0,1000
u_journalists,Spatial Distance,-0.14881843620060256,0.014177154960442436,-0.1757293574560592,-0.12021879164336255,0,1,0,1000
u_limitVote,Party/Policy Bundle,-0.13205674312536128,0.01600427363288822,-0.16271885519343468,-0.1004327297805758,0,1,0,1000
u_limitVote,Policy Rank,-0.11717315322720297,0.0143499903922472,-0.1451084613004233,-0.08867038837493399,0,1,0,1000
u_limitVote,Policy Rating,-0.1152861915757313,0.014108679859361694,-0.14185552069431748,-0.08688787648902929,0,1,0,1000
u_limitVote,Spatial Distance,-0.11306558323032372,0.01427051738477351,-0.13936269125029258,-0.08433541660536428,0,1,0,1000
v_affair,Party/Policy Bundle,-0.16752624909563285,0.015118486482426858,-0.1969909455190632,-0.13839915990462603,0,1,0,1000
v_affair,Policy Rank,-0.1609449296120314,0.013466608563484275,-0.18683798716643282,-0.133911007618363,0,1,0,1000
v_affair,Policy Rating,-0.1611654584499739,0.013306152507127671,-0.18618040798659433,-0.13400893416932191,0,1,0,1000
v_affair,Spatial Distance,-0.16125092074020356,0.01337790824296998,-0.18646658982293043,-0.13336871221071894,0,1,0,1000
v_tax,Party/Policy Bundle,-0.21171323494675814,0.014520934213295339,-0.239854527127117,-0.18363547134120073,0,1,0,1000
v_tax,Policy Rank,-0.21084981725131136,0.013255774198536338,-0.23717783601437842,-0.18398229334204458,0,1,0,1000
v_tax,Policy Rating,-0.20874302517231816,0.013120763568450678,-0.2345115621107286,-0.18294434972177878,0,1,0,1000
v_tax,Spatial Distance,-0.21097701560223867,0.013107424527509829,-0.2362913154027801,-0.18385559942090976,0,1,0,1000
