Type,m_dem_code,Measure,Transformation,value,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
D+ vs. D+,Generic,Party/Policy Bundle,Absolute,-0.9,0.12729415459166502,0.02452408765300437,0.08169372756930943,0.1741859208836309,0.12596941116236646,0.12686717193073338,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Absolute,-0.7,0.17172598883136775,0.024336949216523667,0.12649289277263576,0.2221549152425225,0.1728256313984399,0.17292811624262505,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Absolute,-0.5,0.20079532542189843,0.01815018220693352,0.1694359098750761,0.23913036661037507,0.20173108217986696,0.20192637616117723,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Absolute,-0.3,0.30599313516669213,0.017058303826082196,0.2752484208887634,0.3401870728626779,0.30573083355264363,0.3060471431850727,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Absolute,-0.1,0.46622129194054285,0.010321608188885063,0.447359612656904,0.48701116671485706,0.46570006245812257,0.4662198407059305,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Absolute,0.1,0.533778708059457,0.010321608188885063,0.512988833285143,0.552640387343096,0.5342999375418773,0.5337801592940695,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Absolute,0.3,0.6940068648333078,0.0170583038260822,0.659812927137322,0.7247515791112367,0.6942691664473564,0.6939528568149274,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Absolute,0.5,0.7992046745781015,0.01815018220693352,0.760869633389625,0.8305640901249239,0.7982689178201331,0.7980736238388227,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Absolute,0.7,0.8282740111686322,0.024336949216523667,0.7778450847574774,0.8735071072273642,0.8271743686015602,0.827071883757375,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Absolute,0.9,0.872705845408335,0.024524087653004366,0.8258140791163691,0.9183062724306906,0.8740305888376336,0.8731328280692666,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Squared,-0.9,0.12445364800453469,0.02112761166806273,0.0829637184181113,0.1653397532989657,0.12448160091954233,0.12432724206708283,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Squared,-0.7,0.18964757538314603,0.02205169306239806,0.14773087893506506,0.23447967858027569,0.19145761152867563,0.19144416237501072,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Squared,-0.5,0.2482761005803827,0.023010912896474733,0.20663493452739326,0.295012502937821,0.24798948642913712,0.2486633002241474,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Squared,-0.3,0.31117691773019324,0.018002442324208903,0.27636264794311066,0.34610823328231083,0.31084960544903745,0.3110222522052412,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Squared,-0.1,0.4514116687233055,0.009930658610072961,0.4318468932100157,0.47068625766848504,0.45143625607553683,0.451474575818729,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Squared,0.1,0.5485883312766944,0.009930658610072963,0.5293137423315151,0.5681531067899843,0.5485637439244632,0.5485254241812709,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Squared,0.3,0.6888230822698067,0.018002442324208907,0.6538917667176892,0.7236373520568892,0.6891503945509626,0.6889777477947588,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Squared,0.5,0.7517238994196173,0.023010912896474733,0.704987497062179,0.7933650654726068,0.7520105135708628,0.7513366997758526,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Squared,0.7,0.810352424616854,0.022051693062398063,0.7655203214197243,0.8522691210649349,0.8085423884713243,0.8085558376249893,1,0,0,1000
D+ vs. D+,Generic,Party/Policy Bundle,Squared,0.9,0.8755463519954653,0.021127611668062735,0.8346602467010342,0.9170362815818888,0.8755183990804576,0.8756727579329172,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Absolute,-0.9,0.23991527989568812,0.028345794173658234,0.1845959054852891,0.29996195434084255,0.24014406777288505,0.2407055254872073,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Absolute,-0.7,0.28656233783204116,0.02154571253604215,0.2462721194931934,0.330733596557173,0.28617966852345283,0.28662301463685547,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Absolute,-0.5,0.2893371737242078,0.016048432413362203,0.25871386265295654,0.3201801626977661,0.289011051181875,0.289199405352082,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Absolute,-0.3,0.3502902296168183,0.01275012423145597,0.32689696173299587,0.37540916411096853,0.3509341753968425,0.3507471897933831,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Absolute,-0.1,0.4314164965169291,0.009986783272671154,0.41218915218573304,0.45172535204498876,0.4315929917549346,0.4316286279409745,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Absolute,0.1,0.568583503483071,0.009986783272671154,0.5482746479550112,0.587810847814267,0.5684070082450654,0.5683713720590254,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Absolute,0.3,0.6497097703831816,0.012750124231455969,0.6245908358890316,0.673103038267004,0.6490658246031575,0.6492528102066168,1,0,0,1000
D+ vs. D+,Generic,Policy Rank,Absolute,0.5,0.7106628262757921,0.016048432413362207,0.6798198373022338,0.7412861373470435,0.7109889488181251,0.710800594647918,1,0,0,1000
