Type,Measure,Transformation,value,Stat,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim,estimate_reg,std.error,statistic,p.value,conf.low,conf.high,df,outcome
D+ vs. D+,Party/Policy Bundle,Absolute,-0.9,Mean,0.12729415459166502,0.02452408765300437,0.08169372756930943,0.1741859208836309,0.12596941116236646,0.12686717193073338,1,0,0,1000,0.12729415459166504,0.024955695156464074,5.10080579978126,3.3254772755604372e-6,0.077426030303642,0.1771622788796881,63.11985126166814,c_win
D+ vs. D+,Party/Policy Bundle,Absolute,-0.7,Mean,0.17172598883136775,0.024336949216523667,0.12649289277263576,0.2221549152425225,0.1728256313984399,0.17292811624262505,1,0,0,1000,0.17172598883136778,0.023997309696344546,7.156051699308877,6.559408908529291e-11,0.12422492012086568,0.21922705754186989,123.03505301888934,c_win
D+ vs. D+,Party/Policy Bundle,Absolute,-0.5,Mean,0.20079532542189843,0.01815018220693352,0.1694359098750761,0.23913036661037507,0.20173108217986696,0.20192637616117723,1,0,0,1000,0.20079532542189857,0.01774222615439083,11.317369290335977,1.337894595090452e-23,0.1658244014905785,0.23576624935321863,215.057339942351,c_win
D+ vs. D+,Party/Policy Bundle,Absolute,-0.3,Mean,0.30599313516669213,0.017058303826082196,0.2752484208887634,0.3401870728626779,0.30573083355264363,0.3060471431850727,1,0,0,1000,0.30599313516669224,0.017177288487915863,17.813820579537737,5.3339080940794797e-48,0.2721803140812142,0.3398059562521703,280.37999740441114,c_win
D+ vs. D+,Party/Policy Bundle,Absolute,-0.1,Mean,0.46622129194054285,0.010321608188885063,0.447359612656904,0.48701116671485706,0.46570006245812257,0.4662198407059305,1,0,0,1000,0.4662212919405464,0.010495606506042027,44.42061463262326,2.831616362787476e-186,0.4456060226377155,0.4868365612433773,563.7567020750915,c_win
D+ vs. D+,Party/Policy Bundle,Absolute,0.1,Mean,0.533778708059457,0.010321608188885063,0.512988833285143,0.552640387343096,0.5342999375418773,0.5337801592940695,1,0,0,1000,0.5337787080594638,0.010495606506042022,50.85734757226108,8.614617969538666e-213,0.513163438756633,0.5543939773622947,563.7567020750915,c_win
D+ vs. D+,Party/Policy Bundle,Absolute,0.3,Mean,0.6940068648333078,0.0170583038260822,0.659812927137322,0.7247515791112367,0.6942691664473564,0.6939528568149274,1,0,0,1000,0.694006864833309,0.017177288487915863,40.40258538601942,6.395324372288503e-119,0.6601940437478309,0.7278196859187871,280.37999740441114,c_win
D+ vs. D+,Party/Policy Bundle,Absolute,0.5,Mean,0.7992046745781015,0.01815018220693352,0.760869633389625,0.8305640901249239,0.7982689178201331,0.7980736238388227,1,0,0,1000,0.7992046745781022,0.017742226154390826,45.0453436690252,1.7351181279585065e-111,0.7642337506467821,0.8341755985094222,215.057339942351,c_win
D+ vs. D+,Party/Policy Bundle,Absolute,0.7,Mean,0.8282740111686322,0.024336949216523667,0.7778450847574774,0.8735071072273642,0.8271743686015602,0.827071883757375,1,0,0,1000,0.828274011168632,0.023997309696344542,34.515286157047896,3.937745241630409e-65,0.7807729424581299,0.875775079879134,123.03505301888934,c_win
D+ vs. D+,Party/Policy Bundle,Absolute,0.9,Mean,0.872705845408335,0.024524087653004366,0.8258140791163691,0.9183062724306906,0.8740305888376336,0.8731328280692666,1,0,0,1000,0.8727058454083348,0.024955695156464074,34.97020779973283,4.966334047462249e-43,0.8228377211203118,0.9225739696963579,63.11985126166814,c_win
D+ vs. D+,Party/Policy Bundle,Squared,-0.9,Mean,0.12445364800453469,0.02112761166806273,0.0829637184181113,0.1653397532989657,0.12448160091954233,0.12432724206708283,1,0,0,1000,0.12445364800453462,0.021300504504867663,5.842755882899114,8.863547129693361e-8,0.08211242253472395,0.1667948734743453,86.3970613417497,c_win
D+ vs. D+,Party/Policy Bundle,Squared,-0.7,Mean,0.18964757538314603,0.02205169306239806,0.14773087893506506,0.23447967858027569,0.19145761152867563,0.19144416237501072,1,0,0,1000,0.18964757538314594,0.02233573906348471,8.490767860607253,5.658984335054152e-14,0.1454341475248484,0.2338610032414435,122.66433908264561,c_win
D+ vs. D+,Party/Policy Bundle,Squared,-0.5,Mean,0.2482761005803827,0.023010912896474733,0.20663493452739326,0.295012502937821,0.24798948642913712,0.2486633002241474,1,0,0,1000,0.24827610058038288,0.02318001686662432,10.710781705161851,1.9459191584025535e-20,0.20249095787416513,0.2940612432866006,156.90090573700093,c_win
D+ vs. D+,Party/Policy Bundle,Squared,-0.3,Mean,0.31117691773019324,0.018002442324208903,0.27636264794311066,0.34610823328231083,0.31084960544903745,0.3110222522052412,1,0,0,1000,0.31117691773019307,0.0186580557644021,16.67788550208381,1.004869795888027e-42,0.27443335701062127,0.34792047844976487,254.92100892421672,c_win
