Party7,Type,c_party,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
"Strong
Dem",D+ vs. D+,D,0.3353378709266271,0.01971200178704972,0.29753668749470263,0.3742858989749971,0.33514354019337644,0.3358517041729908,1,0,0,1000
"Strong
Dem",D+ vs. D+,R,0.3353378709266271,0.01971200178704972,0.29753668749470263,0.3742858989749971,0.33514354019337644,0.3358517041729908,1,0,0,1000
"Strong
Dem",D- vs. D+,D,0.4040242325401297,0.023370438630746535,0.35823880287401094,0.4508031976875719,0.4033333710023904,0.40387690880226385,1,0,0,1000
"Strong
Dem",D- vs. D+,R,0.23246223273250843,0.0195684657313521,0.19510222298434113,0.2717657463157443,0.23188233139189224,0.23261837909753033,1,0,0,1000
"Strong
Dem",D+ vs. D-,D,0.23246223273250843,0.0195684657313521,0.19510222298434113,0.2717657463157443,0.23188233139189224,0.23261837909753033,1,0,0,1000
"Strong
Dem",D+ vs. D-,R,0.4040242325401297,0.023370438630746535,0.35823880287401094,0.4508031976875719,0.4033333710023904,0.40387690880226385,1,0,0,1000
"Strong
Dem",D+ vs. V-,D,0.2869662316947078,0.03938081660321999,0.2100427710302299,0.36455436911636296,0.2850335524795308,0.28661940558168936,1,0,0,1000
"Strong
Dem",D+ vs. V-,R,0.4951746437162413,0.038074204117549075,0.4186113491803249,0.5684944089549071,0.49409921677370067,0.49433627854108697,1,0,0,1000
"Strong
Dem",V- vs. D+,D,0.4951746437162413,0.038074204117549075,0.4186113491803249,0.5684944089549071,0.49409921677370067,0.49433627854108697,1,0,0,1000
"Strong
Dem",V- vs. D+,R,0.2869662316947078,0.03938081660321999,0.2100427710302299,0.36455436911636296,0.2850335524795308,0.28661940558168936,1,0,0,1000
Dem,D+ vs. D+,D,0.44479776707806384,0.027491124460494516,0.39017123558051076,0.4971464028181061,0.4433701873008332,0.44354152680429154,1,0,0,1000
Dem,D+ vs. D+,R,0.44479776707806384,0.027491124460494516,0.39017123558051076,0.4971464028181061,0.4433701873008332,0.44354152680429154,1,0,0,1000
Dem,D- vs. D+,D,0.4871145608630263,0.03065696966641036,0.42729852603624235,0.5436994963378864,0.48759562191440475,0.4869296059459492,1,0,0,1000
