pid_relative,term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
"Strong
opposite",(Intercept),0.31481186892236995,0.020300741092142735,0.2767546593389041,0.3551794242241929,0.31513906348074505,0.3151751246750736,1,0,0,1000
"Strong
opposite",TypeD- vs. D+,-0.1154884897910228,0.022582348401088338,-0.16011274727945535,-0.07364087898253976,-0.1160582462748858,-0.11581036079491781,0,1,0,1000
"Weak
opposite",(Intercept),0.4225074056953098,0.02607814952231365,0.36833964093131527,0.4706449474779139,0.42305270649506516,0.422053708071793,1,0,0,1000
"Weak
opposite",TypeD- vs. D+,-0.1205596499642037,0.03143686317719204,-0.1807122993286484,-0.0573252723003191,-0.11986839726574128,-0.12036377981693293,0,1,0,1000
"Lean
opposite",(Intercept),0.42610789775277635,0.03275000758029025,0.36178282536911116,0.4948714926508772,0.42674637585565023,0.4266732647202469,1,0,0,1000
"Lean
opposite",TypeD- vs. D+,-0.15740502878170093,0.04143622663472881,-0.24138255196972488,-0.08037957333205378,-0.1573111494227465,-0.15773829171348966,0,1,0,1000
Independent,(Intercept),0.4999999999999937,0.024943323681064607,0.454601579412588,0.5496765086418858,0.4983474543724202,0.49889539321901466,1,0,0,1000
Independent,TypeD- vs. D+,-0.10473573580722699,0.031632891677934497,-0.16922656723352145,-0.04098800472404204,-0.1023282817437662,-0.10312101991577692,0,1,0,1000
"Lean
same",(Intercept),0.573892102247226,0.03211794497562499,0.5123239393738873,0.6329447667726208,0.5750384223281723,0.5739113353308711,1,0,0,1000
"Lean
same",TypeD- vs. D+,-0.115413262608601,0.039098629742853275,-0.1950091271344867,-0.0383589077049684,-0.11671693050894769,-0.11593714722912575,0.001,0.999,0,1000
"Weak
same",(Intercept),0.5774925943046854,0.025571310144051403,0.5277099192198675,0.6299906368277023,0.5776192438711574,0.5777788960579614,1,0,0,1000
"Weak
same",TypeD- vs. D+,-0.0880910892010424,0.03173969485922484,-0.14899313257569213,-0.026263822949944865,-0.08887212255513514,-0.08787372330119542,0.003,0.997,0,1000
"Strong
same",(Intercept),0.6851881310776251,0.01989468518147353,0.6448064545805555,0.7234146221406231,0.6850226862888906,0.6848646476707372,1,0,0,1000
"Strong
same",TypeD- vs. D+,-0.0661179259486474,0.022742852373922304,-0.11168018531660054,-0.020101214272219912,-0.0643587047063384,-0.06500794523748772,0,1,0,1000
