Party7,Type,c_Party,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
"Strong
Dem",D- vs. D+,Democrat,0.4379751105422563,0.022175642105895607,0.3940012460340156,0.4791374246264291,0.4392918643263981,0.4385321340856982,1,0,0,1000
"Strong
Dem",D- vs. D+,Republican,0.34490853026059026,0.02268695201308511,0.3018113772638416,0.3881981608798773,0.3438103886204931,0.34462173871693946,1,0,0,1000
Dem,D- vs. D+,Democrat,0.4065989121529227,0.028028802625704924,0.35087271766586775,0.46084629071328265,0.4067378514946975,0.40656748899357137,1,0,0,1000
Dem,D- vs. D+,Republican,0.32302646709726296,0.02641460943241873,0.27575127925444365,0.37762285517081934,0.3234273452484614,0.32445949269195945,1,0,0,1000
"Lean
Dem",D- vs. D+,Democrat,0.4253951778681161,0.04144186018039186,0.34283888058311907,0.501873385512246,0.4247433902979797,0.4245267669632856,1,0,0,1000
"Lean
Dem",D- vs. D+,Republican,0.2980946684191902,0.03344643874687635,0.2344033666766162,0.3661209863526979,0.2971149503285707,0.29786209379954526,1,0,0,1000
Indep,D- vs. D+,Democrat,0.36347646368431163,0.029140073556767943,0.3051933642923658,0.41608319225380197,0.3639505528927239,0.36295275887983286,1,0,0,1000
Indep,D- vs. D+,Republican,0.33104522645992035,0.02913827344550038,0.2767760096415332,0.39224463801339765,0.33037233343420014,0.3309179392293461,1,0,0,1000
"Lean
Rep",D- vs. D+,Democrat,0.3247386693344295,0.038262578531134454,0.25294266973156715,0.4066352294514443,0.32489959080437625,0.32516712652749274,1,0,0,1000
"Lean
Rep",D- vs. D+,Republican,0.39848919517171333,0.037614904877639535,0.3246166142022424,0.4767945926943012,0.3986588781870065,0.3992926843600472,1,0,0,1000
Rep,D- vs. D+,Democrat,0.32245798967890704,0.025432319963059554,0.2744277911747376,0.372560640805129,0.32150999307343403,0.3225860890644687,1,0,0,1000
Rep,D- vs. D+,Republican,0.391532821371314,0.028004587116617276,0.3364914044706291,0.44622291189518054,0.39081742132141417,0.3910911895986005,1,0,0,1000
"Strong
Rep",D- vs. D+,Democrat,0.3146454567075745,0.0245867234925818,0.26812486681106673,0.3656789454761512,0.31271530872029796,0.31349944477028835,1,0,0,1000
"Strong
Rep",D- vs. D+,Republican,0.41122371198737284,0.02382154660486459,0.3648844540777424,0.45825071518119015,0.41086985265974707,0.41111552346067015,1,0,0,1000
