Subset,m_platformDist,term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
All,0,(Intercept),0.49999999999999556,0.016702577683569104,0.46728954540757944,0.5307654846568065,0.49900427439102796,0.4995155928343825,1,0,0,1000
All,0,TypeD- vs. D+,-0.15853246446977903,0.020834921719116297,-0.2010310247946804,-0.11892055673237284,-0.15793569121260734,-0.15816095966547097,0,1,0,1000
All,0.5,(Intercept),0.49999999999998,0.011788188363713056,0.47476039567508294,0.5219255801008461,0.5001158048986344,0.4996824544550599,1,0,0,1000
All,0.5,TypeD- vs. D+,-0.12407417389086493,0.015025058758163729,-0.15174120880335523,-0.09289440260241436,-0.12476601872004428,-0.12394262558508364,0,1,0,1000
All,1,(Intercept),0.4999999999999963,0.013525432038095095,0.4739510218388135,0.5264014335854659,0.4993587823316884,0.49956347285336283,1,0,0,1000
All,1,TypeD- vs. D+,-0.12447991788327122,0.017420282658091254,-0.15771591463308793,-0.09114835391164132,-0.12308353262429539,-0.12331952734287747,0,1,0,1000
All,1.5,(Intercept),0.49999999999998423,0.01761383522766561,0.46789333870221067,0.5358917534985757,0.5000432158718511,0.500399409390051,1,0,0,1000
All,1.5,TypeD- vs. D+,-0.11308308878682642,0.02184713753870098,-0.1569721125714266,-0.06920910323185765,-0.11288396044398735,-0.1134735894467208,0,1,0,1000
All,2,(Intercept),0.5000000000000032,0.024578807429251472,0.4533718524322975,0.5478930293063758,0.5004403858263624,0.500395509823726,1,0,0,1000
All,2,TypeD- vs. D+,-0.035499306687672615,0.030795687345535554,-0.0946638090406431,0.023369776327384965,-0.03519988898861197,-0.03530823070102653,0.136,0.864,0,1000
All,2.5,(Intercept),0.5000000000000001,0.03954967599952944,0.42045638029969407,0.5787666123095491,0.500980989607774,0.5008373431564281,1,0,0,1000
All,2.5,TypeD- vs. D+,-0.02551761817205578,0.048538940276827494,-0.1140295042858568,0.07007019373866552,-0.029168788036609536,-0.02674456654349866,0.3,0.7,0,1000
All,3,(Intercept),0.4999999999999994,0.07923466425418016,0.34280132116003986,0.6534198471894948,0.49611921370773504,0.49696791219085384,1,0,0,1000
All,3,TypeD- vs. D+,-0.002293559994822509,0.0951550698402508,-0.18672214944674353,0.17704310100550344,0.003149860677750193,6.88177780946668e-4,0.516,0.484,0,1000
Distinct platforms,0,(Intercept),0.49999999999998973,0.02024357165721237,0.46252241866060406,0.5383177946330509,0.5001199801236843,0.4996374421898909,1,0,0,1000
Distinct platforms,0,TypeD- vs. D+,-0.12205605464333046,0.02595689345727974,-0.172806104519683,-0.07260431734765539,-0.12291766567892683,-0.12210516514013772,0,1,0,1000
Distinct platforms,0.5,(Intercept),0.5000000000000013,0.01869203660464943,0.46165962714986014,0.5357279942513699,0.4991327015826327,0.49884013687648954,1,0,0,1000
Distinct platforms,0.5,TypeD- vs. D+,-0.08158833672759065,0.023495152658799114,-0.12267694727085544,-0.03308228098548136,-0.0807393419882397,-0.08041193520590705,0,1,0,1000
Distinct platforms,1,(Intercept),0.49999999999999106,0.019679493673292664,0.45941135370491065,0.5360633350907194,0.4997035069951326,0.49931632051608626,1,0,0,1000
Distinct platforms,1,TypeD- vs. D+,-0.09535876998891117,0.02524273427246868,-0.14424169348754537,-0.04433188005775699,-0.09448877007375049,-0.09419265641216552,0,1,0,1000
Distinct platforms,1.5,(Intercept),0.5000000000000016,0.02311255057546199,0.4550361273882765,0.5446238373988791,0.49995716667961865,0.49995289592056946,1,0,0,1000
Distinct platforms,1.5,TypeD- vs. D+,-0.11079556590973785,0.02921148466661879,-0.1657810349165297,-0.05162164319512414,-0.1109364999350679,-0.11042102464869967,0,1,0,1000
Distinct platforms,2,(Intercept),0.5000000000000032,0.024578807429251472,0.4533718524322975,0.5478930293063758,0.5004403858263624,0.500395509823726,1,0,0,1000
Distinct platforms,2,TypeD- vs. D+,-0.035499306687672615,0.030795687345535554,-0.0946638090406431,0.023369776327384965,-0.03519988898861197,-0.03530823070102653,0.136,0.864,0,1000
Distinct platforms,2.5,(Intercept),0.5000000000000001,0.03954967599952944,0.42045638029969407,0.5787666123095491,0.500980989607774,0.5008373431564281,1,0,0,1000
Distinct platforms,2.5,TypeD- vs. D+,-0.02551761817205578,0.048538940276827494,-0.1140295042858568,0.07007019373866552,-0.029168788036609536,-0.02674456654349866,0.3,0.7,0,1000
Distinct platforms,3,(Intercept),0.4999999999999994,0.07923466425418016,0.34280132116003986,0.6534198471894948,0.49611921370773504,0.49696791219085384,1,0,0,1000
Distinct platforms,3,TypeD- vs. D+,-0.002293559994822509,0.0951550698402508,-0.18672214944674353,0.17704310100550344,0.003149860677750193,6.88177780946668e-4,0.516,0.484,0,1000
