term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
(Intercept),0.5000000000000222,0.00620394505622342,0.48762534301529603,0.5119080864183233,0.49953531899365744,0.49982634294774536,1,0,0,1000
diff_sex_Female,0.012019602699942934,0.004917275199192658,0.0023895474392784566,0.022450121503234284,0.012375102366202546,0.01234084439353694,0.993,0.007,0,1000
diff_race_Asian,-0.015323684721952785,0.011454472153044097,-0.03801964097592781,0.00671462991902843,-0.01480237843120728,-0.014955366067282755,0.09,0.91,0,1000
diff_race_Black,-0.003275732529775651,0.00711970338932953,-0.0170424311574456,0.010769807690160166,-0.002708402175342071,-0.00276619999971236,0.353,0.647,0,1000
diff_race_Hispanic,-0.013172478458383874,0.007117667062214781,-0.026805716520922545,-2.1909351674005012e-4,-0.012817020822412286,-0.012899721845404444,0.024,0.976,0,1000
diff_pro_Farmer,0.011057408087444228,0.010536786448999687,-0.008961813564837552,0.03231965660226664,0.010715636741657115,0.011055960238469385,0.862,0.138,0,1000
diff_pro_Lawyer,0.010468480332057986,0.008058854275798407,-0.005060907642088578,0.02657076153185321,0.010447728168854455,0.010347904588049335,0.89,0.11,0,1000
diff_pro_Legislative_staffer,0.014218085790276445,0.010015301666825639,-0.00535762930480142,0.034072922549792196,0.014301919134929416,0.014151566609874027,0.92,0.08,0,1000
diff_pro_Police_officer,0.012266508693861113,0.009874897265206045,-0.006421378945004088,0.0306030373297905,0.011822021168362784,0.011926361315307485,0.891,0.109,0,1000
diff_pro_Served_in_the_army,0.03041702484858764,0.012007472664824884,0.006206493079740782,0.05342997501299248,0.029880153470251053,0.029826219214312676,0.995,0.005,0,1000
diff_pro_Served_in_the_navy,0.014942975824599462,0.013407595668424425,-0.011298839464286562,0.04299797126718396,0.014387895618620108,0.014608082620744969,0.855,0.145,0,1000
diff_pro_Small_business_owner,0.012017623280914332,0.00886198860659135,-0.004995160580210741,0.029266563915927177,0.011770407656223416,0.01180924436915113,0.908,0.092,0,1000
diff_pro_Teacher,0.02543225078181792,0.010571173135974457,0.005867871635911738,0.045213243958246774,0.024635300889590636,0.025146648531774875,0.994,0.006,0,1000
diff_respParty,0.13768293841618673,0.006627824973327321,0.12486104411480287,0.15169326845557585,0.1376943203178127,0.13794872066622493,1,0,0,1000
diff_p1_rate,0.2334953314011456,0.00859192504338386,0.21658773958489846,0.2504076581576458,0.23317777443623,0.2331839801611686,1,0,0,1000
diff_p2_rate,0.26644966071832815,0.008510262912592529,0.2500111090443004,0.2844332764933755,0.2663059286181344,0.2666254196865134,1,0,0,1000
diff_dem_code_g_committee,0.004238372669485132,0.01063362285931315,-0.016125509549827426,0.025308443869161656,0.0037317077588336824,0.0039005308248576003,0.633,0.367,0,1000
diff_dem_code_g_officestructure,-0.0013174396990341664,0.011157465638701096,-0.02370491567684436,0.019869870460842872,-0.0018525236566363647,-0.0018567621408959072,0.432,0.568,0,1000
diff_dem_code_g_procedure,0.0022240595843673687,0.010382698518741061,-0.017235867785110194,0.022262957945498596,0.0016870664201936488,0.0021544630052257397,0.562,0.438,0,1000
diff_dem_code_g_progEval,-0.0018629005897562861,0.010809780372213777,-0.02209028488820152,0.02013314147368298,-9.991450084803168e-4,-0.0015136236093407098,0.456,0.544,0,1000
diff_dem_code_g_record,-0.02000649584419545,0.011353210996255119,-0.042134047633936425,0.002127822540741181,-0.020495124545695787,-0.020272791539659184,0.043,0.957,0,1000
diff_dem_code_g_schedule,-0.010618407261061419,0.01092302667561382,-0.03192158346454324,0.01035847915442692,-0.010986777105041777,-0.010927338842715932,0.158,0.842,0,1000
diff_dem_code_u_banProtest,-0.1021892848493292,0.015358197431502105,-0.13035710385329874,-0.07112426085180006,-0.10217200000881901,-0.10188013296645042,0,1,0,1000
diff_dem_code_u_court,-0.14065651976626653,0.015297698626569987,-0.17177281474271802,-0.1131507157082985,-0.14010374115932606,-0.14067355174823684,0,1,0,1000
diff_dem_code_u_execRule,-0.1045045530768894,0.015435650742417883,-0.13560734987987993,-0.07427239697737065,-0.10466212679229209,-0.1050852396164231,0,1,0,1000
diff_dem_code_u_gerry2,-0.10569346937704771,0.01582099042305969,-0.13830725162297355,-0.07592975290820426,-0.10538305554319194,-0.10576103630673094,0,1,0,1000
diff_dem_code_u_gerry10,-0.12484602907018079,0.016268729909733232,-0.1563970410063048,-0.095343999678422,-0.12418973020436053,-0.12468057753384315,0,1,0,1000
diff_dem_code_u_journalists,-0.16067170717835214,0.01592063426868759,-0.19235048782085395,-0.12919918632369246,-0.16044248468741928,-0.1602610100373972,0,1,0,1000
diff_dem_code_u_limitVote,-0.12825589112913846,0.015986137466090868,-0.16032009570235084,-0.09740230577065916,-0.12705566415860586,-0.12767506175619944,0,1,0,1000
diff_dem_code_v_affair,-0.17046786155750968,0.015295402507192099,-0.20005796375018017,-0.14108784993397652,-0.1702112024467647,-0.17033148678388685,0,1,0,1000
diff_dem_code_v_tax,-0.21132563682991667,0.015182078800686219,-0.24015528198748526,-0.17958154836077808,-0.21006574935666614,-0.21086775510274086,0,1,0,1000
