term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
(Intercept),0.5000000000000258,0.02466605728978206,0.40637788644721723,0.5002766859739204,0.4536222825639765,0.4536206371767215,1,0,0,1000
c_sex_Female,0.012019602699939746,0.006931133110959884,-0.005431157411134867,0.02181451096250646,0.007823137230492102,0.007719814075297589,0.866,0.134,0,1000
c_race_Asian,-0.015323684721950058,0.016343387559262727,-0.028517008171284376,0.03523155855753974,0.004165308597825923,0.003959000771268298,0.602,0.398,0,1000
c_race_Black,-0.0032757325297767294,0.009624125835625674,-0.01631437434358705,0.02255064355769824,0.0031774320109266233,0.00293428842754962,0.64,0.36,0,1000
c_race_Hispanic,-0.013172478458381208,0.009692040462302064,-0.02940310781313742,0.008020538179820812,-0.010637664104413802,-0.011011141372180868,0.122,0.878,0,1000
c_pro_Farmer,0.011057408087446208,0.01487237566181145,-0.021328619746045826,0.03653648321052281,0.007922935575347328,0.00831039051203133,0.719,0.281,0,1000
c_pro_Lawyer,0.010468480332058855,0.011718658260883249,-0.024884273445772976,0.019936708025453626,-0.00175682808584163,-0.0015951177708900478,0.438,0.562,0,1000
c_pro_Legislative_staffer,0.014218085790276221,0.014218325733751572,-0.02239173271289114,0.03580989525650767,0.0065673546224340636,0.006414558107294181,0.693,0.307,0,1000
c_pro_Police_officer,0.012266508693862595,0.01329323096872735,-0.024277735234398072,0.027882949444723085,0.0014956974811186252,0.0010578723307348157,0.55,0.45,0,1000
c_pro_Served_in_the_army,0.030417024848587906,0.017380555609603613,-3.2870294057680253e-4,0.066303124878477,0.0334204395308422,0.0337587406946849,0.974,0.026,0,1000
c_pro_Served_in_the_navy,0.01494297582459857,0.01771217658815097,-0.016837421390329538,0.05107655105453566,0.01580223208052212,0.01611917672103386,0.819,0.181,0,1000
c_pro_Small_business_owner,0.012017623280914238,0.012194580623855951,-0.02406836878799176,0.023706406651770363,6.981335732673369e-4,2.4392543795454636e-4,0.516,0.484,0,1000
c_pro_Teacher,0.025432250781816962,0.014284238490166074,-0.005290002616154021,0.05065730970883147,0.021845145218173337,0.021971939959781916,0.942,0.058,0,1000
c_respParty,0.13768293841618578,0.008403318531057543,0.14303640134043483,0.1757205039702232,0.15934409852821563,0.15936474802931522,1,0,0,1000
c_p1_rate,0.2334953314011486,0.010326807675581362,0.2244572801047182,0.26560992732448935,0.2452992264848494,0.24542641421207473,1,0,0,1000
c_p2_rate,0.26644966071833176,0.01062642449170864,0.26287816206032133,0.30301674724238337,0.28190826741591335,0.2827070650754565,1,0,0,1000
c_dem_code_g_committee,0.004238372669484009,0.02348764990260915,-0.02463940385148718,0.06761994865969236,0.023216497369383395,0.02236388900812003,0.821,0.179,0,1000
c_dem_code_g_officestructure,-0.0013174396990381395,0.023719312460303,-0.050051455261671436,0.04380209020768946,-4.20124646496711e-4,-0.0013299009169120038,0.487,0.513,0,1000
c_dem_code_g_procedure,0.002224059584365774,0.023463806324885372,-0.019957534623339407,0.07185889486717352,0.02902915903183166,0.028257064664728108,0.889,0.111,0,1000
c_dem_code_g_progEval,-0.0018629005897589208,0.023468020481850708,-0.029858419244828054,0.06385725642966014,0.016962258178967432,0.016997494874334457,0.767,0.233,0,1000
c_dem_code_g_record,-0.020006495844196108,0.024475122777287726,-0.059065554168766056,0.036636846447949956,-0.009564689751199142,-0.010262171760875644,0.337,0.663,0,1000
c_dem_code_g_schedule,-0.010618407261062772,0.023002062698169727,-0.06552112127466217,0.021868999077249866,-0.020359542691550374,-0.020696081043990705,0.188,0.812,0,1000
c_dem_code_u_banProtest,-0.10218928484933108,0.02036721981622532,-0.13407810910232923,-0.05502722763070579,-0.0937546704205702,-0.09399489100739258,0,1,0,1000
c_dem_code_u_court,-0.14065651976626764,0.02071818848057563,-0.17206758049818463,-0.09111526573824887,-0.13194519323289247,-0.13242395852223185,0,1,0,1000
c_dem_code_u_execRule,-0.1045045530768904,0.020632597647538154,-0.13791943813020247,-0.056742854375992975,-0.09596083942086298,-0.0960277645531815,0,1,0,1000
c_dem_code_u_gerry2,-0.10569346937704927,0.02070523439264773,-0.1379615794565979,-0.05757404549287375,-0.09660001664399226,-0.09669490402260536,0,1,0,1000
c_dem_code_u_gerry10,-0.12484602907018184,0.020879658296618774,-0.1578402427147058,-0.07559455519006045,-0.11464277639540421,-0.11500186880395141,0,1,0,1000
c_dem_code_u_journalists,-0.1606717071783574,0.021199497567319574,-0.19445215782440284,-0.10939723710208639,-0.15083918639631272,-0.15086823785040349,0,1,0,1000
c_dem_code_u_limitVote,-0.12825589112913985,0.020946715307279096,-0.16275489348902997,-0.07840931892643563,-0.11808767179952138,-0.11867235669569337,0,1,0,1000
c_dem_code_v_affair,-0.17046786155750945,0.01999264955139952,-0.20067852034807315,-0.11970587482815215,-0.16022175627255825,-0.16110231114211124,0,1,0,1000
c_dem_code_v_tax,-0.21132563682992067,0.020243061085263796,-0.24063911535694274,-0.16126063915358563,-0.20234125119815552,-0.20160842395460637,0,1,0,1000
o_sex_Female,-0.012019602699941146,0.0068403400148241734,-0.03029459646110825,-0.0034901069191043336,-0.016461165167550508,-0.016532636088583495,0.01,0.99,0,1000
o_race_Asian,0.01532368472195204,0.015739185882360056,0.0027855567301082254,0.06545235422894877,0.033304211928032665,0.033556276534550476,0.985,0.015,0,1000
o_race_Black,0.0032757325297756833,0.010214191644473522,-0.010793113881889752,0.02910058038581825,0.009488286096541482,0.00891131937871657,0.814,0.186,0,1000
o_race_Hispanic,0.01317247845838165,0.010052651948535652,-0.0044161935082555675,0.034881026416578975,0.01505723527799426,0.01487240909691433,0.929,0.071,0,1000
o_pro_Farmer,-0.011057408087445198,0.014308655544056102,-0.04352101660115615,0.01361200730738868,-0.014580418081835786,-0.014727321944932996,0.152,0.848,0,1000
o_pro_Lawyer,-0.010468480332058838,0.01118692304629095,-0.04342582609013032,-0.0010914844924503528,-0.02278268827678915,-0.022670656155166356,0.02,0.98,0,1000
o_pro_Legislative_staffer,-0.014218085790276886,0.013925724286371375,-0.05153694121567362,0.004577649841705357,-0.022914491336363085,-0.022797875771862406,0.046,0.954,0,1000
o_pro_Police_officer,-0.012266508693862142,0.014290038828778183,-0.052393687911440744,0.0042454549874177214,-0.02260432976213949,-0.02302618050626918,0.048,0.952,0,1000
o_pro_Served_in_the_army,-0.030417024848587475,0.017991663070601377,-0.06266434607376892,0.007492400428279032,-0.02764701053968024,-0.027608432029626803,0.062,0.938,0,1000
o_pro_Served_in_the_navy,-0.014942975824600007,0.01847200146893255,-0.053695465209563184,0.018113492084912326,-0.017092459383336558,-0.01692920592453569,0.192,0.808,0,1000
o_pro_Small_business_owner,-0.012017623280915416,0.01254156355953469,-0.04977386398064829,-3.77716356798311e-4,-0.024665835223198797,-0.024593524182120758,0.025,0.975,0,1000
o_pro_Teacher,-0.025432250781818648,0.01488005367425226,-0.05731992154546127,3.63092447252295e-4,-0.027994460231568895,-0.028232295371120614,0.029,0.971,0,1000
o_respParty,-0.1376829384161896,0.008130559593819888,-0.13341093048831326,-0.10201292321641407,-0.11621233797089389,-0.11642796986410289,0,1,0,1000
o_p1_rate,-0.23349533140114595,0.010551721992400329,-0.2406179977422778,-0.19999268285179336,-0.22013149425374634,-0.2204174752373983,0,1,0,1000
o_p2_rate,-0.2664496607183338,0.01042942691291581,-0.2719612007558303,-0.230829052525414,-0.251297549191755,-0.25134765331820486,0,1,0,1000
o_dem_code_g_committee,-0.004238372669485907,0.012621506336433911,-0.022026070913478777,0.027479959073211185,0.002162045869179309,0.002210093777147273,0.567,0.433,0,1000
o_dem_code_g_officestructure,0.0013174396990353584,0.012899069609494726,-0.021713339092797834,0.02834131240440627,0.0024362011041387842,0.002586921286634737,0.574,0.426,0,1000
o_dem_code_g_procedure,-0.002224059584366659,0.012187733287136284,-0.016583557603018002,0.030582092799198678,0.006921872869712338,0.007129580432821923,0.716,0.284,0,1000
o_dem_code_g_progEval,0.0018629005897568389,0.013084728881906907,-0.017910654901165352,0.03231815670845009,0.007494825315920073,0.00791617289558094,0.72,0.28,0,1000
o_dem_code_g_record,0.020006495844195244,0.013224993496082707,-0.0019477196824251267,0.048597518951117795,0.02344887680941439,0.023535418025954873,0.959,0.041,0,1000
o_dem_code_g_schedule,0.010618407261061663,0.01309887525447717,-0.016876479406954633,0.03403449299870194,0.008666637013794559,0.00870877058250059,0.75,0.25,0,1000
o_dem_code_u_banProtest,0.10218928484932835,NA,NA,NA,NA,NaN,NaN,NaN,1000,1000
o_dem_code_u_court,0.14065651976626706,NA,NA,NA,NA,NaN,NaN,NaN,1000,1000
o_dem_code_u_execRule,0.1045045530768903,NA,NA,NA,NA,NaN,NaN,NaN,1000,1000
o_dem_code_u_gerry2,0.10569346937704878,NA,NA,NA,NA,NaN,NaN,NaN,1000,1000
o_dem_code_u_gerry10,0.1248460290701828,NA,NA,NA,NA,NaN,NaN,NaN,1000,1000
o_dem_code_u_journalists,0.16067170717835386,NA,NA,NA,NA,NaN,NaN,NaN,1000,1000
o_dem_code_u_limitVote,0.12825589112914004,NA,NA,NA,NA,NaN,NaN,NaN,1000,1000
o_dem_code_v_affair,0.17046786155750984,NA,NA,NA,NA,NaN,NaN,NaN,1000,1000
o_dem_code_v_tax,0.21132563682991817,NA,NA,NA,NA,NaN,NaN,NaN,1000,1000
