model,c_dem_code,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
Democrat,u_banProtest,0.43488868663558633,0.019169294468004174,0.3974587061357521,0.47190151959291515,0.4351254432807691,0.4348135117508956,1,0,0,1000
Democrat,u_court,0.3507713256875247,0.02003085615039587,0.31009345807383837,0.38985201648720164,0.35121540406009977,0.3508447234406778,1,0,0,1000
Democrat,u_execRule,0.4285230989479047,0.01968567950135504,0.38949811595577805,0.4657712868593846,0.42806708658344816,0.42757204070199184,1,0,0,1000
Democrat,u_gerry10,0.40838504059086267,0.019809606117262082,0.36584446971265494,0.4445416776750301,0.4089015239649545,0.4081656114114738,1,0,0,1000
Democrat,u_gerry2,0.41085939247945746,0.019803052170312918,0.37285496618280917,0.45097204137359137,0.4103095670017653,0.41038003027843284,1,0,0,1000
Democrat,u_journalists,0.3333264010824785,0.01996444798359339,0.29020554992593456,0.3724812149334666,0.3324815023329547,0.33248936826896575,1,0,0,1000
Democrat,u_limitVote,0.3792825839938065,0.020476158877730605,0.337874174551958,0.4177904089775775,0.38037477744088644,0.3800646088549988,1,0,0,1000
Democrat,v_affair,0.33151881878888156,0.020183050127628915,0.29377086701329996,0.37251104155110876,0.33093280998003416,0.33145642126209995,1,0,0,1000
Democrat,v_tax,0.282402326045559,0.01918450768397011,0.2466418782761966,0.319725136857978,0.28292283389513756,0.2832229860861423,1,0,0,1000
Overall,u_banProtest,0.3968323248456722,0.013308908208404364,0.3702730779119024,0.42363609724957996,0.3971679649903964,0.39701613597838575,1,0,0,1000
Overall,u_court,0.3649895182471123,0.013115785091055689,0.33926508059225663,0.38920443912035363,0.36495827396898195,0.36476601709247647,1,0,0,1000
Overall,u_execRule,0.40338526269769137,0.013011227266607925,0.3770361232925804,0.4275328958200423,0.40235245940207287,0.40284129578373384,1,0,0,1000
Overall,u_gerry10,0.3820229657014375,0.013371377455397258,0.3565293859190753,0.4083001541211281,0.38228410605599833,0.3823551079874809,1,0,0,1000
Overall,u_gerry2,0.40659413762619023,0.013516874794587639,0.3809470003866164,0.4331152414995807,0.40608777614002806,0.40643315966838534,1,0,0,1000
Overall,u_journalists,0.34550295939478864,0.013924765441121683,0.31923830834975375,0.3727427075691778,0.3458873112481696,0.34579956801562617,1,0,0,1000
Overall,u_limitVote,0.37871492979202953,0.013854643001577061,0.35148596320885156,0.4068709479048302,0.37967509564390584,0.37961923680676807,1,0,0,1000
Overall,v_affair,0.3364058325743054,0.013057678715289187,0.31190431411832686,0.36303726105901685,0.33617460473481897,0.33647136902747343,1,0,0,1000
Overall,v_tax,0.28812181991795344,0.012648589539339448,0.2632312650499083,0.3137930526694366,0.28828465149141735,0.2882789754982936,1,0,0,1000
Republican,u_banProtest,0.3580742304888264,0.020696841804602933,0.31734071379541423,0.398776632165635,0.35868591950185946,0.35802100053995856,1,0,0,1000
Republican,u_court,0.38109790775011,0.020124670423485605,0.34253077820854216,0.420770484550361,0.38032732593159285,0.38096962592672207,1,0,0,1000
Republican,u_execRule,0.397654424604241,0.020909687940386532,0.35562377125631334,0.4340784167683077,0.39802641467312716,0.39739342983835274,1,0,0,1000
Republican,u_gerry10,0.3576186097150704,0.02128548234655181,0.31848151569922867,0.39982825817607315,0.3578273281335081,0.3583702992248902,1,0,0,1000
Republican,u_gerry2,0.3934160795656391,0.02078219934274427,0.35458437408150956,0.433360857730213,0.39372122054021885,0.3935507041445256,1,0,0,1000
Republican,u_journalists,0.35871195487378077,0.020920305742500405,0.31966830605740515,0.40175868884212595,0.3604806585464243,0.3605315937241437,1,0,0,1000
Republican,u_limitVote,0.3781040040033384,0.020769405663904318,0.3368682035356906,0.41945798407397517,0.3799551272273026,0.3793005661614154,1,0,0,1000
Republican,v_affair,0.3362152647416818,0.01970974619285152,0.2989229557917711,0.3737223441995261,0.33583105791461154,0.33626658328877873,1,0,0,1000
Republican,v_tax,0.2798836237866772,0.018735515688965323,0.24274719347531573,0.31527286913969654,0.27936855780901726,0.27965111622395056,1,0,0,1000
