Type,absdiff_pRateSq_bin,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
D+ vs. D+,0.1,0,0,0,0,0,0,0,0,0,5000
D+ vs. D+,0.3,0,0,0,0,0,0,0,0,0,5000
D+ vs. D+,0.5,0,0,0,0,0,0,0,0,0,5000
D+ vs. D+,0.7,0,0,0,0,0,0,0,0,0,5000
D+ vs. D+,0.9,0,0,0,0,0,0,0,0,0,5000
D- vs. D+,0.1,-0.12868401911897356,0.011195177564519878,-0.1506026352499025,-0.10698673706847985,-0.12848690153591164,-0.12857430908151463,0,1,0,5000
D- vs. D+,0.3,-0.12866804805954435,0.017438779797415163,-0.16330590673760928,-0.09509231536042653,-0.12901254850222016,-0.1288959620332615,0,1,0,5000
D- vs. D+,0.5,-0.09710684599811899,0.0182873811754706,-0.1321489361159461,-0.060516750810751106,-0.09715889189875387,-0.09722395074509403,0,1,0,5000
D- vs. D+,0.7,-0.0763472401962301,0.036322364463026585,-0.1465142857849995,-0.0031816147655479065,-0.07540441953794996,-0.07556949582968102,0.0212,0.9788,0,5000
D- vs. D+,0.9,-0.030255097496399957,0.04157289933865249,-0.11073626185580353,0.055240409077871616,-0.030597352257654996,-0.03003875228352407,0.2306,0.7694,0,5000
D+ vs. D-,0.1,0.12868401911897345,NA,NA,NA,NA,NaN,NaN,NaN,5000,5000
D+ vs. D-,0.3,0.12866804805954435,NA,NA,NA,NA,NaN,NaN,NaN,5000,5000
D+ vs. D-,0.5,0.09710684599811904,NA,NA,NA,NA,NaN,NaN,NaN,5000,5000
D+ vs. D-,0.7,0.07634724019623015,NA,NA,NA,NA,NaN,NaN,NaN,5000,5000
D+ vs. D-,0.9,0.03025509749640004,NA,NA,NA,NA,NaN,NaN,NaN,5000,5000
D+ vs. D+,-4,0,0,0,0,0,0,0,0,0,5000
D- vs. D+,-4,0.0984289216225736,0.04322170291974651,0.013519293554466634,0.18610498629439554,0.09782730451942712,0.09853555679799056,0.9898,0.0102,0,5000
D+ vs. D-,-4,-0.09842892162257341,NA,NA,NA,NA,NaN,NaN,NaN,5000,5000
