variable,value,term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
auth_total,0,(Intercept),0.49999999999998773,0.018625148456608228,0.4636464910716877,0.535395840402056,0.5001986259591331,0.5004167083986795,1,0,0,1000
auth_total,0,diff_dem_type_u,-0.18180647212199183,0.024569420575318583,-0.23054678542373871,-0.13490496667946406,-0.18229008922625245,-0.18182511031571297,0,1,0,1000
auth_total,0,diff_dem_type_v,-0.21494120572817937,0.03293098194374882,-0.27915057648807723,-0.15142685749313792,-0.2153481485081183,-0.21672889437739445,0,1,0,1000
auth_total,1,(Intercept),0.4999999999999894,0.01689316010310616,0.467994205409419,0.5316238670516533,0.49961486323730764,0.4995679888010028,1,0,0,1000
auth_total,1,diff_dem_type_u,-0.1283236348455027,0.02310894885076219,-0.17119248676602772,-0.08525316190122574,-0.12778305842232335,-0.1277589566742522,0,1,0,1000
auth_total,1,diff_dem_type_v,-0.22126867381658874,0.027500405562770933,-0.27772023942294566,-0.16614825927386442,-0.2186213614322278,-0.21966056021811145,0,1,0,1000
auth_total,2,(Intercept),0.4999999999999903,0.014407923981242497,0.4723092094420914,0.527347732290903,0.5002102134616211,0.4998804429776657,1,0,0,1000
auth_total,2,diff_dem_type_u,-0.1160076291574659,0.01769459857307618,-0.15167062482256813,-0.08105908926699922,-0.11543082272120186,-0.11543893168365851,0,1,0,1000
auth_total,2,diff_dem_type_v,-0.18018951331868627,0.02370900450576236,-0.2262182669863928,-0.1330172496710978,-0.18057470796310093,-0.18056693324461284,0,1,0,1000
auth_total,3,(Intercept),0.5000000000000135,0.013050911617567478,0.4759604028507551,0.5249740067426661,0.49955275211556316,0.4999523145531564,1,0,0,1000
auth_total,3,diff_dem_type_u,-0.10925723167602229,0.01748076188331962,-0.14389473330055425,-0.07495198587492144,-0.10914811016108156,-0.10919889852702887,0,1,0,1000
auth_total,3,diff_dem_type_v,-0.20523345415466854,0.021796116804319185,-0.24504985968584028,-0.16264521181204886,-0.20419139711514295,-0.20475982124687184,0,1,0,1000
auth_total,4,(Intercept),0.4999999999999874,0.014356869054580793,0.4722062271165334,0.5258814908691967,0.4995296135441852,0.49932431345256856,1,0,0,1000
auth_total,4,diff_dem_type_u,-0.08590384073285992,0.017944131351966566,-0.12007972385679838,-0.050693281735910804,-0.08494909640503256,-0.08538407857897322,0,1,0,1000
auth_total,4,diff_dem_type_v,-0.1393606249782458,0.023951254086885185,-0.18582621016766257,-0.09331494091442158,-0.1376889842996859,-0.13801541642442414,0,1,0,1000
dem_better,Agree,(Intercept),0.5000000000000119,0.010643633581669759,0.4798103248862017,0.5210623923289444,0.5000384518034946,0.4999238641995097,1,0,0,1000
dem_better,Agree,diff_dem_type_u,-0.11706566198495087,0.013569852412149296,-0.14259729398111498,-0.0891556931931632,-0.1166264917545746,-0.11673936815329237,0,1,0,1000
dem_better,Agree,diff_dem_type_v,-0.18661987242641118,0.018469182467571326,-0.22278343627274705,-0.15103772375181723,-0.1873855833377897,-0.1871852357566263,0,1,0,1000
dem_better,Disagree,(Intercept),0.4999999999999974,0.021128664065329077,0.461312697790027,0.542577151306561,0.49918736320353185,0.4994739840155738,1,0,0,1000
dem_better,Disagree,diff_dem_type_u,-0.07884020726296877,0.026317611011265986,-0.13189450797315447,-0.028134939301012858,-0.0773944835345976,-0.07804339490544399,0.001,0.999,0,1000
dem_better,Disagree,diff_dem_type_v,-0.1703217949509923,0.035832310962244915,-0.24093388933867277,-0.09984996097843922,-0.16962934290477077,-0.16857388909940957,0,1,0,1000
dem_better,Strongly agree,(Intercept),0.500000000000028,0.010228394554854983,0.4792108666199115,0.5190494978101864,0.49971198618083423,0.49961503112485617,1,0,0,1000
dem_better,Strongly agree,diff_dem_type_u,-0.1343690664298205,0.013351527883274672,-0.1586921849863561,-0.10752551463844155,-0.1345203402501665,-0.1341315453655451,0,1,0,1000
dem_better,Strongly agree,diff_dem_type_v,-0.19648063987174866,0.016954765660143357,-0.22758869491806466,-0.16138480695030694,-0.19594918351645282,-0.19547817094747,0,1,0,1000
dem_better,Strongly disagree,(Intercept),0.5000000000000051,0.033171235846474266,0.4348222837735633,0.5621926751205598,0.5020361809899931,0.5007412626374544,1,0,0,1000
dem_better,Strongly disagree,diff_dem_type_u,-0.04192667199439432,0.04197670024384368,-0.12353090362584652,0.03920703098768903,-0.044030943254858186,-0.04176690968238856,0.168,0.832,0,1000
dem_better,Strongly disagree,diff_dem_type_v,-0.1508406234900844,0.057941472862410116,-0.2594519105896596,-0.041601076500026375,-0.15009733633847472,-0.15103178499162206,0.007,0.993,0,1000
voteduty,-1,(Intercept),0.5000000000000024,0.042578805721340256,0.42104557507337254,0.5795157969407941,0.5034642084845306,0.5019410872765825,1,0,0,1000
voteduty,-1,diff_dem_type_u,-0.1305868989451155,0.05819223133245402,-0.2423707472083524,-0.018476368129339494,-0.13685278990434913,-0.13408158496161282,0.01,0.99,0,1000
voteduty,-1,diff_dem_type_v,-0.0932747614488218,0.06784870554951758,-0.22349401477565448,0.041513167267527795,-0.09878791607037965,-0.09627845535884169,0.077,0.923,0,1000
voteduty,-2,(Intercept),0.4999999999999824,0.015857459176767463,0.4716285473201367,0.5318160469178193,0.5009016974656744,0.5007116958018616,1,0,0,1000
voteduty,-2,diff_dem_type_u,-0.10324641599903031,0.02016366858543161,-0.14574509721861512,-0.06651055411238721,-0.10402357644206042,-0.10380771075918617,0,1,0,1000
voteduty,-2,diff_dem_type_v,-0.18469175739640087,0.026643356806311136,-0.23921947989710726,-0.13336905240549843,-0.18477414537665535,-0.18549984646687145,0,1,0,1000
voteduty,-3,(Intercept),0.49999999999999295,0.014526160490626166,0.4698141104151738,0.52725417194157,0.49952368701453476,0.4992104369053762,1,0,0,1000
voteduty,-3,diff_dem_type_u,-0.09927739496233398,0.017903147851267998,-0.13348106681681068,-0.06321714393071363,-0.09835838742419825,-0.0985377096189114,0,1,0,1000
voteduty,-3,diff_dem_type_v,-0.15959579208440391,0.024946486546446472,-0.20654386418313145,-0.10671954487953579,-0.15830996551941026,-0.1586073663338835,0,1,0,1000
voteduty,0,(Intercept),0.4999999999999889,0.0197852691579866,0.4605184620625221,0.5377293754643679,0.4997971873063539,0.4997433808761361,1,0,0,1000
voteduty,0,diff_dem_type_u,-0.08937112624369688,0.02481661807528198,-0.13558903657088162,-0.039827172924534596,-0.08957425586859329,-0.089126453225121,0,1,0,1000
voteduty,0,diff_dem_type_v,-0.14511996062965957,0.033300602424438074,-0.2073209789729312,-0.08132599829776822,-0.14342699527688302,-0.14326452536917542,0,1,0,1000
voteduty,1,(Intercept),0.4999999999999991,0.09145893151042979,0.3302053991926607,0.6854555024641917,0.4991046460164622,0.5014712520260701,1,0,0,1000
voteduty,1,diff_dem_type_u,-0.19647587903657493,0.11299122572198979,-0.4229915578626211,0.029107029902570775,-0.18677058133217075,-0.18995895536730564,0.045,0.955,0,1000
voteduty,1,diff_dem_type_v,-0.25335597982180735,0.1438896795991967,-0.52489829009479,0.03220045601083372,-0.2506598935137213,-0.24880795876027495,0.049,0.951,0,1000
voteduty,2,(Intercept),0.4999999999999886,0.02082611759861049,0.45756491681315037,0.5383209759809204,0.5005137326789229,0.49934198004728886,1,0,0,1000
voteduty,2,diff_dem_type_u,-0.1405120722378211,0.027276542435871742,-0.19201184050007467,-0.08652812593318733,-0.14054107900189666,-0.13969612299840123,0,1,0,1000
voteduty,2,diff_dem_type_v,-0.2627661215541557,0.03170505178793365,-0.32472119801514504,-0.19968313767965554,-0.26221723502925137,-0.26273798289402134,0,1,0,1000
voteduty,3,(Intercept),0.5000000000000175,0.011737328161400686,0.47694562607471436,0.5223851854255083,0.4996245307784455,0.4996670708836745,1,0,0,1000
voteduty,3,diff_dem_type_u,-0.13815354880357603,0.015395047442073076,-0.16809776772854526,-0.10764325590075391,-0.1376940990957944,-0.13760096680861006,0,1,0,1000
voteduty,3,diff_dem_type_v,-0.20490193127659562,0.019513389147239137,-0.24046347563809614,-0.1655022601406218,-0.20437080658728013,-0.20438065637651437,0,1,0,1000
ideo,Conservative,(Intercept),0.5000000000000009,0.016308092091042486,0.46708777394884293,0.5305536080113068,0.49877604347620824,0.4990958889420888,1,0,0,1000
ideo,Conservative,diff_dem_type_u,-0.12123334115720108,0.020313081885099803,-0.16096034061168538,-0.08184632439376503,-0.11971981466481282,-0.1202466888133496,0,1,0,1000
ideo,Conservative,diff_dem_type_v,-0.20304470101372682,0.027097863919160612,-0.2560932674651578,-0.14659214761282463,-0.2019953009140569,-0.2019691637856203,0,1,0,1000
ideo,Extremely conservative,(Intercept),0.49999999999999406,0.023326332992685793,0.4563529524747382,0.5446446887673745,0.5001999274871949,0.5009643564771838,1,0,0,1000
ideo,Extremely conservative,diff_dem_type_u,-0.08952948894401754,0.029561372797913023,-0.14772281720410135,-0.03357052633037267,-0.09144549235199881,-0.09055787015926298,0,1,0,1000
ideo,Extremely conservative,diff_dem_type_v,-0.12148029757511652,0.0409944136701498,-0.20160837902607323,-0.04080514996057159,-0.12161927356274538,-0.1207259427425227,0,1,0,1000
ideo,Extremely liberal,(Intercept),0.5000000000000021,0.02667392668563472,0.449024736841592,0.5557044187744266,0.4990033037170336,0.49976784318617373,1,0,0,1000
ideo,Extremely liberal,diff_dem_type_u,-0.10880066984435233,0.034268731537091306,-0.1739019064135157,-0.04405955818247321,-0.10822242458252895,-0.10806277996050025,0,1,0,1000
