term,Model,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
(Intercept),No controls,0.5000000000000495,0.01402480248499,0.4717472662781837,0.5288572256167319,0.4995396855741654,0.49974536919642726,1,0,0,1000
diff_dem_type_u,No controls,-0.1344909431932177,0.018668806770432,-0.16872932345217007,-0.09714692157471966,-0.13489204563117968,-0.1342951279341675,0,1,0,1000
`Party Strength`,No controls,-1.3341024643805784e-15,0.018528946193934217,-0.038969714988857575,0.03632958637659395,-4.5430340448229497e-4,-1.2163836387684303e-4,0.494,0.506,0,1000
diff_dem_type_u:`Party Strength`,No controls,0.028266226073108133,0.02454591035266717,-0.022112219314350492,0.07589932153269592,0.029410331413296013,0.028601682838694246,0.869,0.131,0,1000
(Intercept),Same party control,0.4223283475149662,0.015183604457451299,0.37805161257895836,0.4396763844486441,0.40796224035973555,0.40817417907443326,1,0,0,1000
diff_dem_type_u,Same party control,-0.13653742685571618,0.01861715201006978,-0.17175813244940222,-0.09775230661490993,-0.13631342921919884,-0.13602986543451187,0,1,0,1000
`Party Strength`,Same party control,-4.191702450550675e-4,0.018573366586641046,-0.037487442364503326,0.03837412497368542,6.012531176025156e-4,1.609084635977674e-4,0.513,0.487,0,1000
c_respParty,Same party control,0.155345441932871,0.010172899003147625,0.16299726000409334,0.20175969986782688,0.18249196692707909,0.18223510795567913,1,0,0,1000
diff_dem_type_u:`Party Strength`,Same party control,0.031114441952832316,0.024351927407138773,-0.017888732080797307,0.07791037644624796,0.032240399752718765,0.030842433075195283,0.883,0.117,0,1000
(Intercept),Party and policy controls,0.42186570105167975,0.0143239254167641,0.37866209002216494,0.43624983123113564,0.4074856888643331,0.40758595233645484,1,0,0,1000
diff_dem_type_u,Party and policy controls,-0.1401167562339945,0.01756307788257226,-0.17280886039116833,-0.10420406541130034,-0.1399668128269626,-0.13959756902004364,0,1,0,1000
`Party Strength`,Party and policy controls,-4.2166700706841576e-4,0.0176495447510932,-0.03680293288093124,0.03595691568800199,8.228541819311577e-4,3.0803567007914556e-4,0.526,0.474,0,1000
c_respParty,Party and policy controls,0.1562707475881328,0.009909569988270004,0.16439876566334183,0.20296746830232645,0.18346927803983393,0.1832653492109055,1,0,0,1000
diff_pRank,Party and policy controls,0.3441035075672017,0.01271746959806538,0.31919618179810166,0.36929009833454973,0.34438478687549445,0.34437430877326897,1,0,0,1000
diff_dem_type_u:`Party Strength`,Party and policy controls,0.03343890908868537,0.023096981757282163,-0.012959319524775633,0.0781729446608757,0.0341830871730297,0.0329891406857998,0.908,0.092,0,1000
