term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
(Intercept),-1.4403846924611e-17,0.02927382751793792,-0.05785870289383277,0.05709168764486821,-0.0013732809456066149,-7.986309893642225e-4,0.476,0.524,0,1000
diff_M,-0.578963014964436,0.04017317314867886,-0.6546741189854127,-0.5039901090784433,-0.5776663148148535,-0.5784657390685597,0,1,0,1000
diff_p1_rateN,-0.869950632450564,0.037793278035206615,-0.9453822006871828,-0.801755912027395,-0.8691339990532014,-0.8709814830147853,0,1,0,1000
diff_p2_rateN,-1.04793568504492,0.039757362362590684,-1.12609837407553,-0.9697938445529618,-1.0481775649512999,-1.049688526935623,0,1,0,1000
diff_sameParty,0.706642620265804,0.037261057928501554,0.6394640576044303,0.7852190892112765,0.7081221150278515,0.7090185545188258,1,0,0,1000
diff_sex_Female,0.0528315034045576,0.02578696360799446,0.007106764228589627,0.10905153663767933,0.05444998256491315,0.054371770721479716,0.986,0.014,0,1000
diff_race_Asian,-0.0694386121311177,0.058378845614955426,-0.19276774954965537,0.036801140039079215,-0.06425869424843425,-0.06760642318728693,0.117,0.883,0,1000
diff_race_Black,-0.0164571306319534,0.03840430453138095,-0.08733688336514688,0.05902786462981056,-0.01443401849623735,-0.014154157142144708,0.364,0.636,0,1000
diff_race_Hispanic,-0.0655691973018763,0.03864005134112483,-0.136807853931822,0.011114879515809906,-0.06506628323330366,-0.06432437672494443,0.043,0.957,0,1000
diff_pro_Farmer,0.0591760289082191,0.05628856166049068,-0.048182595865840956,0.17150328008961818,0.05645090717335895,0.05961943626780385,0.867,0.133,0,1000
diff_pro_Lawyer,0.0537979682293618,0.04341223770126635,-0.029973280935760238,0.13737338243863095,0.05394393843832595,0.053636430751369625,0.892,0.108,0,1000
diff_pro_Legislative_staffer,0.0921130566674226,0.050901357329493795,-0.01215359814277436,0.18837980738116114,0.092346681516292,0.09187373102102635,0.961,0.039,0,1000
diff_pro_Police_officer,0.0413970238253209,0.054345853320486935,-0.07479914561643716,0.14868188432699952,0.038506057608495944,0.04006524781148169,0.784,0.216,0,1000
diff_pro_Served_in_the_army,0.14373429096838,0.0655929554648008,0.009059777513855071,0.2733712166084165,0.1426632498493205,0.14244519041466622,0.983,0.017,0,1000
diff_pro_Served_in_the_navy,0.0606382934460829,0.07199630011218852,-0.08138638039040337,0.2059325972383494,0.05851895691594725,0.058904427326491884,0.779,0.221,0,1000
diff_pro_Small_business_owner,0.0259827077657534,0.04725403014763042,-0.06897447695000888,0.11356100589365681,0.0242568205487979,0.02474974650587135,0.694,0.306,0,1000
diff_pro_Teacher,0.11294827894291,0.0560963519419776,0.001393821433421257,0.21823674289400735,0.10979058736306,0.11149926621446905,0.98,0.02,0,1000
diff_experN,-0.0059080461502281,0.02560856415790946,-0.05682787172536814,0.04414531645147873,-0.003871386545365355,-0.004688893378056015,0.448,0.552,0,1000
diff_ageN,-0.0165619393927477,0.025830071530974195,-0.065406365752009,0.033509944909051737,-0.0147076220993914,-0.014839162072794676,0.283,0.717,0,1000
weight_M,0.14401900141766,0.011475104629767034,0.11841964680261713,0.16386769785900657,0.14040433039067401,0.1405739989510526,1,0,0,1000
weight_p1,0.216403152066437,0.013961884803279865,0.1836518040529307,0.23683913432487375,0.2121281002792475,0.21172781172197214,1,0,0,1000
weight_p2,0.260677533813402,0.016605125785507643,0.22160891389525805,0.2848294067532399,0.255345748840683,0.255210377274884,1,0,0,1000
weight_party,0.175779733591603,0.012426230985066677,0.14935704184754037,0.19720805585597836,0.1724068702851895,0.17235025585438246,1,0,0,1000
priceM_p1,0.66551249389124,0.049665186714679635,0.5743442094156708,0.763694131896098,0.663162851673283,0.6650254630101932,1,0,0,1000
priceM_p2,0.5524795302105,0.04095176817338943,0.47333105486815286,0.635222263208871,0.5503931834212754,0.5516631782170227,1,0,0,1000
priceM_party,0.819315164922629,0.0674097854298524,0.6901125787016354,0.9571721680232769,0.814586951719396,0.8177755225578781,1,0,0,1000
