term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
(Intercept),8.86900366787189e-20,0.02904490273670324,-0.05860965762700287,0.05512640326291598,-0.001847750834953325,-6.577518672907885e-4,0.471,0.529,0,1000
diff_M,-0.565811036146459,0.039539915762021864,-0.6403934523950271,-0.491688947459313,-0.565441223482869,-0.5655043779274392,0,1,0,1000
diff_p1_rateRev,1.14188984115453,0.051662829101708614,1.044977199211586,1.2438961792652314,1.1426513853719351,1.1421766479705129,1,0,0,1000
diff_p2_rateRev,1.2471912843984,0.05216986852849486,1.152241629402852,1.3594504672447698,1.2496475444638349,1.2498299222103042,1,0,0,1000
diff_sameParty,0.694066580709942,0.036501620380182384,0.6281340891153635,0.7700449167883061,0.694930967959181,0.6962514188389858,1,0,0,1000
diff_sex_Female,0.0563227866605341,0.02545558924741157,0.00908651821782832,0.11213759730592338,0.05771573616575955,0.05783132715620107,0.99,0.01,0,1000
diff_race_Asian,-0.0792399690986637,0.058105526208178035,-0.19906180116674613,0.025116020177453745,-0.0747501788762236,-0.07727975824879205,0.086,0.914,0,1000
diff_race_Black,-0.0220850232374139,0.03821814910962458,-0.0931758701879016,0.054541026613781095,-0.0202217474643888,-0.019914163326118846,0.313,0.687,0,1000
diff_race_Hispanic,-0.0629193599552019,0.03834643702217746,-0.1358263990907752,0.013737139504323514,-0.0617065533163447,-0.062086474484360686,0.045,0.955,0,1000
diff_pro_Farmer,0.0572420555884185,0.055785762831625944,-0.04922322029407757,0.17345596893054463,0.0557473917577436,0.05761138312249535,0.856,0.144,0,1000
diff_pro_Lawyer,0.0542460016681049,0.04277840684578154,-0.027958092505648346,0.13885197319308773,0.05452106826729585,0.054192987055850975,0.898,0.102,0,1000
diff_pro_Legislative_staffer,0.102715002235798,0.05006179438547462,2.1037468345283744e-4,0.20172558735848212,0.1034778073371965,0.10255189801440293,0.976,0.024,0,1000
diff_pro_Police_officer,0.0443283617741444,0.05419040833707846,-0.06938338802803687,0.1536115258770434,0.0417678025978272,0.04289166982897663,0.798,0.202,0,1000
diff_pro_Served_in_the_army,0.136250056497513,0.06458242455053469,0.0068983867909617105,0.26245550929772843,0.1364231040664075,0.1349320751923171,0.98,0.02,0,1000
diff_pro_Served_in_the_navy,0.0395742418974756,0.07100631369528984,-0.09700529967036957,0.18356734926235765,0.03952218538068325,0.0385069291597787,0.701,0.299,0,1000
diff_pro_Small_business_owner,0.0317545265692176,0.046327267963349114,-0.0621855878312278,0.11562900835466254,0.030785116683919853,0.030767084540543752,0.746,0.254,0,1000
diff_pro_Teacher,0.12466586054919,0.05579312055383184,0.018202745991186167,0.2318063335671645,0.1212471109482995,0.12344288938948933,0.99,0.01,0,1000
diff_experN,-0.00232734492887216,0.025221340602982558,-0.05279100011010854,0.045903880039365866,1.45497967400705e-4,-0.0011289828814032084,0.504,0.496,0,1000
diff_ageN,-0.0189499411838996,0.025895517177540715,-0.06812148666088903,0.03229868811980123,-0.01742656388263785,-0.01748362967670877,0.258,0.742,0,1000
weight_M,0.126252600148565,0.00966285594500768,0.1047343084808854,0.14289280276304747,0.1232689792792595,0.1234934164211197,1,0,0,1000
weight_p1,0.254796305336954,0.015270737222452115,0.21821661546412602,0.27664903488862236,0.25015506282838895,0.2494862045133189,1,0,0,1000
weight_p2,0.27829280886838,0.0165398229047463,0.23875698727923492,0.3029004651288324,0.2732828179034385,0.27303099827348126,1,0,0,1000
weight_party,0.154870981463451,0.01047098555211544,0.13301248962578344,0.17316092226249558,0.151851397054962,0.15210152544319225,1,0,0,1000
priceM_p1,0.495504045796909,0.03821308294180393,0.42437404752091085,0.5704537984783892,0.4941618126428565,0.495875346115836,1,0,0,1000
priceM_p2,0.453668208898192,0.03457121926981305,0.3859951909479811,0.5227805261614888,0.452905303132435,0.4530670442546589,1,0,0,1000
priceM_party,0.815211467994476,0.06797186370505148,0.6865421308213807,0.9583563926091745,0.810784452894633,0.8141514524956001,1,0,0,1000
