term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
(Intercept),-3.79040169629327e-17,0.025837106703113514,-0.05050648201152965,0.0467661995224948,-0.00331360249818393,-0.002718677845014381,0.449,0.551,0,1000
diff_M_rate,0.836587676467532,0.04729971173951651,0.7428473856118638,0.9281353925629162,0.834713032843157,0.8344973436957092,1,0,0,1000
diff_p1_rateRev,1.16145825491265,0.053913618718225136,1.0554081575413097,1.2640378959154854,1.1613386386287852,1.1610565447370593,1,0,0,1000
diff_p2_rateRev,1.2640003542335,0.05409218099555826,1.1645763985635864,1.3762396378010107,1.266689416016495,1.2663508446290737,1,0,0,1000
diff_sameParty,0.701379032113032,0.03699783813197906,0.6308707332671167,0.7812490119762598,0.7035128334463985,0.7036307777919363,1,0,0,1000
diff_sex_Female,0.0560350100747782,0.026226370409778373,0.0058410585944981405,0.11223426687786196,0.0567123402335901,0.05712994386861729,0.987,0.013,0,1000
diff_race_Asian,-0.0821647975903968,0.059976944081801126,-0.2051570205637814,0.03130890066467624,-0.0778858147211271,-0.0802793525406844,0.08,0.92,0,1000
diff_race_Black,-0.015726120693166,0.03901602467247221,-0.09036529975672718,0.06284100278031789,-0.0129764398280943,-0.013451386804265652,0.382,0.618,0,1000
diff_race_Hispanic,-0.0688750532227629,0.038384503477520635,-0.14040902916665826,0.0043929326440315785,-0.06777939472125025,-0.06798294228879005,0.034,0.966,0,1000
diff_pro_Farmer,0.0677544571759321,0.05766343248938844,-0.043690519855159836,0.18097654091450094,0.0657443753686343,0.06836341898310509,0.89,0.11,0,1000
diff_pro_Lawyer,0.0836751479035492,0.04453084177240925,-0.0016541892090824895,0.17296269232617784,0.08363438320770475,0.08367283893559477,0.973,0.027,0,1000
diff_pro_Legislative_staffer,0.125382577027216,0.050759972264892116,0.022959919041435572,0.22589290098756723,0.12700760448398,0.125281533236286,0.992,0.008,0,1000
diff_pro_Police_officer,0.0566284153475665,0.056263121805550376,-0.05893373984724578,0.16786070453664742,0.05283387916244155,0.055115359363118344,0.847,0.153,0,1000
diff_pro_Served_in_the_army,0.142977703760779,0.06690029087435541,0.007084027184163081,0.2765960078470209,0.14245911057266,0.14212141313228505,0.979,0.021,0,1000
diff_pro_Served_in_the_navy,0.0631583741497908,0.072476846949816,-0.07546324597615049,0.20553714020684416,0.0637346640539616,0.06192115506277445,0.785,0.215,0,1000
diff_pro_Small_business_owner,0.0384026290526917,0.04761701777173297,-0.056146268057619526,0.12289055727050416,0.03797617941205505,0.03752474703003107,0.784,0.216,0,1000
diff_pro_Teacher,0.14997633688139,0.05683632406117962,0.04300799396739782,0.26400897089861697,0.1445443432009355,0.14826240366205434,0.997,0.003,0,1000
diff_experN,-0.00055403727769177,0.025477766901180792,-0.051170370758656596,0.04981009785162195,0.00193916619086367,6.395548710417221e-4,0.533,0.467,0,1000
diff_ageN,-0.021949269108733,0.02656292371849626,-0.07290068072436018,0.031303289305075706,-0.02073355997712165,-0.020757695054586224,0.224,0.776,0,1000
weight_M,0.169463442494553,0.011337159361993776,0.14432179369044654,0.18834168068027451,0.1663316966510145,0.1664539958407005,1,0,0,1000
weight_p1,0.23527087444355,0.014368731209528099,0.20270104271650985,0.25752661371368724,0.2322945569197425,0.23162210406906367,1,0,0,1000
weight_p2,0.256042322123611,0.015486799966218975,0.2222241338700788,0.2811791569304812,0.252896219906439,0.25265705664473226,1,0,0,1000
weight_party,0.142074893784291,0.009958901944307017,0.12235150700607575,0.16075998691268079,0.1401312103673425,0.14040609704198867,1,0,0,1000
priceM_p1,0.720290783529233,0.04833562934302252,0.626407125902452,0.8170721022595104,0.718725799541316,0.7199774836592719,1,0,0,1000
priceM_p2,0.661857153493319,0.04320769302375458,0.5804780273697829,0.7460953911774328,0.6592624142877855,0.6599291464160216,1,0,0,1000
priceM_party,1.19277542978033,0.08976691508583326,1.0188917914533164,1.3738802606483824,1.185509432901355,1.1890796125233727,1,0,0,1000
