term,estimate,se,q2.5,q97.5,median,mean,gt0,lt0,NAs,Nsim
(Intercept),-2.5239878365811e-17,0.029264100239080267,-0.05710320029506071,0.05578023430201863,-0.001484397679941965,-8.350668700682304e-4,0.474,0.526,0,1000
diff_M,-0.579724774153961,0.04014543405668932,-0.6560858103391808,-0.5043401935979855,-0.5781073657154641,-0.5786594278697013,0,1,0,1000
diff_p1_rateN,-0.870843924128558,0.037640464557853505,-0.945605608432331,-0.8008020815198194,-0.8691882343802165,-0.8710758601386669,0,1,0,1000
diff_p2_rateN,-1.04750324144855,0.03970087504942289,-1.1220146165412854,-0.9676862260507839,-1.0469736364583948,-1.0483185603416636,0,1,0,1000
diff_sameParty,0.704144836838315,0.03718564929145662,0.6354790430977599,0.7822516380954809,0.704379195045906,0.7056708689567018,1,0,0,1000
weight_M,0.181038578773244,0.01021773328456264,0.16074957606140403,0.20036390086621095,0.180257739429279,0.18055236092864166,1,0,0,1000
weight_p1,0.271950334687058,0.00927693192460712,0.25424707488384496,0.29085371660278453,0.2717711888056405,0.27191665655060376,1,0,0,1000
weight_p2,0.3271181542465,0.009520514103339666,0.30887885003356874,0.3458489949758676,0.327410433976921,0.32726376139428615,1,0,0,1000
weight_party,0.219892932293198,0.00967801203844371,0.2017236878629522,0.23989699215576535,0.220045690246959,0.22026722112646846,1,0,0,1000
priceM_p1,0.665704563230529,0.04958429844542304,0.5746408579511827,0.7628616056900944,0.663267989215323,0.6651672366415636,1,0,0,1000
priceM_p2,0.553434825988968,0.04100818616200809,0.4729957757739747,0.6369423592699033,0.5512026035073345,0.5525705764005481,1,0,0,1000
priceM_party,0.823303308956985,0.06791566112443499,0.693417598169614,0.9610058701684107,0.817577326432499,0.8219528697095191,1,0,0,1000
